BV号：BV1BocRejEsS
标题：BV1BocRejEsS
链接：https://www.bilibili.com/video/BV1BocRejEsS
识别语言：zh
语言置信度：1
分段数：33
生成时间：2026-04-03 06:07:28

[00:00:00 - 00:00:01] 给大家一个建议啊
[00:00:01 - 00:00:03] 因为我现在小孩也在上小学
[00:00:03 - 00:00:05] 大家你会发现我们的孩子呢
[00:00:05 - 00:00:06] 他在学习的时候
[00:00:06 - 00:00:07] 他没有一个目标
[00:00:07 - 00:00:09] 我不知道大家有没有就能感受
[00:00:09 - 00:00:12] 就是我们很多家长也很多孩子
[00:00:12 - 00:00:16] 他会拓把搞出好成绩当成一个目标
[00:00:16 - 00:00:20] 他会把搞好大学当成一个目标
[00:00:20 - 00:00:22] 但实际上大家你会发现
[00:00:22 - 00:00:25] 随着我们现在国内的经济水平越来越好
[00:00:25 - 00:00:31] 我们学习已经从改变教育的一种途径和方式
[00:00:31 - 00:00:37] 变成了实现自我人生价值的一种途径和方式
[00:00:37 - 00:00:40] 大家一定要转变教育的观念
[00:00:40 - 00:00:46] 一定要把学习是改变命运的途径和方式
[00:00:46 - 00:00:53] 变成学习是实现自我的途径和方式这种转变
[00:00:53 - 00:00:54] 那么如果说
[00:00:54 - 00:00:56] 你能够把这种教育的关键给你转变过来
[00:00:56 - 00:01:01] 它不是一个所谓的改变命运的途径和方式
[00:01:01 - 00:01:05] 它是一个实现自我的途径和方式的话
[00:01:05 - 00:01:07] 那么你现在的主要问题在于
[00:01:07 - 00:01:11] 要让孩子们去找到一个目标
[00:01:11 - 00:01:12] 就是我们经常讲一句话叫
[00:01:12 - 00:01:15] 长大后我就成了你
[00:01:15 - 00:01:17] 这个你是谁
[00:01:17 - 00:01:20] 所以说一定要在孩子的心中种下一颗
[00:01:20 - 00:01:23] 这个未来的我的种子
[00:01:23 - 00:01:25] 要么就是一个医生
[00:01:25 - 00:01:27] 要么就是一个商人
[00:01:27 - 00:01:29] 要么就是一个什么样的人
[00:01:29 - 00:01:31] 一定要让他在身边的时候
[00:01:31 - 00:01:33] 让他在小的时候和身边住
[00:01:33 - 00:01:35] 让他知道说他想成为什么
