BV号：BV1kY411u7wU
标题：BV1kY411u7wU
链接：https://www.bilibili.com/video/BV1kY411u7wU
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-03 19:17:16

[00:00:00 - 00:00:02] 就比如經常有這樣的同學是什麼情況呢
[00:00:02 - 00:00:04] 說張老師我現在物理我能考60分左右
[00:00:04 - 00:00:06] 或者是50分到60分
[00:00:06 - 00:00:08] 說張老師我物理50分到60分
[00:00:08 - 00:00:10] 那我要不要帶物理的專業
[00:00:10 - 00:00:11] 那得看什麼情況啊
[00:00:11 - 00:00:14] 我問一下你們家還得考50-60分
[00:00:14 - 00:00:17] 是輕輕鬆鬆考沒怎麼學
[00:00:17 - 00:00:18] 考50-60分
[00:00:18 - 00:00:22] 還是費盡巴拉掉了半腦的頭髮
[00:00:22 - 00:00:23] 考的50-60分
[00:00:23 - 00:00:24] 它都是50-60分它不一樣
[00:00:24 - 00:00:28] 所以說你上一次我們有一個學員物理
[00:00:28 - 00:00:29] 現在剛好摸考考多少分
[00:00:29 - 00:00:31] 考15分
[00:00:31 - 00:00:31] 问我
[00:00:31 - 00:00:31] 张老师
[00:00:31 - 00:00:33] 我能不能学电子信息
[00:00:34 - 00:00:36] 你要是想不毕业的话可以学
[00:00:36 - 00:00:37] 你物理15分
[00:00:37 - 00:00:38] 你学个屁电的信息
[00:00:38 - 00:00:39] 你就不要学这种了
[00:00:39 - 00:00:40] 那我们就会问他
[00:00:40 - 00:00:41] 我是孩子
[00:00:41 - 00:00:42] 你家在上大学的时候
[00:00:42 - 00:00:43] 有没有什么学科
[00:00:43 - 00:00:44] 你想避开
[00:00:44 - 00:00:45] 你比如说张老师
[00:00:45 - 00:00:46] 我们家还得学文科
[00:00:46 - 00:00:47] 那要不要避开数学呢
[00:00:47 - 00:00:48] 咱孩子数学学的怎么样
[00:00:48 - 00:00:49] 他学理工科的
[00:00:49 - 00:00:50] 他什么情况
[00:00:50 - 00:00:52] 他要不要避开物理呢
[00:00:52 - 00:00:53] 要不要避开化学呢
[00:00:53 - 00:00:54] 你抱住院的时候
[00:00:54 - 00:00:56] 你能选这个专业
[00:00:56 - 00:00:57] 那你要选吗
[00:00:57 - 00:00:58] 你选为何好不好毕业
[00:00:58 - 00:00:59] 好不好考研
[00:00:59 - 00:01:00] 你知道吗
[00:01:00 - 00:01:01] 你得去了解一下
