BV号：BV1JUNRe4EAf
标题：BV1JUNRe4EAf
链接：https://www.bilibili.com/video/BV1JUNRe4EAf
识别语言：zh
语言置信度：1
分段数：68
生成时间：2026-04-03 05:57:05

[00:00:00 - 00:00:01] 你怕你高二的时候怎么了
[00:00:01 - 00:00:03] 他高二的时候地理不好读吗
[00:00:03 - 00:00:04] 加长 我这么说
[00:00:04 - 00:00:06] 你担心这个东西没有意义
[00:00:06 - 00:00:07] 你担心地理不好读
[00:00:07 - 00:00:09] 收物就好读了吗
[00:00:09 - 00:00:10] 这样不好读
[00:00:10 - 00:00:11] 你现在选地理
[00:00:11 - 00:00:13] 不就是因为生物不好读吗
[00:00:13 - 00:00:15] 是的
[00:00:15 - 00:00:16] 那你担心这种啥用呢
[00:00:16 - 00:00:19] 不是说生物到高二 高三的时候
[00:00:19 - 00:00:21] 会比地理更好读的吗
[00:00:21 - 00:00:23] 加长 中国有句话叫什么
[00:00:23 - 00:00:25] 叫会者不难 难者不贵
[00:00:25 - 00:00:26] 你懂我的意思吗
[00:00:26 - 00:00:27] 那如果说我读了一个什么东西
[00:00:27 - 00:00:28] 我觉得不好读
[00:00:28 - 00:00:29] 它就是不好读的
[00:00:29 - 00:00:31] 可能我就会说说他高二不好读书怎么样
[00:00:31 - 00:00:34] 就是我不觉得这个就是
[00:00:34 - 00:00:35] 如果你学不好的话
[00:00:35 - 00:00:36] 没有什么是好学的
[00:00:36 - 00:00:38] 好的理解
[00:00:38 - 00:00:40] 那像我们福建下的话
[00:00:40 - 00:00:43] 你今天帮那孩子点课之后
[00:00:43 - 00:00:45] 后面这个我们人体什么样的专业
[00:00:45 - 00:00:47] 会比较
[00:00:47 - 00:00:48] 加拿大是这样
[00:00:48 - 00:00:52] 化生和无法地在选科差别
[00:00:52 - 00:00:54] 对最后报支援的影响差别很小
[00:00:54 - 00:00:56] 你多选生物
[00:00:56 - 00:00:57] 代表着你未来
[00:00:57 - 00:00:59] 如果要包醫學專業的話
[00:00:59 - 00:01:01] 院校會包的全協
[00:01:01 - 00:01:02] 換句話說就是
[00:01:02 - 00:01:03] 如果你想學醫
[00:01:03 - 00:01:04] 你最好是選生物
[00:01:04 - 00:01:06] 因為全國所有的醫科大學
[00:01:06 - 00:01:08] 你都能包
[00:01:08 - 00:01:09] 但是如果說你不選生物的話
[00:01:09 - 00:01:11] 也不代表你學不了醫
[00:01:11 - 00:01:12] 它只不過就是
[00:01:12 - 00:01:15] 有的學校是物化生要求避選
[00:01:15 - 00:01:17] 有的學校學醫的話是物化避選
[00:01:17 - 00:01:18] 那物化生那些
[00:01:18 - 00:01:19] 你們選生物就學不了
[00:01:19 - 00:01:20] 物化那些你還是能選的
[00:01:20 - 00:01:21] 能聽懂我的話嗎
[00:01:21 - 00:01:22] 對
[00:01:22 - 00:01:24] 那你選了地理的話
[00:01:24 - 00:01:25] 你能多包的一類專業
[00:01:25 - 00:01:27] 叫地理類專業
[00:01:27 - 00:01:28] 其他都一样
[00:01:28 - 00:01:29] 差别并不大
[00:01:29 - 00:01:31] 物化生和物化地的差别并不大
[00:01:31 - 00:01:34] 就在于你要想报医学的话
[00:01:34 - 00:01:35] 就尽量选生物
[00:01:35 - 00:01:36] 你要不想报医学
[00:01:36 - 00:01:37] 分不高的情况下
[00:01:37 - 00:01:39] 地理付分确实比生物付分
[00:01:39 - 00:01:40] 要更占点优势
[00:01:40 - 00:01:41] 但占的优势也没有
[00:01:41 - 00:01:42] 你想象那么那么大
[00:01:42 - 00:01:44] 换句话说就是
[00:01:44 - 00:01:44] 你生物和地理
[00:01:44 - 00:01:46] 你想学哪个就学哪个
[00:01:46 - 00:01:47] 哪个学的好就学哪个
