BV号：BV11cStYSEVU
标题：BV11cStYSEVU
链接：https://www.bilibili.com/video/BV11cStYSEVU
识别语言：zh
语言置信度：1
分段数：73
生成时间：2026-04-03 07:48:55

[00:00:00 - 00:00:01] 入分这个策略
[00:00:01 - 00:00:02] 其实我个人决定
[00:00:02 - 00:00:04] 因为新高考他有个很大的特点
[00:00:04 - 00:00:04] 就是复分制
[00:00:04 - 00:00:06] 复分制是非常科学
[00:00:06 - 00:00:08] 其实如果说我有这个能力的话
[00:00:08 - 00:00:10] 我会让6颗复分
[00:00:10 - 00:00:12] 我不会只两颗复分
[00:00:12 - 00:00:13] 为什么
[00:00:13 - 00:00:17] 入分是最大程度的避免了提难和提减单
[00:00:17 - 00:00:19] 对于孩子成绩的影响
[00:00:19 - 00:00:21] 比如说如果正常提难度的成分
[00:00:21 - 00:00:23] 像我可能落别人
[00:00:23 - 00:00:24] 能落30分
[00:00:24 - 00:00:25] 但是提难了
[00:00:25 - 00:00:27] 我学习好才考了80
[00:00:27 - 00:00:28] 学习不好的
[00:00:28 - 00:00:30] 他考了60多
[00:00:30 - 00:00:32] 我本来能拉30分的 我拉不了
[00:00:32 - 00:00:34] 题简单了也不好
[00:00:34 - 00:00:35] 为什么呢
[00:00:35 - 00:00:37] 学习不好的能考85
[00:00:37 - 00:00:39] 我学习好的也就才考100
[00:00:39 - 00:00:41] 我考100不是因为我只能考100
[00:00:41 - 00:00:43] 是因为这张卷子的满分就是100分
[00:00:43 - 00:00:45] 所以说就怕什么呢
[00:00:45 - 00:00:48] 就怕有的老师出题
[00:00:48 - 00:00:50] 已经是提出的特别的简单
[00:00:50 - 00:00:52] 对你来说提出的特别的难
[00:00:52 - 00:00:57] 结果就导致没有办法去体现学生之间的差异
[00:00:57 - 00:01:00] 而负分就解决了这个问题
[00:01:00 - 00:01:02] 你提再难
[00:01:02 - 00:01:04] 你只要是在这帮学生考的好的
[00:01:04 - 00:01:05] 你就可以付高分
[00:01:05 - 00:01:07] 提再简单
[00:01:07 - 00:01:08] 你只要考了高分
[00:01:08 - 00:01:09] 你就考高分
[00:01:09 - 00:01:11] 而考了高分的那帮
[00:01:11 - 00:01:13] 因为提简单才考高分的那帮人
[00:01:13 - 00:01:15] 会到负
[00:01:15 - 00:01:16] 使得学生和学生之间
[00:01:16 - 00:01:19] 拉开一个所谓的合理的差距
[00:01:19 - 00:01:21] 所以说负分制这个事
[00:01:21 - 00:01:24] 我个人觉得是非常非常好的一个东西
[00:01:24 - 00:01:26] 大家可能会觉得怎么这么麻烦
[00:01:26 - 00:01:29] 它其实就是为了避免提难易程度
[00:01:29 - 00:01:32] 对于选拔人才不公平的影响
[00:01:32 - 00:01:36] 但是遗憾的是它只是两颗负分
[00:01:36 - 00:01:37] 要是我有决定权
[00:01:37 - 00:01:38] 我一定会六颗负分
[00:01:38 - 00:01:40] 因为六颗负分才有选拔
[00:01:40 - 00:01:42] 绝对的公平
[00:01:42 - 00:01:43] 你只两颗负分
[00:01:43 - 00:01:45] 那你数学提万一出道
[00:01:45 - 00:01:46] 难易程度不均衡
[00:01:46 - 00:01:47] 数学我本来比较好
[00:01:47 - 00:01:48] 我拉不开
[00:01:48 - 00:01:49] 对吧
[00:01:49 - 00:01:50] 我化学和生物跟别人差不多
[00:01:50 - 00:01:51] 我就是用数学去跟人拉分的
[00:01:51 - 00:01:53] 结果数学你得提出的有毛病
[00:01:53 - 00:01:54] 我没拉开分
[00:01:54 - 00:01:55] 那不也吃亏吗
[00:01:55 - 00:01:55] 对吧
[00:01:55 - 00:02:00] 所以说我个人不觉得这个这个就是就负分是很好的一个制度
[00:02:00 - 00:02:03] 但是我个人觉得两颗负分不够
[00:02:03 - 00:02:04] 我要说我有这个能力的话
[00:02:04 - 00:02:06] 我肯定会更多可能肯定不会两个
[00:02:06 - 00:02:08] 所以说你不用担心假长就是你
[00:02:08 - 00:02:10] 你他们那个分是负完的
[00:02:10 - 00:02:12] 就是你换好了不会亏待你
[00:02:12 - 00:02:15] 你没换好你也别想开便宜
[00:02:15 - 00:02:16] 负分这个事就是这样
