BV号：BV1Jx4y1W7zH
标题：BV1Jx4y1W7zH
链接：https://www.bilibili.com/video/BV1Jx4y1W7zH
识别语言：zh
语言置信度：1
分段数：72
生成时间：2026-04-03 11:16:31

[00:00:00 - 00:00:01] 高考快到了
[00:00:01 - 00:00:03] 很多家长就来问专业到底该怎么选
[00:00:03 - 00:00:04] 其实在张老师看来
[00:00:04 - 00:00:07] 选专业更多是在选行业
[00:00:07 - 00:00:09] 如果说你想选一个能有长久保障的
[00:00:09 - 00:00:12] 那张老师给大家推荐一个就是光学
[00:00:12 - 00:00:15] 咱们国家对于光学产业的服饰力度是非常的大
[00:00:15 - 00:00:17] 而且行业比例很高
[00:00:17 - 00:00:19] 外行人是很难入门的
[00:00:19 - 00:00:20] 竞争自然也就小了
[00:00:20 - 00:00:23] 那考虑到行业的背景和它整体的实力
[00:00:23 - 00:00:24] 在光学领域
[00:00:24 - 00:00:27] 长春理工大学就是一所新加坡非常高的学校
[00:00:27 - 00:00:31] 中科院有个研究所叫长春光机所特别厉害
[00:00:31 - 00:00:33] 常理工和他原来是一家
[00:00:33 - 00:00:37] 中国光学行业的发家就是从那里开始的
[00:00:37 - 00:00:38] 中科院创办的学校
[00:00:38 - 00:00:41] 所以说人家的弟子是相当扎实
[00:00:41 - 00:00:43] 像两单一星北斗系统
[00:00:43 - 00:00:46] 在人航天工程这些重大工程项目都有他的参与
[00:00:46 - 00:00:48] 还有现在很火的无人驾驶
[00:00:48 - 00:00:50] 一用的精密一气
[00:00:50 - 00:00:53] 包括像芯片这些和光学有关的新方向
[00:00:53 - 00:00:55] 也都是常理工所擅长的
[00:00:55 - 00:00:58] 很多相关的尖端产品也都是它搞出来的
[00:00:58 - 00:00:59] 大家可能也都听说过
[00:00:59 - 00:01:02] 冰冰淇水 常理就是其中一个
[00:01:02 - 00:01:04] 所以说国防特色很明显
[00:01:04 - 00:01:08] 很多武器装备上的光学器件就是这个学校研制的
[00:01:08 - 00:01:11] 现在就有飞机坦克放在学校里边
[00:01:11 - 00:01:15] 感兴趣的同学到时候就可以近距离的观摩一下
[00:01:15 - 00:01:17] 出藏多的成果靠的市场
[00:01:17 - 00:01:19] 肯定还是学校自己的实力国营
[00:01:19 - 00:01:23] 像光学工程学科它可是能排到全国前五的
[00:01:23 - 00:01:26] 除了浙大华客这种顶尖的985就属他罪名
[00:01:26 - 00:01:30] 而且呢 常理在专业设置上非常会发挥自己的优势
[00:01:30 - 00:01:32] 他的专业基本都和光学有关
[00:01:32 - 00:01:34] 绝对能拿得出手
[00:01:34 - 00:01:35] 像集席间的工程
[00:01:35 - 00:01:37] 光电信息科学与工程
[00:01:37 - 00:01:39] 这些专业呢 那都是排在全国前面的
[00:01:39 - 00:01:40] 而且这两年啊
[00:01:40 - 00:01:45] 常理呢 还和俄罗斯光学第一的大学一起搞了一个联合学院
[00:01:45 - 00:01:47] 开的都是优势特色的专业
[00:01:47 - 00:01:49] 不用出国就能够拿两个分评
[00:01:49 - 00:01:51] 你就说这性价比高不高吧
[00:01:51 - 00:01:53] 录取分数又不是特别的高
[00:01:53 - 00:01:54] 但是又很好的就业
[00:01:54 - 00:01:57] 这也是常理非常值得报考的一个点
[00:01:57 - 00:01:58] 想走升学这条路
[00:01:58 - 00:02:01] 常理近七成的学生都是能到双一流的
[00:02:01 - 00:02:05] 而且它的每年的保液名额有快300个
[00:02:05 - 00:02:08] 努努力的话说不定就不用去学考研了
[00:02:08 - 00:02:10] 当然常理也有说某点
[00:02:10 - 00:02:12] 如果想本校升学
[00:02:12 - 00:02:13] 那也都是可以实现的
[00:02:13 - 00:02:15] 那如果说你想直接就业
[00:02:15 - 00:02:17] 常理的企业认可度也是相当高的
[00:02:17 - 00:02:19] 机会是非常的多
[00:02:19 - 00:02:21] 之前我们远取搞照片的时候
[00:02:21 - 00:02:24] 我就发现不管是本地的企业还是外省的企业
[00:02:24 - 00:02:26] 都很认常理这块招牌
[00:02:26 - 00:02:29] 再加上常理原来还是兵器工业部的直属院校
[00:02:29 - 00:02:33] 毕业以后进入到扬企国企军工单位的难度不会很大
[00:02:33 - 00:02:36] 光学相关的研究所也很喜欢招这里的学生
[00:02:36 - 00:02:38] 毕竟专业对口
[00:02:38 - 00:02:40] 所以就像咱们一开始说的
[00:02:40 - 00:02:41] 想进光学行业
[00:02:41 - 00:02:43] 那你选长存理工大学
[00:02:43 - 00:02:45] 入行的起点就不会差
[00:02:45 - 00:02:46] 如果有这方面的想法
[00:02:46 - 00:02:48] 掌老师建议你不要犹豫
