BV号：BV1Tr4y1T7uq
标题：BV1Tr4y1T7uq
链接：https://www.bilibili.com/video/BV1Tr4y1T7uq
识别语言：zh
语言置信度：1
分段数：121
生成时间：2026-04-04 01:06:05

[00:00:00 - 00:00:04] 在上個視頻當中我們講的英國作家威廉恆麗赫德遜的文章當中
[00:00:04 - 00:00:06] 寫到了他的主角貓
[00:00:06 - 00:00:08] 遇到了他的食物老鼠
[00:00:08 - 00:00:10] 在家裡邊就打了個照面
[00:00:10 - 00:00:10] 哎呦
[00:00:10 - 00:00:12] 這貓到底有沒有把這個老鼠給弄死呢
[00:00:12 - 00:00:13] 還真沒有
[00:00:13 - 00:00:15] 這隻貓啊也許剛在外邊吃飽了
[00:00:15 - 00:00:17] 心情呢也挺不錯的
[00:00:17 - 00:00:20] 看到老鼠以後雖然說心裡邊一驚
[00:00:20 - 00:00:20] 但是很明顯
[00:00:20 - 00:00:23] 這個老鼠跟這個主人的關係不一般
[00:00:23 - 00:00:24] 好像是家裡邊的客人
[00:00:24 - 00:00:25] 那怎麼樣
[00:00:25 - 00:00:28] 這個弄死就別弄死了對不對
[00:00:28 - 00:00:31] 所以这个猫也没对老鼠
[00:00:31 - 00:00:33] 就是什么尿尿教育生
[00:00:33 - 00:00:34] 胡锅爽的也没有
[00:00:34 - 00:00:37] 这老鼠一看这猫好像也没有恶意
[00:00:37 - 00:00:40] 它就自然而然从猫面前走过
[00:00:40 - 00:00:42] 结果一来二去
[00:00:42 - 00:00:44] 两个小家伙却成了好朋友
[00:00:44 - 00:00:45] 他们互相陪伴
[00:00:45 - 00:00:46] 无论是喝牛奶
[00:00:46 - 00:00:47] 还是睡觉
[00:00:47 - 00:00:49] 这猫和老鼠头的挤一块
[00:00:49 - 00:00:51] 简直是亲密无间
[00:00:51 - 00:00:53] 你以为故事到这里就结束了
[00:00:53 - 00:00:54] 那就错了
[00:00:54 - 00:00:54] 过了不久
[00:00:54 - 00:00:56] 老鼠就开始忙了
[00:00:56 - 00:00:58] 他在厨房底下呢开始坐窝
[00:00:58 - 00:01:00] 很明显这老鼠他是个母老鼠
[00:01:00 - 00:01:03] 这母老鼠啊他怀孕了
[00:01:03 - 00:01:04] 家里边啊要填新成员了
[00:01:04 - 00:01:08] 他就到处找那些特别柔软的东西来坐窝
[00:01:08 - 00:01:10] 这老鼠收集东西的时候呢
[00:01:10 - 00:01:12] 他都发现他这个好朋友
[00:01:12 - 00:01:13] 嗯
[00:01:13 - 00:01:17] 这个脸上的这个鬍子软软的
[00:01:17 - 00:01:19] 平时我在上面靠的时候也挺舒服的
[00:01:19 - 00:01:21] 有了这一些软毛
[00:01:21 - 00:01:22] 对吧
[00:01:22 - 00:01:23] 我的那个孩子们
[00:01:23 - 00:01:26] 一定可以降生在一个非常舒服的地方
[00:01:26 - 00:01:29] 所以说这个老鼠呢就开始四肌眼就拔
[00:01:29 - 00:01:30] 猫脸上的这个毛
[00:01:31 - 00:01:32] 这个猫以为这个老鼠
[00:01:33 - 00:01:34] 这是他能玩游戏你知道吧
[00:01:35 - 00:01:36] 他就在这躲嘛对吧
[00:01:36 - 00:01:38] 你好我脸上的毛就躲嘛对吧
[00:01:38 - 00:01:40] 他躲来躲去一边躲一边欣赏
[00:01:41 - 00:01:42] 这游戏怎么还拔毛啊
[00:01:43 - 00:01:46] 这拔毛你关键你拔我屁股上的毛也就算了对吧
[00:01:46 - 00:01:47] 你拔我脸上的毛
[00:01:47 - 00:01:49] 我这拔我脸上的毛这得多疼啊对吧
[00:01:50 - 00:01:51] 这猫呢就一边躲啊
[00:01:51 - 00:01:53] 就一边用爪子就把老鼠给拔了开
[00:01:53 - 00:01:56] 对吧就来回拔了它也没有我打了你知道吧
[00:01:56 - 00:01:58] 可这个老鼠不一不饶
[00:01:58 - 00:01:59] 我就说把毛
[00:01:59 - 00:02:01] 我就觉得你脸上那个毛好看
[00:02:01 - 00:02:03] 我就觉得你脸上那个毛软
[00:02:03 - 00:02:05] 结果终于把那个毛给惹生气了
[00:02:05 - 00:02:07] 他啪就给了老鼠一爪的
[00:02:07 - 00:02:10] 老鼠回到自己的窝里面去舔伤口
[00:02:10 - 00:02:11] 他心想
[00:02:11 - 00:02:12] 这猫是怎么了
[00:02:12 - 00:02:14] 我不就要你点毛吗
[00:02:14 - 00:02:16] 你这情绪变化怎么这么大呀
[00:02:16 - 00:02:17] 咱俩不是好朋友
[00:02:17 - 00:02:19] 你给我点毛你怎么了
[00:02:19 - 00:02:20] 这猫也奇怪
