BV号：BV159KAzvEfa
标题：BV159KAzvEfa
链接：https://www.bilibili.com/video/BV159KAzvEfa
识别语言：zh
语言置信度：1
分段数：171
生成时间：2026-04-03 04:37:54

[00:00:00 - 00:00:03] 然后就是我孩子这个分数是607到608
[00:00:03 - 00:00:04] 想抱那个新公科
[00:00:04 - 00:00:05] 嗯
[00:00:05 - 00:00:07] 这新公科就是我这个专业
[00:00:07 - 00:00:08] 我不知道怎么排序
[00:00:08 - 00:00:09] 这两个是这样子
[00:00:09 - 00:00:11] 就是新公科
[00:00:11 - 00:00:13] 你代电的公科是一个大类
[00:00:13 - 00:00:14] 而且加拿伯
[00:00:14 - 00:00:15] 你要知道有的时候
[00:00:15 - 00:00:16] 在你这个分数段领域里边
[00:00:16 - 00:00:18] 因为你这是属于中高分数段
[00:00:18 - 00:00:19] 到985的级别
[00:00:19 - 00:00:21] 甚至有的学校到985的级别
[00:00:21 - 00:00:23] 是有那种所谓的特殊班型的
[00:00:23 - 00:00:24] 大多数学校都开的叫做
[00:00:24 - 00:00:25] 公科实验班
[00:00:25 - 00:00:26] 大家注意一下
[00:00:26 - 00:00:28] 就是你如果要抱985的高校
[00:00:28 - 00:00:30] 到功科实验班这个级别了
[00:00:30 - 00:00:31] 他可能会有以下的几个点
[00:00:31 - 00:00:33] 大家一定要去关注一下
[00:00:33 - 00:00:33] 第一个点呢
[00:00:33 - 00:00:34] 就是功科实验班
[00:00:34 - 00:00:37] 他的这个专业分配是如何分配的
[00:00:37 - 00:00:38] 就是他大一的时候
[00:00:38 - 00:00:40] 会不会所谓的根据成绩去选专业
[00:00:40 - 00:00:42] 这个大家一定要去了解一下
[00:00:42 - 00:00:44] 现在很多学校在这个环节上
[00:00:44 - 00:00:46] 已经放宽了很多
[00:00:46 - 00:00:47] 他是自由选的
[00:00:47 - 00:00:48] 第二
[00:00:48 - 00:00:49] 现在很多学校在功科实验班
[00:00:49 - 00:00:50] 具体选专业的时候
[00:00:50 - 00:00:53] 会给你下另外一个东西
[00:00:53 - 00:00:53] 是什么呢
[00:00:53 - 00:00:54] 保原率
[00:00:54 - 00:00:56] 他是拿保原率来调解
[00:00:56 - 00:00:57] 你选择功科实验班
[00:00:57 - 00:00:59] 具体的哪一个专业
[00:00:59 - 00:01:00] 你能懂我的意思吗
[00:01:00 - 00:01:00] 我明白
[00:01:00 - 00:01:01] 所以说的话
[00:01:01 - 00:01:02] 就比如说热门专业的话
[00:01:02 - 00:01:04] 它很可能会把保佑力放低
[00:01:04 - 00:01:05] 冷门专业
[00:01:05 - 00:01:06] 它可能会把保佑力放高
[00:01:06 - 00:01:07] 这样的话
[00:01:07 - 00:01:07] 它可能会跟你说
[00:01:07 - 00:01:09] 家长或者是同学
[00:01:09 - 00:01:09] 就你这个成绩
[00:01:09 - 00:01:11] 如果你要选择热门专业的话
[00:01:11 - 00:01:12] 你大概率是保不了盐的
[00:01:12 - 00:01:14] 如果说你要选择相对比较冷门的专业的话
[00:01:14 - 00:01:15] 你大概率是能保上盐的
[00:01:15 - 00:01:17] 它拿这个东西去调节保盐率
[00:01:17 - 00:01:19] 有的学校会有这样的一个行为
[00:01:19 - 00:01:20] 然后的话
[00:01:20 - 00:01:20] 各位家长
[00:01:20 - 00:01:21] 我想说的是什么呢
[00:01:21 - 00:01:23] 就是这个首先第一呢
[00:01:23 - 00:01:25] 就是你怎么去面对这个情况
[00:01:25 - 00:01:27] 第一就是大家在报职院的时候
[00:01:27 - 00:01:31] 一定要有一个一级学科思维的这样的一个思维
[00:01:31 - 00:01:34] 你一定要看一下那个中科广的专业目录里面
[00:01:34 - 00:01:36] 你选的这个专业属于哪一个专业大类
[00:01:36 - 00:01:38] 只要是专业大类里面的专业
[00:01:38 - 00:01:40] 它学的内容基本上都是相同的
[00:01:40 - 00:01:41] 第一的话一定要有这样的一个思维
[00:01:41 - 00:01:42] 第二的话
[00:01:42 - 00:01:45] 家长不管你选择特殊班型也好
[00:01:45 - 00:01:46] 还是选择不特殊班型也好
[00:01:46 - 00:01:49] 一定要学会主动去读大学
[00:01:49 - 00:01:50] 我说你到了大学以后的话一定要怎么样
[00:01:50 - 00:01:51] 第一一定要看一下
[00:01:51 - 00:01:53] 你现在这个专业所属学院的院长
[00:01:53 - 00:01:54] 当类书记院士
[00:01:54 - 00:01:56] 你要知道怎么去读这个大学
[00:01:56 - 00:01:58] 等你拿到通知书以后的话
[00:01:58 - 00:02:00] 你一定要按照我所说的这个方法去做
[00:02:00 - 00:02:02] 然后的话你得去找到
[00:02:02 - 00:02:03] 这个学校里边先用的
[00:02:03 - 00:02:05] 比较优质的导师资源
[00:02:05 - 00:02:06] 即使是家长
[00:02:06 - 00:02:07] 我这么说
[00:02:07 - 00:02:08] 你具体选专业
[00:02:08 - 00:02:10] 因为专业和专业之间是交叉的
[00:02:10 - 00:02:12] 你懂我的意思吗
[00:02:12 - 00:02:14] 你明白都是专业是吧
[00:02:14 - 00:02:16] 对专业和专业之间是交叉的
[00:02:16 - 00:02:17] 各位家长
[00:02:17 - 00:02:19] 理工课是通的
[00:02:19 - 00:02:20] 我给你举个简单的例子
[00:02:20 - 00:02:23] 比如说你现在是在选专业的时候
[00:02:24 - 00:02:26] 老师跟你说说你孩子你选电的信息
[00:02:26 - 00:02:27] 你大概率是保不了言的
[00:02:27 - 00:02:29] 你选仪器大概率是能保原的
[00:02:29 - 00:02:32] 但是你要看一下这个学校有没有老师
[00:02:32 - 00:02:34] 或者是你感兴趣到老师是什么样
[00:02:34 - 00:02:36] 既在电的信息专业待研究生
[00:02:36 - 00:02:37] 又在仪器待研究生
[00:02:37 - 00:02:38] 你懂我的意思吗
[00:02:39 - 00:02:40] 明白
[00:02:40 - 00:02:40] 对
[00:02:40 - 00:02:40] 明白
[00:02:40 - 00:02:43] 你这样的话就可以把你所谓的在
[00:02:43 - 00:02:45] 选在大力招生当中
[00:02:45 - 00:02:46] 你把你在选专业的时候
[00:02:46 - 00:02:48] 你把你的孩子的成绩
[00:02:48 - 00:02:51] 和你对于这个学校的理解
[00:02:51 - 00:02:52] 你如何上大学这个事
[00:02:52 - 00:02:54] 你把它理解透以后
[00:02:54 - 00:02:56] 你就可以把你的这个选择给它最大化
[00:02:56 - 00:02:57] 所以说的话
[00:02:57 - 00:02:58] 你如果说你会读大学
[00:02:58 - 00:03:01] 你了解这种信息资源
[00:03:01 - 00:03:03] 你了解这种专业之间的关联的话
[00:03:03 - 00:03:06] 就可以让你在所谓选具体专业的时候
[00:03:06 - 00:03:07] 把你的利益给它最大化
[00:03:07 - 00:03:09] 所以说加上你要你现在要做的事情
[00:03:09 - 00:03:11] 其实不是说说老师
[00:03:11 - 00:03:13] 我具体要选哪一个具体的专业
[00:03:13 - 00:03:16] 而是说你要选择一个所谓的一个平台
[00:03:16 - 00:03:17] 比如说各个酒吧舞
[00:03:17 - 00:03:20] 他的城市以及院校在这个专业方面的积累
[00:03:20 - 00:03:21] 比如说有的学校他可能进
[00:03:21 - 00:03:23] 洋国企比例高一些
[00:03:23 - 00:03:25] 有些学校很有可能他在那个城市
[00:03:25 - 00:03:27] 他的创新创业氛围可能会高一些
[00:03:27 - 00:03:29] 比如说我给你举个简单的例子
[00:03:29 - 00:03:30] 你说南房的985
[00:03:30 - 00:03:33] 南房985几乎在做招生宣传的时候
[00:03:33 - 00:03:35] 从来不会说自己进洋国企的比例
[00:03:35 - 00:03:36] 就加班区嘛
[00:03:36 - 00:03:39] 对 南房的985基本上不会介绍这个
[00:03:39 - 00:03:40] 大家你去看什么东南大学
[00:03:40 - 00:03:41] 你看上海交大
[00:03:41 - 00:03:42] 你看同级大学
[00:03:42 - 00:03:43] 它基本上不太会跟你说
[00:03:43 - 00:03:46] 我们毕业生有多少是进入到洋国企
[00:03:46 - 00:03:47] 有多少
[00:03:47 - 00:03:49] 南方的学校基本上不会这么说
[00:03:49 - 00:03:51] 但是北方的985基本上都跟你说说
[00:03:51 - 00:03:53] 我们学校接英国旗比例多少多少多少
[00:03:53 - 00:03:54] 所以说你会发现
[00:03:54 - 00:03:56] 你要根据这个学校的一
[00:03:56 - 00:03:58] 它的专业特性和特点
[00:03:58 - 00:03:58] 二
[00:03:58 - 00:04:00] 它的整个的整体就业
[00:04:00 - 00:04:02] 大概率的一个面貌和特点
[00:04:02 - 00:04:04] 不是说南方的985一定进不了英国旗
[00:04:04 - 00:04:06] 也不是北方的985的学校毕业生
[00:04:06 - 00:04:08] 一定进不了私营企业
[00:04:08 - 00:04:09] 一定不能来南方
[00:04:09 - 00:04:10] 不是这个意思
[00:04:10 - 00:04:12] 而是说它大概率它氛围
[00:04:12 - 00:04:14] 因为学生会受学生的影响
[00:04:14 - 00:04:15] 加上你懂我的意思吧
[00:04:15 - 00:04:17] 比如说我这一个宿舍三个人去了阳光起
[00:04:17 - 00:04:19] 那大家一商量可能说
[00:04:19 - 00:04:20] 哎呀你也去算了
[00:04:20 - 00:04:20] 忽悠忽悠
[00:04:20 - 00:04:22] 这可能这人也有去了
[00:04:22 - 00:04:24] 所以有的时候你一定要去在
[00:04:24 - 00:04:25] 在我们上大学之前
[00:04:25 - 00:04:27] 在报学校的时候去综合考虑
[00:04:27 - 00:04:29] 学校的整体氛围呀
[00:04:29 - 00:04:30] 学校的专业领域的优势啊
[00:04:30 - 00:04:32] 然后学校各种这样的专业资源优势啊
[00:04:32 - 00:04:34] 等等等等你整体考虑完以后
[00:04:34 - 00:04:35] 你会感觉这个玩意很有意思
