BV号：BV1tEcdewEPu
标题：BV1tEcdewEPu
链接：https://www.bilibili.com/video/BV1tEcdewEPu
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 06:11:11

[00:00:00 - 00:00:03] 我再说一下生化环材天坑是为什么被成为天坑啊
[00:00:03 - 00:00:04] 大家要注意
[00:00:04 - 00:00:06] 生化环材被成为天坑不是我说的
[00:00:06 - 00:00:08] 多生化环材是天坑的
[00:00:08 - 00:00:10] 大多数的都是生化环材本专业的人
[00:00:10 - 00:00:13] 而且越名笑骂的就越狠
[00:00:13 - 00:00:15] 在我们老百姓的观念当中
[00:00:15 - 00:00:17] 在我们大多数的家长观念当中
[00:00:17 - 00:00:18] 我们认为
[00:00:18 - 00:00:21] 本高考到更牛的学校
[00:00:21 - 00:00:23] 就应该有更好的工作
[00:00:23 - 00:00:26] 那大家对于所谓更好的工作的认知
[00:00:26 - 00:00:28] 就是有可能会虚证更多的钱
[00:00:28 - 00:00:29] 这是我们老百姓的认知
[00:00:29 - 00:00:30] 普通家长的认知
[00:00:30 - 00:00:31] 普通学生的认知
[00:00:31 - 00:00:32] 对吧
[00:00:32 - 00:00:36] 但是大家忽略了一点什么呢
[00:00:36 - 00:00:39] 温业是未来就业行当的一个基础
[00:00:40 - 00:00:42] 有些行当工资高
[00:00:42 - 00:00:44] 有些行当工资并不高
[00:00:44 - 00:00:48] 结果那些上了名校生化还财的人
[00:00:48 - 00:00:51] 发现他的就业的薪资待遇
[00:00:51 - 00:00:54] 跟他当年的那个分的那个期待
[00:00:54 - 00:00:55] 是不匹配的
[00:00:55 - 00:00:57] 这就是我经常问大家一个问题
[00:00:57 - 00:01:01] 我說孩子你將來可能上一個所謂更好的學校
[00:01:01 - 00:01:04] 但是將來你大學畢業以後
[00:01:04 - 00:01:07] 你發現有一個當年高考比你第三十分的人
[00:01:07 - 00:01:08] 政治公司比你高
[00:01:08 - 00:01:10] 你能不能接受
[00:01:10 - 00:01:12] 說生話還財不好的人
[00:01:12 - 00:01:15] 都是其實接受不了的人
[00:01:15 - 00:01:17] 這幫名校的畢業生
[00:01:17 - 00:01:19] 當年考了很高的分
[00:01:19 - 00:01:21] 上了非常有名的學校
[00:01:21 - 00:01:22] 學了這一類專業
[00:01:22 - 00:01:26] 結果發現公司待遇遠不如他們的預期
[00:01:26 - 00:01:29] 培养猪妻远比他们想象的要长
[00:01:29 - 00:01:32] 且工资待遇远不入他们的预期
[00:01:32 - 00:01:34] 对他们说 多好学
