BV号：BV1Uy4y1t738
标题：BV1Uy4y1t738
链接：https://www.bilibili.com/video/BV1Uy4y1t738
识别语言：zh
语言置信度：1
分段数：54
生成时间：2026-04-04 00:36:40

[00:00:00 - 00:00:02] 有的时候我们会去看的什么
[00:00:02 - 00:00:04] 看那个每个学校每个专业
[00:00:04 - 00:00:06] 在各个省分的一个高好录取分数
[00:00:07 - 00:00:10] 因为我对全国各个学校各个专业是比较了解的
[00:00:10 - 00:00:11] 就是哪些专业比较好
[00:00:11 - 00:00:13] 哪些专业可能相对没有那么好
[00:00:13 - 00:00:17] 哪些专业就业就是会将来发展会比较好
[00:00:17 - 00:00:18] 这都是了解的
[00:00:18 - 00:00:22] 但是当我看到一些我知道的一些比较好的
[00:00:22 - 00:00:23] 学校比较好的专业
[00:00:23 - 00:00:25] 在有些省份录取分数
[00:00:25 - 00:00:28] 录取位次非常低的时候
[00:00:28 - 00:00:34] 我意识到那么这个省份的家长和考生可能对于院校和专业是不了解的
[00:00:34 - 00:00:36] 他们只是一味的居中名校
[00:00:36 - 00:00:40] 而并没有看到说这个学校里边的哪些专业将来是发展比较好的
[00:00:40 - 00:00:42] 然后那个时候我就意识到说
[00:00:42 - 00:00:49] 也许可以把我知道的这些哪些学校哪些专业比较好的这种知识去给家长和考生说一下
[00:00:49 - 00:00:53] 那么他们将来上了这样的一个有一个比较好的未来的话
[00:00:53 - 00:00:55] 他们应该会很开心
[00:00:55 - 00:00:58] 所以说那个时候我就意识到这个对对
[00:00:58 - 00:01:01] 就是当年大概有十几年前了
[00:01:01 - 00:01:05] 然后当时是我刚刚进入口语副导这个行业
[00:01:05 - 00:01:08] 然后那时候去给大家去做讲座
[00:01:08 - 00:01:11] 然后的话中间有一个内蒙古十分大学的一个学生
[00:01:11 - 00:01:13] 他当年他家里边给他报内蒙古十分大学
[00:01:13 - 00:01:15] 就是希望他将来毕业以后
[00:01:15 - 00:01:19] 能够在内蒙古地区当一个初中广东老师
[00:01:19 - 00:01:20] 就觉得挺好的
[00:01:20 - 00:01:22] 但是那个学生听完我的讲座以后的话
[00:01:22 - 00:01:24] 就决定要考研
[00:01:24 - 00:01:26] 后来这个学生考上了中科院
[00:01:26 - 00:01:28] 后来又考到了中科院的博士
[00:01:28 - 00:01:32] 然后再后来又去参加了这种国际交流计划
[00:01:32 - 00:01:35] 然后他有一年在QQ上
[00:01:35 - 00:01:37] 因为当年我是给他爱留我在QQ的
[00:01:37 - 00:01:38] 然后的话他在QQ上给我留言说
[00:01:38 - 00:01:39] 张老师我不知道你还记不记得我
[00:01:39 - 00:01:41] 但是我愿意都记得你
[00:01:41 - 00:01:41] 对
[00:01:41 - 00:01:44] 然后我当年是南德蒙古十分大学
[00:01:44 - 00:01:45] 听了你一场讲座
[00:01:45 - 00:01:47] 然后现在我在丹麦
[00:01:47 - 00:01:49] 理社国家实验室做科研交流
[00:01:49 - 00:01:51] 我平时会跟同学去比利时
[00:01:51 - 00:01:52] 去斯洛伐克就是在欧洲
[00:01:52 - 00:01:55] 他说我如果没有你的话
[00:01:55 - 00:01:58] 我可能就在内蒙古当了一个老师了
[00:01:58 - 00:01:59] 但是有人听了你的课程
[00:01:59 - 00:02:01] 然后考了研究生
[00:02:01 - 00:02:02] 然后现在的人生跟我当年
[00:02:02 - 00:02:04] 如果不考研的话
[00:02:04 - 00:02:05] 可能完全就不一样
[00:02:05 - 00:02:07] 那个时候我真的觉得我们做这个事情
[00:02:07 - 00:02:08] 是非常有意义的
