BV号：BV15J411Y7f2
标题：BV15J411Y7f2
链接：https://www.bilibili.com/video/BV15J411Y7f2
识别语言：zh
语言置信度：1
分段数：30
生成时间：2026-04-04 03:59:31

[00:00:00 - 00:00:02] 河南那個地方的高考特別的難
[00:00:02 - 00:00:03] 難道什麼程度
[00:00:03 - 00:00:05] 河南那個地方它每年什麼情況
[00:00:05 - 00:00:06] 它每年是100萬人高考
[00:00:06 - 00:00:07] 知道吧
[00:00:07 - 00:00:09] 河南每年是100萬人高考
[00:00:09 - 00:00:13] 2111公倫大學只有一個
[00:00:13 - 00:00:15] 就是我上的那個政大
[00:00:15 - 00:00:16] 你要在河南參加高考的話
[00:00:16 - 00:00:20] 你考上一個一本的概率大概是3.5%
[00:00:20 - 00:00:23] 你考上二本的概率大概是12%
[00:00:23 - 00:00:24] 所以同學我跟你說
[00:00:24 - 00:00:27] 如果說你現在身邊有個河南人的話
[00:00:27 - 00:00:29] 請你一定珍惜他
[00:00:29 - 00:00:30] 知道嗎
[00:00:30 - 00:00:33] 同學你看他為了來到你的身邊
[00:00:33 - 00:00:35] 那得幹死多少人啊
[00:00:35 - 00:00:36] 對不對
[00:00:36 - 00:00:38] 這當年都是英雄一般的人物
[00:00:38 - 00:00:39] 知道嗎
[00:00:39 - 00:00:41] 但你說老師哎呦他們這麼忙
[00:00:41 - 00:00:42] 我幹得過他們吧
[00:00:42 - 00:00:44] 同學絕對沒問題
[00:00:44 - 00:00:44] 知道嗎
[00:00:44 - 00:00:46] 同學當你復習考研的時候
[00:00:46 - 00:00:47] 沒什麼資金
[00:00:47 - 00:00:48] 覺得自己底子差
[00:00:48 - 00:00:50] 幹不過山東的河南人的時候
[00:00:50 - 00:00:50] 同學
[00:00:51 - 00:00:52] 請你詳起我
