BV号：BV1ro4y11725
标题：BV1ro4y11725
链接：https://www.bilibili.com/video/BV1ro4y11725
识别语言：zh
语言置信度：1
分段数：55
生成时间：2026-04-03 23:48:39

[00:00:00 - 00:00:02] 你不知道专业的途径是城市工中药
[00:00:02 - 00:00:03] 专业更重要还是学校工中药
[00:00:04 - 00:00:05] 那么多学校那么多专业
[00:00:05 - 00:00:06] 你该怎么选
[00:00:07 - 00:00:10] 其实这个东西应该是一个综合考量的问题
[00:00:10 - 00:00:12] 城市学校专业哪个更重要
[00:00:12 - 00:00:15] 对于专业的专业来讲城市是最重要的
[00:00:15 - 00:00:15] 比如说什么
[00:00:16 - 00:00:18] 医学刚刚我说过城市是最重要的
[00:00:18 - 00:00:18] 对吧
[00:00:18 - 00:00:19] 还有什么
[00:00:19 - 00:00:20] 能学重职力专业
[00:00:20 - 00:00:22] 农业重职力专业
[00:00:22 - 00:00:24] 它的地域是很重要的
[00:00:25 - 00:00:27] 因为你会发现你农业重职力专业
[00:00:27 - 00:00:29] 你在搬进的农业大学学
[00:00:29 - 00:00:30] 重点都是本地的作物
[00:00:30 - 00:00:31] 能明白吗
[00:00:31 - 00:00:32] 我给他举个例子
[00:00:32 - 00:00:33] 一个山东的孩子跑到海南
[00:00:33 - 00:00:34] 去学中枪交
[00:00:34 - 00:00:36] 毕业以后会山东
[00:00:36 - 00:00:37] 中枪交
[00:00:37 - 00:00:39] 下一个那边小朋友就是你儿子
[00:00:39 - 00:00:41] 他真的重出来很厉害
[00:00:41 - 00:00:42] 能明白吗
[00:00:42 - 00:00:43] 所以你会发现
[00:00:43 - 00:00:44] 这种农业重职类专业的话
[00:00:44 - 00:00:45] 他也是比较重低御的
[00:00:45 - 00:00:46] 能明白吗
[00:00:46 - 00:00:47] 还有什么
[00:00:47 - 00:00:48] 适合的专业
[00:00:48 - 00:00:50] 适合的专业也提供低御
[00:00:50 - 00:00:51] 我带着大家举个例子
[00:00:51 - 00:00:53] 你们家孩子生个生的那个高中
[00:00:53 - 00:00:54] 别管是一中业好
[00:00:54 - 00:00:55] 还是二中业好
[00:00:55 - 00:00:57] 你有沒有問過這個老師是哪兒畢業的
[00:00:58 - 00:01:00] 山東本地的學校
[00:01:00 - 00:01:02] 外省的學生畢業的不多
[00:01:02 - 00:01:04] 反而不能說一定啊不多
[00:01:04 - 00:01:07] 師父的專業也是相對比較從地獄的
[00:01:07 - 00:01:09] 學校和專業之間又該有個選擇
[00:01:09 - 00:01:11] 理工類專業的家長
[00:01:11 - 00:01:13] 如果說你要讓他學理工類專業
[00:01:13 - 00:01:16] 理工類專業一定要做專業的還沒有
[00:01:16 - 00:01:18] 社會人的學和類專業一定要做
[00:01:18 - 00:01:20] 地獄二重學校
[00:01:20 - 00:01:21] 三重專業
[00:01:21 - 00:01:25] 文學專業我基本上不會建議大家去追專業
[00:01:25 - 00:01:28] 文文的專業,我基本上不會驗大家去駐專業
[00:01:28 - 00:01:31] 為什麼?尤其是在這份不高的情況下
[00:01:31 - 00:01:34] 大家說要報文文的專業,千萬不要去專業
[00:01:34 - 00:01:37] 為什麼?因為你容易把孩子花費到一個
[00:01:37 - 00:01:40] 就是中西部地區的20%
