BV号：BV1924y1G7EE
标题：BV1924y1G7EE
链接：https://www.bilibili.com/video/BV1924y1G7EE
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 16:03:27

[00:00:00 - 00:00:01] 最可怕的是
[00:00:01 - 00:00:03] 因为这是一个大事
[00:00:03 - 00:00:05] 这对于孩子来讲是个大事
[00:00:05 - 00:00:06] 这是一辈子的事
[00:00:06 - 00:00:07] 有的家长好假伙
[00:00:07 - 00:00:08] 拉了一个大群
[00:00:08 - 00:00:09] 我们有一个老师
[00:00:09 - 00:00:10] 被家长拉进一个大群
[00:00:10 - 00:00:12] 群里边除了我们的老师以外
[00:00:12 - 00:00:14] 群里边一共十个人
[00:00:14 - 00:00:15] 好假伙
[00:00:15 - 00:00:16] 一人一个想法
[00:00:16 - 00:00:18] 一人一个方案
[00:00:18 - 00:00:18] 一人一个想法
[00:00:18 - 00:00:19] 一人一个方法
[00:00:19 - 00:00:21] 唯独没有进这个群的
[00:00:21 - 00:00:23] 是孩子本人
[00:00:23 - 00:00:25] 我当时到那个群里边
[00:00:25 - 00:00:26] 我一看
[00:00:26 - 00:00:27] 我这什么情况
[00:00:27 - 00:00:28] 然后的话
[00:00:28 - 00:00:28] 我们的老师跟我说
[00:00:28 - 00:00:30] 张老师这是谁这是谁这是谁
[00:00:30 - 00:00:32] 我进去我就说了一句话
[00:00:32 - 00:00:34] 我说你们几个谁上大学啊
[00:00:34 - 00:00:36] 这个说这个那个说那个你们几个到底谁上了
[00:00:36 - 00:00:38] 孩子上孩子呢
[00:00:38 - 00:00:39] 孩子干啥去了
[00:00:39 - 00:00:41] 你们在这儿乌扎扎乌扎扎的孩子呢
[00:00:41 - 00:00:43] 然后家长给我嘴嘴我嘴了一句什么呢
[00:00:43 - 00:00:47] 说张老师孩子才多大他懂啥呀
[00:00:47 - 00:00:49] 刚才说那个家长说的有道理的
[00:00:49 - 00:00:51] 我就问你一个简单的问题啊
[00:00:51 - 00:00:52] 这是谁的人生
[00:00:52 - 00:00:53] 孩子十八岁了
[00:00:53 - 00:00:56] 他啥也不懂他有没有知情权
