BV号：BV1P741177xN
标题：BV1P741177xN
链接：https://www.bilibili.com/video/BV1P741177xN
识别语言：zh
语言置信度：1
分段数：2474
生成时间：2026-04-04 02:49:43

[00:00:00 - 00:00:03] 哈喽大家好
[00:00:03 - 00:00:05] 开门开门啊
[00:00:05 - 00:00:06] 然后能听见吗
[00:00:06 - 00:00:07] 能听见的打个一
[00:00:07 - 00:00:09] 能听见的打个一
[00:00:09 - 00:00:13] 能听见吗
[00:00:13 - 00:00:14] 能听见吗
[00:00:14 - 00:00:16] 让我看到你们的存在
[00:00:16 - 00:00:16] 好吗
[00:00:16 - 00:00:18] 啊
[00:00:18 - 00:00:26] 啊
[00:00:26 - 00:00:26] 这已经是最下了
[00:00:26 - 00:00:27] 是吧
[00:00:27 - 00:00:27] 这已经是最下了
[00:00:27 - 00:00:30] 那不应该啊
[00:00:30 - 00:00:31] 不应该
[00:00:31 - 00:00:33] 为什么我上了播以后
[00:00:33 - 00:00:34] 大家一点反应都没有呢
[00:00:34 - 00:00:36] 还是我把这个给关了
[00:00:36 - 00:00:37] 还是怎么都
[00:00:37 - 00:00:39] 理论上不应该啊
[00:00:39 - 00:00:43] 不应该啊
[00:00:43 - 00:00:47] 为什么为什么为什么
[00:00:47 - 00:00:49] 我我我我没开播的时候
[00:00:49 - 00:00:50] 还有点动静
[00:00:50 - 00:00:51] 怎么我一开播以后
[00:00:51 - 00:00:52] 大家都吓跑了
[00:00:52 - 00:00:54] 能听到是吧
[00:00:54 - 00:00:55] 能听到就好
[00:00:55 - 00:00:56] 能听到就好
[00:00:56 - 00:00:58] 哎呀没有居然没有弹幕打扰我
[00:00:58 - 00:00:59] 那我也挺挺
[00:00:59 - 00:01:01] 我也挺不习惯的突然啊
[00:01:01 - 00:01:02] 这怎么就一下子就
[00:01:02 - 00:01:04] 我发现我这个界面的弹幕
[00:01:04 - 00:01:05] 怎么就不好使了
[00:01:05 - 00:01:06] 然后的话
[00:01:06 - 00:01:09] 啊再打啊再再再
[00:01:09 - 00:01:11] 我发现我这个切换了一下
[00:01:11 - 00:01:13] 我今天我怕你们说我憔悴
[00:01:13 - 00:01:15] 我特意在直播前还洗了个澡
[00:01:15 - 00:01:17] 因为离摄像头比较近
[00:01:17 - 00:01:18] 我脸上的坑呢
[00:01:18 - 00:01:19] 包啊
[00:01:19 - 00:01:20] 大家都看得见是吧
[00:01:20 - 00:01:22] 然后今天我们是给大家讲
[00:01:22 - 00:01:25] 这个高考卷填爆以及新高考的选科
[00:01:25 - 00:01:26] 一些东西
[00:01:26 - 00:01:28] 在这个
[00:01:28 - 00:01:29] 讲之前啊
[00:01:29 - 00:01:30] 我们先等一等
[00:01:30 - 00:01:33] 还有其他的这个同学可能还没有进入到直播里来
[00:01:33 - 00:01:35] 然后在等这个过程当中呢
[00:01:35 - 00:01:37] 给大家讲一讲咱们中国大学的
[00:01:37 - 00:01:40] 中国大学的四个发展阶段
[00:01:40 - 00:01:41] 就是大家你会发现
[00:01:41 - 00:01:43] 我们在高考完以后
[00:01:43 - 00:01:45] 精神考证和家长就跑过来跟我说
[00:01:45 - 00:01:48] 说张老师你看你帮我孩子报个志愿
[00:01:48 - 00:01:50] 给我的孩子选一个什么样的大学呢
[00:01:50 - 00:01:52] 选一个好大学
[00:01:52 - 00:01:53] 那什么叫做好大学呢
[00:01:53 - 00:01:55] 什么叫做好大学呢
[00:01:55 - 00:01:56] 那中国的这些大学
[00:01:56 - 00:01:58] 它到底是怎么来的呢
[00:01:58 - 00:02:00] 那么简单给大家概述一下
[00:02:00 - 00:02:03] 概述一下我们中国大学发展的四个阶段
[00:02:03 - 00:02:04] 我们每个阶段
[00:02:04 - 00:02:07] 给大家举一个这样的例子
[00:02:07 - 00:02:09] 比如说哪四个发展间呢
[00:02:09 - 00:02:10] 第一个鞋呢
[00:02:10 - 00:02:11] 就是在解放之前
[00:02:11 - 00:02:12] 解放之前
[00:02:12 - 00:02:13] 有很多学校呢
[00:02:13 - 00:02:16] 其实它的成立是非常非常早的
[00:02:16 - 00:02:17] 比如说大家知道
[00:02:17 - 00:02:20] 咱们所谓的中国近现代
[00:02:20 - 00:02:21] 第一所大学是哪个大学吗
[00:02:22 - 00:02:22] 第一所大学
[00:02:22 - 00:02:24] 近现代第一所大学是哪个大学
[00:02:24 - 00:02:26] 近现代第一所大学是哪个大学
