BV号：BV1ayyUYVE8a
标题：BV1ayyUYVE8a
链接：https://www.bilibili.com/video/BV1ayyUYVE8a
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-04-03 07:51:55

[00:00:00 - 00:00:01] 大工费生指的是什么呢
[00:00:01 - 00:00:02] 指的是工费能核生
[00:00:02 - 00:00:04] 工费医学生和工费师范生
[00:00:04 - 00:00:06] 三大工费生
[00:00:06 - 00:00:07] 三大工费生
[00:00:07 - 00:00:08] 但是大家注意
[00:00:08 - 00:00:11] 地方免费工费师范生近两年
[00:00:11 - 00:00:12] 招生压力还是蛮大的
[00:00:12 - 00:00:16] 地方免费工费师范生招生压力还是蛮大的
[00:00:16 - 00:00:20] 因为地方免费工费师范生都是你的顾口
[00:00:20 - 00:00:22] 然后定向到你不服所在地区就业
[00:00:22 - 00:00:23] 但是有的时候
[00:00:23 - 00:00:26] 如果说你自己家里边是农村的
[00:00:26 - 00:00:27] 家里边是小县城的
[00:00:27 - 00:00:29] 你一定要重点考虑一个问题
[00:00:29 - 00:00:31] 就是你当地的人口流动
[00:00:32 - 00:00:34] 换句话说就是你当地外来人口多不多
[00:00:34 - 00:00:35] 大家听懂了吗
[00:00:35 - 00:00:36] 听懂口听懂
[00:00:37 - 00:00:39] 你当地外来人口比较多
[00:00:39 - 00:00:41] 地方免费工费示范生
[00:00:41 - 00:00:42] 我个人觉得还是可以的
[00:00:42 - 00:00:45] 但是你当地外来人口并不是很多
[00:00:45 - 00:00:48] 地方免费工费示范生就一定要慎重
[00:00:48 - 00:00:51] 考虑地方免费工费示范生的家长
[00:00:51 - 00:00:53] 你要考虑一个问题
[00:00:53 - 00:00:56] 就是你们当地近两年
[00:00:56 - 00:00:58] 你们当地婴儿的出生数量去了解
[00:00:58 - 00:01:02] 就是你有考慮報地方免費公費示範生的家長
[00:01:02 - 00:01:05] 你們當地那一年的應有兒的數量
[00:01:05 - 00:01:06] 你去了解一下
[00:01:06 - 00:01:08] 當地屋層的數量去了解一下
[00:01:08 - 00:01:11] 然後再說你報不報地方免費公費示範生
[00:01:11 - 00:01:13] 因為在有的地方有的地方
[00:01:13 - 00:01:14] 不見了這種情況
[00:01:14 - 00:01:17] 就是孩子上地方免費公費示範生
[00:01:17 - 00:01:18] 因為他是定向分配的
[00:01:18 - 00:01:20] 然後的話定到那個學校
[00:01:20 - 00:01:23] 結果學生從大學畢業以後回來發現
[00:01:23 - 00:01:24] 學校不美因
[00:01:24 - 00:01:25] 因為學生太少
[00:01:25 - 00:01:26] 沒了
[00:01:26 - 00:01:28] 國家免費公費示範生
[00:01:28 - 00:01:29] 我個人覺得是沒有問題的
[00:01:29 - 00:01:31] 地方免費公衛示範說
[00:01:31 - 00:01:33] 一定要看當地呼聲人口數量
[00:01:33 - 00:01:36] 以及外來人口數量是增還是減
[00:01:36 - 00:01:38] 這個我個人覺得很重要
[00:01:38 - 00:01:40] 千萬別瞎報
[00:01:40 - 00:01:41] 別一一唯一
