BV号：BV1Lx411o7UA
标题：BV1Lx411o7UA
链接：https://www.bilibili.com/video/BV1Lx411o7UA
识别语言：zh
语言置信度：1
分段数：224
生成时间：2026-04-04 07:50:06

[00:00:00 - 00:00:02] 歡迎大家來到張老師課堂
[00:00:02 - 00:00:03] 我是張雪豐老師
[00:00:20 - 00:00:23] 高考結束以後很多考生和家長
[00:00:23 - 00:00:25] 最關心的可能就是志願填報的事情了
[00:00:25 - 00:00:27] 俗話說七一分考三分報
[00:00:27 - 00:00:30] 報考志願可千萬馬虎不奪
[00:00:30 - 00:00:32] 但是大家在填報志願過程當中
[00:00:32 - 00:00:34] 可能會遇到各種各樣的問題
[00:00:34 - 00:00:37] 比如說我們如何才能夠更新更快的獲取一些
[00:00:37 - 00:00:39] 高考報考的資訊
[00:00:39 - 00:00:40] 那我在高考報志願的時候
[00:00:40 - 00:00:42] 我到底要選什麼樣的專業
[00:00:42 - 00:00:45] 我報的這個學校到底能不能考得上
[00:00:45 - 00:00:47] 咱們今天張老師就給大家
[00:00:47 - 00:00:49] 指點一下交給大家一些小方法
[00:00:49 - 00:00:52] 能夠幫助大家把志願填好
[00:00:55 - 00:00:57] 首先我們在報志願的時候
[00:00:57 - 00:01:01] 要了解一下報志願的一些基本常識和基本政策
[00:01:01 - 00:01:03] 比如說提前批該怎麼報
[00:01:03 - 00:01:05] 比如說平行志願下
[00:01:05 - 00:01:07] 志願填報到底該怎麼報
[00:01:07 - 00:01:08] 那麼平行志願下
[00:01:08 - 00:01:09] 大家一到知道
[00:01:09 - 00:01:12] 那個位次是非常重要的
[00:01:12 - 00:01:14] 說白了就是你在省份
[00:01:14 - 00:01:16] 李克勝也好文科生也好
[00:01:16 - 00:01:18] 你到底大概能考多少名
[00:01:18 - 00:01:19] 多少位次
[00:01:19 - 00:01:24] 比如說你在你的省份李和升考了1萬名
[00:01:24 - 00:01:30] 那麼你報的這個學校應該是往年8000名到15000之間
[00:01:30 - 00:01:33] 錄取了這麼一個區間段的學校
[00:01:33 - 00:01:35] 那麼理論上你學都可以報的
[00:01:35 - 00:01:37] 因為我們一般在報學院的時候
[00:01:37 - 00:01:38] 都是想著什麼樣
[00:01:38 - 00:01:40] 前幾個志願我衝一衝
[00:01:40 - 00:01:41] 對吧
[00:01:41 - 00:01:45] 衝擊那些往年我這個位次上不了的名校
[00:01:45 - 00:01:46] 萬一要是能上呢
[00:01:46 - 00:01:47] 對吧
[00:01:47 - 00:01:49] 那中間的幾個志願呢
[00:01:49 - 00:01:50] 我就穩一穩
[00:01:50 - 00:01:51] 比如說我一萬名
[00:01:51 - 00:01:55] 我就報幾個往年一萬名提黨做學校
[00:01:55 - 00:01:56] 這樣的話相對比較穩妥一些
[00:01:56 - 00:01:58] 也比較合適一些
[00:01:58 - 00:01:59] 最後幾個志願呢
[00:01:59 - 00:02:00] 我就保一保
[00:02:00 - 00:02:02] 比如說我是一萬名
[00:02:02 - 00:02:04] 我就報幾個往年一萬兩千名
[00:02:04 - 00:02:05] 到一萬五千名
[00:02:05 - 00:02:06] 就可以錄取的學校
[00:02:06 - 00:02:07] 這樣的話我一萬名
[00:02:07 - 00:02:09] 我砸我也能上大學呀
[00:02:09 - 00:02:10] 對吧
[00:02:10 - 00:02:12] 所以說大家一般情況下會採取這樣的
[00:02:12 - 00:02:13] 叫衝一衝
[00:02:13 - 00:02:14] 穩一穩
[00:02:14 - 00:02:15] 保一保的方法
[00:02:15 - 00:02:16] 來報學院
[00:02:16 - 00:02:20] 而大家需要注意的是在沖一沖的時候
[00:02:20 - 00:02:24] 對於專業的天使大家一定要有一點小講究
[00:02:24 - 00:02:25] 為什麼呀
[00:02:25 - 00:02:25] 大家一想
[00:02:25 - 00:02:29] 萬一你沖上了你田的這個學校
[00:02:29 - 00:02:31] 萬一你沖上了這個學校
[00:02:31 - 00:02:37] 因為你很有可能是這個學校錄取的最後一名提檔線
[00:02:37 - 00:02:39] 你的分就是那個提檔線
[00:02:39 - 00:02:40] 你被提檔了
