BV号：BV1Qt4y1E7tn
标题：BV1Qt4y1E7tn
链接：https://www.bilibili.com/video/BV1Qt4y1E7tn
识别语言：zh
语言置信度：1
分段数：58
生成时间：2026-04-03 17:47:22

[00:00:00 - 00:00:01] 也不行的话真不行
[00:00:01 - 00:00:02] 大家你相信我
[00:00:02 - 00:00:04] 物理和数学这种专业
[00:00:04 - 00:00:06] 这种科目没有最差
[00:00:06 - 00:00:07] 只有更差
[00:00:07 - 00:00:09] 它可以差到毫无边际
[00:00:09 - 00:00:10] 真的
[00:00:10 - 00:00:12] 有的人五行缺这碗
[00:00:12 - 00:00:13] 掐指一算
[00:00:13 - 00:00:14] 五行缺数学
[00:00:14 - 00:00:16] 五行缺物理
[00:00:16 - 00:00:17] 真的有人会缺的
[00:00:17 - 00:00:19] 就一个家长找我们
[00:00:19 - 00:00:21] 说一一得一
[00:00:21 - 00:00:21] 知道吗
[00:00:21 - 00:00:22] 知道
[00:00:22 - 00:00:23] 负一乘以负一得一
[00:00:23 - 00:00:24] 知道吗
[00:00:24 - 00:00:24] 知道
[00:00:24 - 00:00:26] 一一乘以负一得多少
[00:00:26 - 00:00:27] 不知道
[00:00:27 - 00:00:28] 我说不至于吧
[00:00:28 - 00:00:29] 真的啊
[00:00:29 - 00:00:31] 家长跟我说的原话真是这样
[00:00:31 - 00:00:31] 真的
[00:00:31 - 00:00:32] 说赵老师
[00:00:32 - 00:00:34] 我们家孩子五行缺数学
[00:00:34 - 00:00:35] 他跟我说句话
[00:00:35 - 00:00:35] 我愣着你知道吧
[00:00:35 - 00:00:37] 我说五行缺数学
[00:00:37 - 00:00:39] 我想这么大头一次挺
[00:00:39 - 00:00:40] 我说你算过呀
[00:00:40 - 00:00:40] 他说
[00:00:40 - 00:00:41] 嗯
[00:00:41 - 00:00:42] 我说你真算过
[00:00:42 - 00:00:42] 他说
[00:00:42 - 00:00:43] 嗯
[00:00:43 - 00:00:44] 他说我说我们家小孩
[00:00:44 - 00:00:45] 刚生出来玩眼后的话
[00:00:45 - 00:00:46] 我就给他找了个人
[00:00:46 - 00:00:46] 算的
[00:00:46 - 00:00:47] 那大师说
[00:00:47 - 00:00:49] 说我们家孩子五行缺数学
[00:00:49 - 00:00:50] 我说这大师肯定学理科的
[00:00:50 - 00:00:51] 学文科的他算不出来这玩意
[00:00:51 - 00:00:52] 五行缺数学
[00:00:52 - 00:00:53] 真有这样的
[00:00:53 - 00:00:53] 所以说的话
[00:00:53 - 00:00:54] 我跟你说
[00:00:54 - 00:00:54] 真的
[00:00:54 - 00:00:56] 数学和物理没有对差
[00:00:56 - 00:00:57] 可以更差
[00:00:57 - 00:00:58] 这不行的话真不行
[00:00:58 - 00:00:59] 这真事儿
[00:00:59 - 00:01:00] 别以为我进
[00:01:00 - 00:01:01] 开玩笑闹着玩儿给你讲断了
[00:01:01 - 00:01:03] 这真事儿
[00:01:03 - 00:01:04] 这真事儿
