BV号：BV1za4y1a7Nd
标题：BV1za4y1a7Nd
链接：https://www.bilibili.com/video/BV1za4y1a7Nd
识别语言：zh
语言置信度：1
分段数：159
生成时间：2026-04-04 01:43:06

[00:00:00 - 00:00:03] 这是一个教你怎么在高考职员填冒当中
[00:00:03 - 00:00:05] 如何选学校 如何选专业
[00:00:05 - 00:00:08] 如何报职员不后悔的付费专栏
[00:00:11 - 00:00:13] 我们今天又给大家介绍的这个专业是
[00:00:14 - 00:00:16] 如果要选功科
[00:00:16 - 00:00:20] 韩德同学仍然不会去选的叫做水利水电工程
[00:00:20 - 00:00:22] 那么据像我们之前给大家所说的
[00:00:22 - 00:00:23] 如果要选功科
[00:00:23 - 00:00:24] 大家可能会选一些什么机械
[00:00:24 - 00:00:25] 对吧
[00:00:25 - 00:00:26] 什么什么计算机
[00:00:26 - 00:00:27] 通信电器
[00:00:27 - 00:00:30] 韩少同学会选水利水电工程
[00:00:30 - 00:00:31] 但往往这个专业
[00:00:31 - 00:00:35] 只要有学校在招收这个专业的时候
[00:00:35 - 00:00:36] 招收的人数都特别多
[00:00:36 - 00:00:39] 印象最深的就是在我上大学的时候
[00:00:39 - 00:00:41] 我上大学的时候正好是跟这个专业
[00:00:41 - 00:00:42] 是放在一个学院
[00:00:42 - 00:00:45] 我们学院一届招三百多人
[00:00:45 - 00:00:48] 这一个专业要招150多人
[00:00:48 - 00:00:50] 所以说的话招数规模是非常大的
[00:00:50 - 00:00:52] 实际上在各个省份
[00:00:52 - 00:00:54] 你只要这个学校这个专业在招生
[00:00:54 - 00:00:57] 在各个省份招生的人数都还不少
[00:00:57 - 00:00:59] 所以说的话即使你不报
[00:00:59 - 00:01:00] 也会可能被调
[00:01:00 - 00:01:05] 但其实这个专业没有大家想象的那么不堪
[00:01:05 - 00:01:07] 确实累会有点累
[00:01:07 - 00:01:10] 但是这个专业没有大家想象的那么不堪
[00:01:10 - 00:01:11] 其实在它说很多很多就业方向
[00:01:11 - 00:01:14] 是未来前景非常好的
[00:01:14 - 00:01:17] 我们来看一下专业的具体专业介绍
[00:01:17 - 00:01:19] 水利工程就是控制和调配
[00:01:19 - 00:01:22] 自然界当中的地表水和地下水
[00:01:22 - 00:01:26] 达到除害心力的目的而修建的工程
[00:01:26 - 00:01:29] 大家你要知道水这个东西
[00:01:29 - 00:01:32] 受我们人类不可或缺的一个资源
[00:01:32 - 00:01:34] 我们说如果说一个人不吃饭
[00:01:35 - 00:01:36] 他大概能活一个星期
[00:01:36 - 00:01:37] 但是如果说一个人不喝水
[00:01:37 - 00:01:40] 会三天他可能都撑不下去
[00:01:40 - 00:01:41] 所以说女化发现
[00:01:41 - 00:01:43] 现在很多世界上的一些各种各样的
[00:01:43 - 00:01:45] 争端都是跟谁有关系的
[00:01:45 - 00:01:47] 而且水污染现在问题很严重
[00:01:47 - 00:01:49] 咱们国家也是一个相对于
[00:01:49 - 00:01:51] 比较缺水的这样的一个国家
[00:01:51 - 00:01:52] 我们有这样的各种各样的工程
[00:01:52 - 00:01:53] 比如说什么南水北调
[00:01:53 - 00:01:55] 现在我前两天我看到了一个
[00:01:55 - 00:01:57] 更让我惊讶的工程
[00:01:57 - 00:02:00] 说我们现在要把西南地区的水引到新疆去
[00:02:00 - 00:02:03] 希望把新疆打面积的沙漠的土地
[00:02:03 - 00:02:05] 变成一个可以种植的这样一个土地
[00:02:05 - 00:02:09] 可见水的问题在全世界几乎所有的国家
[00:02:09 - 00:02:11] 都是一个非常重要的问题
[00:02:11 - 00:02:12] 那么我们要分配的水源
[00:02:12 - 00:02:15] 包括像地表水和地下水
[00:02:15 - 00:02:16] 地表水和地下水
[00:02:16 - 00:02:18] 实际上在这里边还少写了一个东西
[00:02:18 - 00:02:19] 什么呢
[00:02:19 - 00:02:20] 海洋当中
[00:02:20 - 00:02:21] 其实水最多的是什么
[00:02:21 - 00:02:22] 是海洋
[00:02:22 - 00:02:23] 我们现在也要怎么样
[00:02:23 - 00:02:26] 要将近利用一下海洋的
[00:02:26 - 00:02:29] 要充分利用下海洋的水资源
[00:02:29 - 00:02:30] 那么达到什么
[00:02:30 - 00:02:32] 除害 心力
[00:02:32 - 00:02:33] 大家你要注意
[00:02:33 - 00:02:35] 除害和心力这是两个不同的词
[00:02:35 - 00:02:36] 因为水
[00:02:36 - 00:02:38] 它如果说一旦成为祸害的话
[00:02:38 - 00:02:40] 也会很严重
[00:02:40 - 00:02:41] 你会发现每一年
[00:02:41 - 00:02:43] 我们国家到暑假的时候
[00:02:43 - 00:02:44] 都要怎么样
[00:02:44 - 00:02:45] 到防汛
[00:02:45 - 00:02:45] 到防汛
[00:02:45 - 00:02:47] 我印象最深的就是98年
[00:02:47 - 00:02:49] 我印象最深的就是98年
[00:02:49 - 00:02:50] 因为98年那一年
[00:02:50 - 00:02:53] 如果大家你们可能还没有出生
[00:02:53 - 00:02:55] 很多高号好像没有出生
[00:02:55 - 00:02:58] 但是我相信各位家长一定是忘不了98年大洪水
