BV号：BV1bv4y1o7nB
标题：BV1bv4y1o7nB
链接：https://www.bilibili.com/video/BV1bv4y1o7nB
识别语言：zh
语言置信度：1
分段数：51
生成时间：2026-04-04 00:55:02

[00:00:00 - 00:00:02] 苏东还谈到了对于第一学历
[00:00:02 - 00:00:04] 包括像有的专业
[00:00:04 - 00:00:05] 他的工作的分析
[00:00:05 - 00:00:08] 那么在被替代可能性很高的高位职业当中
[00:00:08 - 00:00:10] 有两个非常明显的特点
[00:00:10 - 00:00:11] 一个就是公司貌不高
[00:00:11 - 00:00:13] 另外一个就是不稳定
[00:00:13 - 00:00:15] 比如说你一个大学本科毕业生
[00:00:15 - 00:00:16] 你像在苏州这样的城市
[00:00:16 - 00:00:18] 你加上各种各样的福利
[00:00:18 - 00:00:20] 现在目前一年下来
[00:00:20 - 00:00:22] 最低最低也得七万块钱左右
[00:00:22 - 00:00:24] 那如果你稍微努力的话
[00:00:24 - 00:00:25] 有那么两三年工作经验
[00:00:25 - 00:00:28] 那么你在30岁之前达到年薪20万
[00:00:28 - 00:00:30] 这个事是非常有可能的
[00:00:30 - 00:00:31] 不是特别的难
[00:00:31 - 00:00:33] 但是对于有些行业
[00:00:33 - 00:00:33] 它就很难了
[00:00:33 - 00:00:35] 比如说像理发师
[00:00:35 - 00:00:36] 像健身教练这种
[00:00:36 - 00:00:39] 那你从初级的一个工作人员
[00:00:39 - 00:00:40] 从业人员
[00:00:40 - 00:00:42] 然后你想成长到年薪20万
[00:00:42 - 00:00:43] 甚至年薪30万
[00:00:43 - 00:00:45] 甚至更高级别的人员的话
[00:00:45 - 00:00:47] 好像就没有那么容易
[00:00:47 - 00:00:48] 那么有些专业
[00:00:48 - 00:00:49] 有些行业确实是
[00:00:49 - 00:00:51] 很容易就会碰到你行业的工资帽
[00:00:51 - 00:00:52] 你的天花板
[00:00:52 - 00:00:54] 而那些有着高血力
[00:00:54 - 00:00:57] 和特别强的专业技能加持的工作者
[00:00:57 - 00:00:58] 那它可能就不一样了
[00:00:58 - 00:01:01] 它只要能跟上行业的一个迭代
[00:01:01 - 00:01:03] 它可以持续的往前走
[00:01:03 - 00:01:05] 那么对于相应的低学历的人
[00:01:05 - 00:01:07] 包括说一些专业可能选的不是很好的人来讲
[00:01:07 - 00:01:09] 这个几乎就是不可能的
[00:01:09 - 00:01:10] 所以说大家在看的时候
[00:01:10 - 00:01:11] 不要老是在评论什么
[00:01:11 - 00:01:13] 哎呀 你就是想劝大家考验
[00:01:13 - 00:01:14] 你就是想怎样怎样的
[00:01:14 - 00:01:16] 你学历高低
[00:01:16 - 00:01:18] 跟我半毛钱关系都没有
[00:01:18 - 00:01:20] 那么跟你自己能够有多少钱的收入
[00:01:20 - 00:01:21] 是有关系的
[00:01:21 - 00:01:22] 所以说好好想一想
[00:01:22 - 00:01:24] 你将来到了我这个年
[00:01:24 - 00:01:26] 甚至到了五六十岁
[00:01:26 - 00:01:27] 你该怎么挣钱呢
