BV号：BV1Nm4y1y7gn
标题：BV1Nm4y1y7gn
链接：https://www.bilibili.com/video/BV1Nm4y1y7gn
识别语言：zh
语言置信度：1
分段数：29
生成时间：2026-04-03 15:38:17

[00:00:00 - 00:00:01] 法学是不是要考研不一定
[00:00:01 - 00:00:02] 看你想干嘛
[00:00:02 - 00:00:04] 如果说你想进工员队伍的话
[00:00:04 - 00:00:05] 直接去考工就可以了
[00:00:05 - 00:00:06] 不一定非得考研
[00:00:06 - 00:00:08] 法学考研的意义是什么
[00:00:08 - 00:00:09] 大家知道吗
[00:00:09 - 00:00:10] 如果说你研究生毕业以后
[00:00:10 - 00:00:13] 想直接去律师事务所工作
[00:00:13 - 00:00:15] 你需要换一个研究生学历
[00:00:15 - 00:00:16] 或者是换一个院校导师
[00:00:16 - 00:00:18] 因为体制派的律师事务所
[00:00:18 - 00:00:19] 它是要看院校导师的
[00:00:19 - 00:00:20] 所以说的话
[00:00:20 - 00:00:22] 你法学考研的意义就是在换学校
[00:00:22 - 00:00:24] 律师事务所是很看学校导师
[00:00:24 - 00:00:26] 不是看你个专业水准的
[00:00:26 - 00:00:27] 专业水准你没有实际操作
[00:00:27 - 00:00:29] 你是看不出来的
[00:00:29 - 00:00:30] 你得有求门尊
[00:00:30 - 00:00:32] 学校名校就有求门尊
[00:00:32 - 00:00:33] 这是法学的一个
[00:00:33 - 00:00:35] 考研的一个主要的原因
[00:00:35 - 00:00:36] 如果说你说老师
[00:00:36 - 00:00:37] 我本身是想进入了公园队伍
[00:00:37 - 00:00:38] 老老实实把你的历史
[00:00:38 - 00:00:39] 从一个字课证考掉
[00:00:39 - 00:00:40] 然后的话
[00:00:40 - 00:00:41] 开考公去考公就可以了
