BV号：BV1FL4y1T7SX
标题：BV1FL4y1T7SX
链接：https://www.bilibili.com/video/BV1FL4y1T7SX
识别语言：zh
语言置信度：1
分段数：140
生成时间：2026-04-03 19:12:33

[00:00:00 - 00:00:03] 大家好 我上了学习变得更快乐的张学峰老师
[00:00:03 - 00:00:05] 马上就要考试了
[00:00:05 - 00:00:07] 可能有的同学很紧张
[00:00:07 - 00:00:09] 有的同学就是怕自己考不好
[00:00:09 - 00:00:12] 那么在考前 张老师在改带来录最后一个视频
[00:00:12 - 00:00:15] 提醒一下我们考试当中心态也好
[00:00:15 - 00:00:17] 或者说一些注意事项
[00:00:17 - 00:00:18] 首先我想跟大家说
[00:00:18 - 00:00:19] 就是经常有同学问我
[00:00:19 - 00:00:21] 说张老师 我想问一下
[00:00:21 - 00:00:23] 什么样的考生在考场上会发挥的比较好
[00:00:23 - 00:00:26] 那一定是什么样的人 自信的人
[00:00:26 - 00:00:28] 状态 状态 很重要
[00:00:28 - 00:00:32] 到最后的时候你就不要想着说我什么东西会什么东西不会了
[00:00:32 - 00:00:34] 你要默默的相信自己
[00:00:34 - 00:00:35] 就是出的都会
[00:00:35 - 00:00:37] 蒙的也都对
[00:00:37 - 00:00:38] 那你在考场上的时候的话
[00:00:38 - 00:00:40] 实际上是一个比拼的过程
[00:00:40 - 00:00:42] 就是你在考场上见到的任何一个人
[00:00:42 - 00:00:44] 他都是你的竞争对手
[00:00:44 - 00:00:48] 而这个时候你要把自己的状态调整到一个非常Up的状态
[00:00:48 - 00:00:48] 知道吧
[00:00:48 - 00:00:50] 非常非常Up的状态
[00:00:50 - 00:00:51] 自信
[00:00:51 - 00:00:52] 老子今天弄死你们
[00:00:52 - 00:00:54] 老娘就是最棒的
[00:00:54 - 00:00:56] 你有这种自信你有这种气势以后的话
[00:00:56 - 00:00:57] 别人看到你
[00:00:57 - 00:00:58] 你怎么样
[00:00:58 - 00:01:00] 谁都紧张
[00:01:00 - 00:01:01] 看看这个
[00:01:01 - 00:01:02] 看看那个对吧
[00:01:02 - 00:01:02] 发现
[00:01:02 - 00:01:02] 哎呀
[00:01:02 - 00:01:04] 你怎么这么厉害啊
[00:01:04 - 00:01:05] 你怎么精神都这么足
[00:01:05 - 00:01:06] 你怎么这么有自信啊
[00:01:06 - 00:01:07] 怎么样
[00:01:07 - 00:01:10] 你就会把压力转嫁到别人的身上
[00:01:10 - 00:01:12] 但如果说你中间你去害怕
[00:01:12 - 00:01:14] 你去这个为手为脚
[00:01:14 - 00:01:15] 你去不自信的话
[00:01:15 - 00:01:16] 你看到别人怎么样
[00:01:16 - 00:01:17] 很有可能会
[00:01:17 - 00:01:18] 你本来就很紧张
[00:01:18 - 00:01:19] 然后的话
[00:01:19 - 00:01:20] 你越来越紧张
[00:01:20 - 00:01:22] 所以说大家一定要让自己的状态
[00:01:22 - 00:01:22] 二块起来
[00:01:22 - 00:01:23] 我就是最牛的
[00:01:23 - 00:01:25] 我就是最棒的
[00:01:25 - 00:01:25] 而且的话呢
[00:01:25 - 00:01:26] 也不要考虑说
[00:01:26 - 00:01:27] 我万一考不好怎么办
[00:01:27 - 00:01:29] 我是不是考不好就完蛋了
[00:01:29 - 00:01:30] 绝对不是这样
[00:01:30 - 00:01:32] 我坚持给我们的学生讲
[00:01:32 - 00:01:32] 我说人生啊
[00:01:32 - 00:01:34] 十分之三个非常重要的阶段
[00:01:34 - 00:01:35] 第一个阶段呢
[00:01:35 - 00:01:36] 就是你高考
[00:01:36 - 00:01:39] 啊就是说他会决定一个你所谓的平台的一个
[00:01:39 - 00:01:40] 起点的高度
