BV号：BV1bb411V7bT
标题：BV1bb411V7bT
链接：https://www.bilibili.com/video/BV1bb411V7bT
识别语言：zh
语言置信度：1
分段数：250
生成时间：2026-04-04 08:14:52

[00:00:00 - 00:00:02] 大家好 我是小学习变得更合了的张雪峰老师
[00:00:02 - 00:00:08] 在2003年的9月份重庆的农民古先泉家中发生了一个非常非常不好的事情
[00:00:08 - 00:00:10] 就是一个古先泉的堂弟
[00:00:10 - 00:00:14] 这个古某某趁着古先泉在外面打工不在家的时候
[00:00:14 - 00:00:18] 跑到古先泉家中去强奸他的妻子张某
[00:00:18 - 00:00:21] 在过程当中 张某是强烈的反抗
[00:00:21 - 00:00:24] 古某某气的打了张某一个嘴巴子
[00:00:24 - 00:00:25] 把张某给打晕了
[00:00:25 - 00:00:27] 没想到张某肃清以后
[00:00:27 - 00:00:29] 这个古某某继续对他实行毆打
[00:00:29 - 00:00:31] 那么在打的工程当中呢
[00:00:31 - 00:00:32] 打了四个嘴巴
[00:00:32 - 00:00:34] 并且打掉了张某的两颗牙齿
[00:00:34 - 00:00:35] 这个时候呢
[00:00:35 - 00:00:36] 他隔壁院子
[00:00:36 - 00:00:38] 古先泉的另外一个亲戚
[00:00:38 - 00:00:39] 听到了张某的胡教授
[00:00:39 - 00:00:42] 将这个古某某给打好了
[00:00:42 - 00:00:44] 晚上古先泉回到家中
[00:00:44 - 00:00:45] 听说了这个事情
[00:00:45 - 00:00:47] 气的就跑到这个古某某家中
[00:00:47 - 00:00:49] 去到这个古某某理论
[00:00:49 - 00:00:50] 在理论工程当中呢
[00:00:50 - 00:00:52] 这个古某某坚决不认错
[00:00:52 - 00:00:55] 而且还挥拳打古先泉
[00:00:55 - 00:00:56] 古先泉一生气
[00:00:56 - 00:00:57] 拿着菜刀
[00:00:57 - 00:00:58] 砍了36刀
[00:00:58 - 00:01:01] 将这个古某某直接给杀死了
[00:01:01 - 00:01:04] 咱们中国古人都这么一句话叫做杀人长命
[00:01:04 - 00:01:06] 那么在本案当中
[00:01:06 - 00:01:10] 这个古先权会因为杀掉古某某而长命吗
[00:01:10 - 00:01:13] 这就是我们要给大家讲的事情
[00:01:21 - 00:01:21] 大家好
[00:01:21 - 00:01:23] 我是让学习变得更快乐的张雪丰老师
[00:01:23 - 00:01:25] 欢迎大家收看法律骑士
[00:01:25 - 00:01:25] 很好玩
[00:01:25 - 00:01:26] 那坐在我身边的呢
[00:01:26 - 00:01:28] 依然是我们的法学专家
[00:01:28 - 00:01:30] 我们研途教育的签约老师杨晏霞老师
[00:01:30 - 00:01:32] 杨老师跟大家再打个招呼吧
