BV号：BV1QNtHziEDR
标题：BV1QNtHziEDR
链接：https://www.bilibili.com/video/BV1QNtHziEDR
识别语言：zh
语言置信度：1
分段数：97
生成时间：2026-04-03 04:18:34

[00:00:00 - 00:00:01] 还想问一个问题
[00:00:01 - 00:00:02] 就是咱们这个
[00:00:02 - 00:00:03] 因为理工科的法学嘛
[00:00:03 - 00:00:05] 这个学校的保研啊
[00:00:05 - 00:00:07] 不管是不免就业啊
[00:00:07 - 00:00:08] 可能不如
[00:00:08 - 00:00:10] 不如那个
[00:00:10 - 00:00:12] 文科类的或者综合类的学校
[00:00:12 - 00:00:13] 就是这么说吧
[00:00:13 - 00:00:15] 不如传统优势名校强
[00:00:15 - 00:00:17] 对对对对
[00:00:17 - 00:00:19] 我们在想就是
[00:00:19 - 00:00:20] 还是新就业还是考研啊
[00:00:20 - 00:00:21] 家长是这样子的
[00:00:21 - 00:00:24] 如果说你从法学这个角度来讲的话
[00:00:24 - 00:00:26] 你说老师我是先就业还是先考研
[00:00:26 - 00:00:27] 这个问题几乎是
[00:00:27 - 00:00:29] 不怎么成立的
[00:00:29 - 00:00:31] 为什么来我给大家讲一下法学这个专业
[00:00:31 - 00:00:33] 未来它所谓的有可能的发展路径
[00:00:33 - 00:00:35] 首先我跟大家说一下
[00:00:35 - 00:00:39] 法学这个专业其实从社会的需求角度来讲是非常非常低的
[00:00:39 - 00:00:41] 注意我说的是社会需求
[00:00:41 - 00:00:44] 这个社会需求它不包括公务员的需求
[00:00:44 - 00:00:46] 如果说从口供的这个角度来讲
[00:00:46 - 00:00:48] 法学是口供的第一大专业
[00:00:48 - 00:00:49] 不管在哪个省都是这样
[00:00:49 - 00:00:52] 因为发减系统每年都会有退休的
[00:00:52 - 00:00:55] 发减系统每年也都会从发减系统出来辞职
[00:00:55 - 00:00:57] 它为什么出了辞职
[00:00:57 - 00:00:58] 我跟大家这样说
[00:00:58 - 00:01:00] 我是没有很多朋友
[00:01:00 - 00:01:01] 他原来是税务的
[00:01:01 - 00:01:02] 他原来是法院的
[00:01:02 - 00:01:04] 他很有可能是干着干着
[00:01:04 - 00:01:06] 在照纵年的时候
[00:01:06 - 00:01:07] 在我这个年龄四十多岁
[00:01:07 - 00:01:09] 他正在网上爬的时候
[00:01:09 - 00:01:10] 他有一定经验的
[00:01:10 - 00:01:11] 他不干了
[00:01:11 - 00:01:12] 他为什么不干了
[00:01:12 - 00:01:14] 因为他生活的压力相对比较大
[00:01:14 - 00:01:16] 比如说我有一个朋友就是这样
[00:01:16 - 00:01:17] 他在这个系统
[00:01:17 - 00:01:18] 在系统内工作
[00:01:18 - 00:01:19] 工作完以后的话
[00:01:19 - 00:01:21] 家里边孩子要上国际学校
[00:01:21 - 00:01:21] 他正常来讲
[00:01:21 - 00:01:22] 在体制内的工资
[00:01:22 - 00:01:24] 是支撑不起他国际学校的学费的
[00:01:24 - 00:01:27] 他也有可能会从体制内往外跑
[00:01:27 - 00:01:29] 所以说你会发现在公务员的对付当中
[00:01:29 - 00:01:31] 这个人为什么干着干着不干了
[00:01:31 - 00:01:33] 一定是他出来以后
[00:01:33 - 00:01:35] 挣的钱比他在里边多
[00:01:35 - 00:01:37] 来我们直播间在体制内干的家长
[00:01:37 - 00:01:38] 告诉我们直播间其他家长
[00:01:38 - 00:01:39] 老张讲的对不对
[00:01:39 - 00:01:40] 是不是这样
[00:01:41 - 00:01:43] 在体制内干的好好的为什么不干了呢
[00:01:43 - 00:01:46] 他一定是他辞职在社会上
[00:01:46 - 00:01:49] 有一些工作比他在体制内的工作的
[00:01:49 - 00:01:49] 工作要高
[00:01:49 - 00:01:51] 这个时候的经济压力比较大
[00:01:51 - 00:01:53] 然后的话他做这样的一个决定
[00:01:53 - 00:01:54] 所以说你会发现
[00:01:54 - 00:01:56] 他经常会有这种就是在
[00:01:56 - 00:02:00] 财政啊,税务啊,然后的话这个法检系统啊
[00:02:00 - 00:02:02] 经常会有这样的区度辞职的
[00:02:02 - 00:02:04] 然后它每年缺的人会很多
[00:02:04 - 00:02:06] 所以说你说老师我直接去就业
[00:02:06 - 00:02:09] 你直接去就业其实指的是什么?
[00:02:09 - 00:02:12] 法学这个专业我强烈建议是先口工
[00:02:12 - 00:02:13] 再去就业了
[00:02:13 - 00:02:15] 你现在公务员体之内
[00:02:15 - 00:02:18] 待一段时间积累好你的经验
[00:02:18 - 00:02:20] 积累好你的各种各样资源
[00:02:20 - 00:02:23] 然后你说我再想出来找律师事务所的工作
[00:02:23 - 00:02:24] 你再出来
[00:02:24 - 00:02:25] 你不要本科的业以后直接
[00:02:25 - 00:02:27] 趋势是事务所工作
[00:02:27 - 00:02:29] 因为很难非常难
[00:02:29 - 00:02:31] 你没有人带是很难的
[00:02:31 - 00:02:34] 你没有人带是很难的
[00:02:34 - 00:02:35] 所以说这个一般情况
[00:02:35 - 00:02:38] 我建议法学是先口工再去考验
[00:02:38 - 00:02:41] 那如果说你要考到那个地方
[00:02:41 - 00:02:45] 要求必须是研究生学历才可以考工
[00:02:45 - 00:02:46] 那你觉得先考验才可以考工
[00:02:46 - 00:02:47] 比如像我们江苏
[00:02:47 - 00:02:49] 江苏送来的地区就是
[00:02:49 - 00:02:51] 法检系统要求硕士研究生学历
[00:02:51 - 00:02:52] 且本术一致
[00:02:52 - 00:02:52] 所以说的话
[00:02:52 - 00:02:54] 那你就得先考验再考工
[00:02:54 - 00:02:56] 所以说这个看你要考内的公园了
[00:02:56 - 00:02:57] 哦 行
