BV号：BV1YS4y1L7tc
标题：BV1YS4y1L7tc
链接：https://www.bilibili.com/video/BV1YS4y1L7tc
识别语言：zh
语言置信度：1
分段数：33
生成时间：2026-04-03 20:45:13

[00:00:00 - 00:00:05] 5院四系是我们国家当时在1952年院系大调整的时候
[00:00:05 - 00:00:10] 为了整合各个高校的优势资源所组成的一个东西叫做五院四系
[00:00:10 - 00:00:12] 五院四系的话呢
[00:00:12 - 00:00:15] 这个你应该都知道就是像人大呀北大呀
[00:00:15 - 00:00:17] 然后的话像这个五大呀极大呀
[00:00:17 - 00:00:20] 包括像中国政法大学华东政法大学中南餐厅政法大学
[00:00:20 - 00:00:24] 西南政法大学和西北政法大学就是我们传承的五院四系
[00:00:24 - 00:00:25] 但是这个五院四系呢
[00:00:25 - 00:00:29] 在有一些场合其实是不太好用的
[00:00:29 - 00:00:33] 法律這個專業將來就業的時候有個很大的課程叫做就業低於性
[00:00:33 - 00:00:35] 因為你要知道現在的就業不是30年前
[00:00:35 - 00:00:39] 30年前保分配的時候五岸四季是人才的搖籃
[00:00:39 - 00:00:41] 但是現在
[00:00:41 - 00:00:44] 那麼如果說你要報五岸四季的話呢
[00:00:44 - 00:00:46] 我可以給你一個小小未來就業的方向
[00:00:46 - 00:00:49] 就是很多地方法院也好
[00:00:49 - 00:00:52] 包括用到法律的單位機關也好
[00:00:52 - 00:00:54] 它會對五岸四季有一個東西叫選調聲
[00:00:54 - 00:00:56] 比如江蘇省選調聲
[00:00:56 - 00:01:00] 就專門對法律口要求必須是五元私信的學生
[00:01:00 - 00:01:03] 但是如果說你將來不在體制內
[00:01:03 - 00:01:05] 其實是不太好用的
[00:01:05 - 00:01:06] 因為將來要看就業
[00:01:06 - 00:01:07] 我給你舉個簡單的例子
[00:01:08 - 00:01:09] 你如果還在報社院的時候
[00:01:09 - 00:01:11] 上五元私信上到一個學校
[00:01:11 - 00:01:13] 叫做西北政法大學
[00:01:13 - 00:01:15] 但是你未來就業想在蘇州就業
[00:01:16 - 00:01:16] 不好意思
[00:01:16 - 00:01:17] 老師的資源
[00:01:17 - 00:01:19] 校友的資源
[00:01:19 - 00:01:21] 都不在你就業的地方
[00:01:21 - 00:01:21] 能明白嗎
