BV号：BV1M9BhBwETn
标题：BV1M9BhBwETn
链接：https://www.bilibili.com/video/BV1M9BhBwETn
识别语言：zh
语言置信度：1
分段数：63
生成时间：2026-04-03 00:48:41

[00:00:00 - 00:00:03] 数学学好了真的就是闪骂多么
[00:00:03 - 00:00:05] 真的我毫不夸张的时候
[00:00:05 - 00:00:07] 数学学好了真的是闪骂多么
[00:00:07 - 00:00:10] 每个领域各行各业都需要数学
[00:00:10 - 00:00:11] 这是肯定的
[00:00:11 - 00:00:13] 但是前提条件是你本事毕业是远远不做的
[00:00:13 - 00:00:14] 本事毕业远远不做的
[00:00:14 - 00:00:16] 你现在各行各业
[00:00:16 - 00:00:17] 像什么智能汽车
[00:00:17 - 00:00:17] 对吧
[00:00:17 - 00:00:19] 像我们互联网各行各业的领域
[00:00:19 - 00:00:20] 都需要数学
[00:00:20 - 00:00:22] 都需要算法
[00:00:22 - 00:00:23] 都需要建码
[00:00:23 - 00:00:24] 我给大家讲个最离谱的
[00:00:24 - 00:00:26] 你比如说你像农业
[00:00:26 - 00:00:27] 它都需要
[00:00:27 - 00:00:28] 都需要
[00:00:28 - 00:00:29] 知道吧 数学建模
[00:00:29 - 00:00:31] 它会有各种各样的模型
[00:00:31 - 00:00:34] 去选出一种最优的解决方案
[00:00:34 - 00:00:35] 或者是最好的东西
[00:00:35 - 00:00:36] 比如说你看我们同学
[00:00:36 - 00:00:37] 我严情同学
[00:00:37 - 00:00:39] 我严情同学他们做奶牛
[00:00:39 - 00:00:40] 做奶牛
[00:00:40 - 00:00:41] 往牛的脖子上装成感器
[00:00:41 - 00:00:42] 生出那个小牛
[00:00:42 - 00:00:44] 往牛的脖子上装成感器
[00:00:44 - 00:00:46] 我说牛的脖子上装成感器是干嘛用的
[00:00:46 - 00:00:47] 它测算什么呢
[00:00:47 - 00:00:49] 这个牛低头吃多少次草
[00:00:49 - 00:00:51] 正常来讲那奶牛低头吃多少次草
[00:00:51 - 00:00:52] 它从0到3个月的时候
[00:00:52 - 00:00:53] 它低头吃多少次草
[00:00:53 - 00:00:55] 它低头吃多少次草
[00:00:55 - 00:00:56] 就代表这个牛是健康的
[00:00:56 - 00:00:57] 如果说这个牛
[00:00:57 - 00:01:00] 他今天低图吃草的素数没有那么多
[00:01:00 - 00:01:02] 很有可能就怀疑这个牛是生病
[00:01:02 - 00:01:03] 然后的话直接窗杆器
[00:01:03 - 00:01:04] 发出数字警报
[00:01:04 - 00:01:06] 然后的话直接去找那个牛
[00:01:06 - 00:01:09] 看那个牛是不是有一些什么什么什么疾病
[00:01:09 - 00:01:11] 全是疾病
[00:01:11 - 00:01:11] 然后的话呢
[00:01:11 - 00:01:13] 他就算各种各样的撑牙
[00:01:13 - 00:01:15] 说那个牛的左后提还是右后提
[00:01:15 - 00:01:16] 也装长短期
[00:01:16 - 00:01:20] 他的那个后提到一定的撑牙力以后
[00:01:20 - 00:01:25] 直接那个传感器就会发出一个小小的电流去刺激你
[00:01:25 - 00:01:28] 牛角怀生感受到的这个小小的电流以后
[00:01:28 - 00:01:29] 他就知道我要挤奶了
[00:01:29 - 00:01:30] 他就自己去挤奶了
[00:01:30 - 00:01:32] 好厉害
[00:01:32 - 00:01:33] 你知道吧
[00:01:33 - 00:01:34] 数字农业
[00:01:34 - 00:01:35] 数字各种
[00:01:35 - 00:01:36] 数据
[00:01:36 - 00:01:38] 这种东西真的现在太需要了
[00:01:38 - 00:01:39] 分析它的
[00:01:39 - 00:01:40] 对吧
[00:01:40 - 00:01:42] 我们数学建模太需要了
