BV号：BV1RTNzeuEjW
标题：BV1RTNzeuEjW
链接：https://www.bilibili.com/video/BV1RTNzeuEjW
识别语言：zh
语言置信度：1
分段数：60
生成时间：2026-04-03 05:55:26

[00:00:00 - 00:00:03] 我是吉林高三烏花生的家長
[00:00:03 - 00:00:10] 我孩子上次在地區二摩考試的時候是羅分540分
[00:00:10 - 00:00:13] 然後他復完分以後是580分
[00:00:13 - 00:00:17] 他的想法他主要是想學電器
[00:00:17 - 00:00:18] 他主要想學電器
[00:00:18 - 00:00:20] 但是他最近他可能是高三了
[00:00:20 - 00:00:23] 他也想搜一搜好的專業
[00:00:23 - 00:00:27] 然後他突然對我們吉林省研究衛星的一家企業
[00:00:27 - 00:00:29] 特别感兴趣了
[00:00:29 - 00:00:30] 特别感兴趣了
[00:00:30 - 00:00:32] 然后他他想学电器
[00:00:32 - 00:00:34] 然后还想学就是
[00:00:34 - 00:00:35] 卫星这个领域的
[00:00:35 - 00:00:36] 这个相关专业
[00:00:36 - 00:00:38] 我不知道怎么选择学光老师
[00:00:38 - 00:00:39] 对老师这样子
[00:00:39 - 00:00:40] 就是你说的卫星
[00:00:40 - 00:00:42] 它是一个非常非常大的
[00:00:42 - 00:00:44] 和宽泛的一个领域
[00:00:44 - 00:00:45] 你懂我的意思吗
[00:00:45 - 00:00:47] 就比如说我给你举个简单的例子
[00:00:47 - 00:00:49] 比如说现在无论卫星以外
[00:00:49 - 00:00:50] 可能会有一个领域
[00:00:50 - 00:00:52] 也很火叫人性机器人
[00:00:52 - 00:00:53] 你说老师我对人性机器人
[00:00:53 - 00:00:54] 很感兴趣
[00:00:54 - 00:00:55] 和我对卫星更感兴趣
[00:00:55 - 00:00:56] 老师我学什么转移
[00:00:56 - 00:00:58] 它是一个领域家的
[00:00:58 - 00:00:59] 你看人形机器是那个东西
[00:00:59 - 00:01:00] 它有什么呢
[00:01:00 - 00:01:01] 它有这个软件
[00:01:01 - 00:01:03] 它有电路
[00:01:03 - 00:01:04] 它有芯片
[00:01:04 - 00:01:05] 它有通信
[00:01:05 - 00:01:06] 它有控制
[00:01:06 - 00:01:07] 你懂我的意思吗
[00:01:07 - 00:01:09] 所以说它是一个特别大的专业
[00:01:09 - 00:01:11] 你不能说出我对卫星改进去
[00:01:11 - 00:01:12] 我就学什么样的专业
[00:01:12 - 00:01:14] 我就学专门造卫星的专业
[00:01:14 - 00:01:15] 没有一个专业叫做卫星
[00:01:15 - 00:01:16] 但是你学计算机
[00:01:16 - 00:01:18] 可以为造卫星去做负能
[00:01:18 - 00:01:19] 你可以你学的是通信
[00:01:19 - 00:01:21] 你可以为造卫星去负能
[00:01:21 - 00:01:22] 你学的是芯片
[00:01:22 - 00:01:24] 你可以为造卫星去负能
[00:01:24 - 00:01:25] 你学电器
[00:01:25 - 00:01:26] 可以去做微信去付能
[00:01:26 - 00:01:28] 但是如果你想进国家电网
[00:01:28 - 00:01:29] 那你只能选电器
[00:01:30 - 00:01:32] 所以说我个人建议是
[00:01:32 - 00:01:34] 还是以报电器为目标
[00:01:34 - 00:01:36] 至于你将来选的电器以后
[00:01:36 - 00:01:37] 你是进国家电网
[00:01:37 - 00:01:39] 还是为去做微信付能
[00:01:39 - 00:01:40] 那是后话
[00:01:40 - 00:01:41] 但是你先选电器
[00:01:41 - 00:01:43] 能懂我的意思吗
