BV号：BV1Pq4y157MG
标题：BV1Pq4y157MG
链接：https://www.bilibili.com/video/BV1Pq4y157MG
识别语言：zh
语言置信度：1
分段数：55
生成时间：2026-04-03 22:07:36

[00:00:00 - 00:00:02] 大家好,我上了学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:03] 在咱们日常生活当中
[00:00:03 - 00:00:06] 我相信有不少的朋友都遇到过类似的情况
[00:00:06 - 00:00:07] 比如说在职场上
[00:00:07 - 00:00:09] 同事有一些专业的问题可能不会操作
[00:00:09 - 00:00:11] 像你头来了求救的目光
[00:00:11 - 00:00:12] 你说你帮吧
[00:00:12 - 00:00:14] 你自己受到的工作也比较多
[00:00:14 - 00:00:15] 你说你不帮吧
[00:00:15 - 00:00:16] 你又觉得不太好意思
[00:00:16 - 00:00:19] 又或者说临近清末考试了
[00:00:19 - 00:00:19] 对吧
[00:00:19 - 00:00:20] 有同学想想你请教
[00:00:20 - 00:00:22] 或者说我们在日常生活当中
[00:00:22 - 00:00:24] 尤其是大学生最容易遇到的一个问题
[00:00:24 - 00:00:25] 就是宿舍
[00:00:25 - 00:00:27] 宿务同学他不爱去食堂吃饭
[00:00:27 - 00:00:29] 总让你去食堂吃饭的时候
[00:00:29 - 00:00:30] 给他带点东西回来
[00:00:30 - 00:00:32] 你说这你还是帮还是不帮
[00:00:32 - 00:00:33] 对吧
[00:00:33 - 00:00:33] 你帮吧
[00:00:33 - 00:00:34] 你就觉得好像很麻烦
[00:00:34 - 00:00:35] 对吧
[00:00:35 - 00:00:35] 你自己没有腿吗
[00:00:35 - 00:00:37] 你自己不去吃饭吗
[00:00:37 - 00:00:38] 我还想让你给我带点饭回来呢
[00:00:38 - 00:00:38] 对吧
[00:00:38 - 00:00:39] 但是你不帮吧
[00:00:39 - 00:00:41] 又觉得不太好
[00:00:41 - 00:00:42] 那毕竟是一个宿舍的人
[00:00:42 - 00:00:43] 对不对
[00:00:43 - 00:00:44] 那有的人就说张老师
[00:00:44 - 00:00:46] 我觉得就不应该帮
[00:00:46 - 00:00:47] 你过来他这干啥呢
[00:00:47 - 00:00:47] 对吧
[00:00:47 - 00:00:48] 但有的人说老师
[00:00:48 - 00:00:49] 我觉得应该帮
[00:00:49 - 00:00:50] 为什么呢
[00:00:50 - 00:00:51] 因为马克思同志说的
[00:00:51 - 00:00:54] 说人的本质是一些社会关系的总和
[00:00:54 - 00:00:55] 还有的人说什么
[00:00:55 - 00:00:57] 说人和人之间的交往
[00:00:57 - 00:00:59] 关系是怎么进一步加深
[00:00:59 - 00:01:01] 是麻烦出来的
[00:01:01 - 00:01:03] 你有事情麻烦别人
[00:01:03 - 00:01:04] 别人有事情麻烦你
[00:01:04 - 00:01:06] 你们的关系才会进一步加深
[00:01:06 - 00:01:07] 那这个时候
[00:01:07 - 00:01:08] 你是选择帮
[00:01:08 - 00:01:09] 还是选择不帮呢
[00:01:09 - 00:01:12] 你觉得在帮助他人的同时
[00:01:12 - 00:01:13] 这是影响了自己
[00:01:13 - 00:01:14] 还是提升了自己
[00:01:14 - 00:01:16] 欢迎我们一起讨论起来
