BV号：BV1z4411N77X
标题：BV1z4411N77X
链接：https://www.bilibili.com/video/BV1z4411N77X
识别语言：zh
语言置信度：1
分段数：516
生成时间：2026-04-04 08:02:21

[00:00:04 - 00:00:07] 大家好,我上学习院的更快乐的张雪峰老师
[00:00:07 - 00:00:11] 欢迎大家继续收看咱们高考志愿田报的系列课程
[00:00:11 - 00:00:17] 那么从本季和开始我们将给大家介绍一下咱们中国的学校和专业
[00:00:17 - 00:00:20] 我们在志愿田报的时候到底该怎么去选择
[00:00:20 - 00:00:23] 那么从今天我们要给大家讲这么一个事情
[00:00:23 - 00:00:26] 就是怎样了解一个大学
[00:00:26 - 00:00:28] 那么经常有家长跟我说
[00:00:28 - 00:00:32] 说张老师我要给我们家孩子报一个最好的志愿
[00:00:32 - 00:00:35] 照著說你幫我們家還在選一個好大學
[00:00:35 - 00:00:38] 什麼叫做好大學呢
[00:00:38 - 00:00:40] 而且在咱們中國現在很多學校
[00:00:40 - 00:00:44] 名字叫的本身就比較模糊
[00:00:44 - 00:00:45] 什麼叫模糊呢
[00:00:45 - 00:00:47] 就是你通過很多學校的名字
[00:00:47 - 00:00:49] 你根本就判斷不出來
[00:00:49 - 00:00:52] 這個學校最好的專業是哪幾個
[00:00:52 - 00:00:54] 比如說咱們中國有各種各樣的
[00:00:54 - 00:00:55] 什麼科技大學
[00:00:55 - 00:00:56] 工業大學
[00:00:56 - 00:00:57] 工程大學
[00:00:57 - 00:00:59] 師範大學
[00:00:59 - 00:01:02] 還有的學校就是一個城市的名字
[00:01:02 - 00:01:02] 再加上大学
[00:01:02 - 00:01:04] 或者是一个城市的名字
[00:01:04 - 00:01:05] 再加上一个学院
[00:01:05 - 00:01:06] 那么像这种学校的话
[00:01:06 - 00:01:08] 我们很难判断出来
[00:01:08 - 00:01:10] 这个学校就是他最好的专业
[00:01:10 - 00:01:11] 是哪几个
[00:01:11 - 00:01:13] 尤其是很多家长
[00:01:13 - 00:01:14] 就是因为地域性的因素
[00:01:14 - 00:01:15] 就是大多数的大学
[00:01:15 - 00:01:18] 大家本身自己是没有实力考察过的
[00:01:18 - 00:01:20] 再加上大家也不是干这一行的
[00:01:20 - 00:01:22] 所以说对于学校的了解
[00:01:22 - 00:01:23] 就不是那么很多
[00:01:23 - 00:01:25] 那么张老师今天给大家录制这个课程
[00:01:25 - 00:01:26] 就是告诉大家
[00:01:26 - 00:01:28] 我们在选学校的时候
[00:01:29 - 00:01:31] 我们应该依照怎样的标准
[00:01:31 - 00:01:33] 或者说是怎么去挑选
[00:01:33 - 00:01:38] 那么我们今天第一节课先给大家讲一个我们在选院校的时候的一个误区
[00:01:38 - 00:01:41] 就是我们在选择学校的时候
[00:01:41 - 00:01:44] 很多家长和考生的特别喜欢依照一个东西
[00:01:44 - 00:01:45] 叫做排名
[00:01:45 - 00:01:46] 叫做排名
[00:01:46 - 00:01:48] 那么很多人就问我了
[00:01:48 - 00:01:53] 说张老师那排名号前的大学就一定是一个好的大学吗
[00:01:53 - 00:01:56] 我们今天来看一下各种各样的排名
[00:01:56 - 00:02:00] 那么首先我们来说一下这个好大学的定义
[00:02:00 - 00:02:04] 那么好大学我个人觉得你是不能单纯的
[00:02:04 - 00:02:06] 从一个所谓的排名的角度来分析的
[00:02:06 - 00:02:07] 为什么呢
[00:02:07 - 00:02:10] 就是因为我们的排名的评价体系
[00:02:10 - 00:02:12] 本身是不同的
[00:02:12 - 00:02:14] 那么你最后你排出来的结果
[00:02:14 - 00:02:17] 他一定有他自己不一样的地方
[00:02:17 - 00:02:20] 你比如说我在过年的时候
[00:02:20 - 00:02:22] 我在因为我当时我在国外
[00:02:22 - 00:02:23] 然后的话就是每天也关注
[00:02:23 - 00:02:25] 我那些教育的动态
[00:02:25 - 00:02:27] 然后有这么一家机构
[00:02:27 - 00:02:28] 我也不说是哪家机构了
[00:02:28 - 00:02:31] 他列出了一个所谓的中国大学排行榜
[00:02:31 - 00:02:36] 因为我本人是非常欣惜我的母校郑州大学的
[00:02:36 - 00:02:38] 而且我们郑州大学也刚刚的被平成了
[00:02:38 - 00:02:42] 双一流一流高校序列范围内的一个学校
[00:02:42 - 00:02:44] 然后我就开始满屏幕地去找郑州大学
[00:02:44 - 00:02:46] 因为当时我在报支院的时候
[00:02:46 - 00:02:48] 我看的就是这个排名
[00:02:48 - 00:02:50] 我在2003年在报支院的时候
[00:02:50 - 00:02:55] 我当时是一本就肯定是上不了特别好的学校了
[00:02:55 - 00:02:58] 当时郑州大学在我们黑龙江场还是一个二本
[00:02:58 - 00:03:02] 我当时我就想我说我一定要挑一个二本最好的学校
[00:03:02 - 00:03:04] 哎那什么叫好学校呢
[00:03:04 - 00:03:05] 当时我就想到了一个排名
[00:03:05 - 00:03:07] 我就找出了一种排名啊
[00:03:07 - 00:03:10] 就是哪个版本的我也都不记得了
[00:03:10 - 00:03:11] 反正大概那个排名呢
[00:03:11 - 00:03:14] 就是郑州大学能排到全国的前40
[00:03:14 - 00:03:15] 我一看压盒
[00:03:15 - 00:03:18] 这还有一个二本能排到全国前40
[00:03:18 - 00:03:19] 对吧那就他了
[00:03:19 - 00:03:21] 当时我报社院我就报的是郑州大学
[00:03:21 - 00:03:24] 然后呢现在呢郑大师发展得越来越好
[00:03:24 - 00:03:25] 开始有了自己的院士
[00:03:25 - 00:03:26] 然后呢
[00:03:26 - 00:03:26] 呃
[00:03:26 - 00:03:29] 开始就是进入了双一流一流
[00:03:29 - 00:03:30] 高校序列范围内
[00:03:30 - 00:03:33] 但是我在2019年
[00:03:33 - 00:03:35] 就是今天在这个排名的时候
[00:03:35 - 00:03:35] 我看到
[00:03:35 - 00:03:41] 这个排名居然把郑州大学排到了全国的130多位
[00:03:41 - 00:03:43] 我就想你从哪个角度排
[00:03:43 - 00:03:46] 你能把郑州大学排到130多位
[00:03:46 - 00:03:47] 那只能说没什么呢
[00:03:47 - 00:03:49] 就是他这个角度的选举呢
[00:03:49 - 00:03:51] 可能是呃
[00:03:51 - 00:03:53] 可能是他有他自己的一个
[00:03:53 - 00:03:54] 选取的一个依据
[00:03:54 - 00:03:57] 比如说我们在做一个大学排名的时候
[00:03:57 - 00:04:01] 我们会有很多很多的一个排名的一个依据
[00:04:01 - 00:04:04] 比如说学校的学术水平
[00:04:04 - 00:04:08] 那学术水平你说怎么叫学术水平高或者低呢
[00:04:09 - 00:04:10] 是发表的论文
[00:04:10 - 00:04:13] 还是说证教授和副教授的数量
[00:04:13 - 00:04:14] 还是说怎样
[00:04:15 - 00:04:16] 如果说有一个排名
[00:04:16 - 00:04:18] 就是有一个排名的因素
[00:04:18 - 00:04:20] 比较重的话
[00:04:20 - 00:04:21] 那可能证的大学就比较吃亏的
[00:04:21 - 00:04:23] 那什么排名因素比较重
[00:04:23 - 00:04:24] 郑州大学比较吃亏
