BV号：BV1A4421Q7p5
标题：BV1A4421Q7p5
链接：https://www.bilibili.com/video/BV1A4421Q7p5
识别语言：zh
语言置信度：1
分段数：96
生成时间：2026-04-03 10:07:35

[00:00:00 - 00:00:02] 每年有很多同学都想报医学
[00:00:02 - 00:00:04] 那今天咱们话不多说
[00:00:04 - 00:00:06] 直接就给大家推荐一所各方面实力
[00:00:06 - 00:00:07] 都很不错
[00:00:07 - 00:00:09] 而且这几年发展比较快的
[00:00:09 - 00:00:10] 一颗强校
[00:00:10 - 00:00:11] 南方一颗大学
[00:00:11 - 00:00:13] 说到南方医
[00:00:13 - 00:00:15] 它的前身就是第一军医大学
[00:00:15 - 00:00:16] 那是非常有名的
[00:00:16 - 00:00:18] 我之前也说过医学很特别
[00:00:18 - 00:00:20] 如果他们同学真想吃这碗饭
[00:00:20 - 00:00:22] 学历就得硕士甚至是博士起步
[00:00:22 - 00:00:24] 这方面南方医
[00:00:24 - 00:00:25] 它是全国首批
[00:00:25 - 00:00:26] 开设临床奔波
[00:00:26 - 00:00:29] 八年制的霸所高效之一
[00:00:29 - 00:00:31] 硕士点覆盖所有本科的招生专业
[00:00:31 - 00:00:34] 而且所有医学类专业都可以在校内读博
[00:00:34 - 00:00:35] 据我所知
[00:00:35 - 00:00:39] 南方医的医学类博士学位授权医疾学科学数
[00:00:39 - 00:00:41] 还广东省的第一位
[00:00:41 - 00:00:44] 全国医科院校第二位
[00:00:44 - 00:00:45] 实力是真的美话说
[00:00:45 - 00:00:47] 实在这一块他也很到位
[00:00:47 - 00:00:51] 医学院士数量华南地区是第一
[00:00:51 - 00:00:54] 国家教学名师海外高层次的人才应有精摇
[00:00:54 - 00:00:58] 去年他的国自然立项数位居全国高校第16
[00:00:58 - 00:01:01] 全国独立一科院校第一
[00:01:01 - 00:01:02] 广东高校第二
[00:01:02 - 00:01:03] 非常牛
[00:01:03 - 00:01:04] 既然是一科大学
[00:01:04 - 00:01:06] 最拿手的还得是一科啊
[00:01:06 - 00:01:08] 你比如说学科上啊
[00:01:08 - 00:01:09] 南方医的临床医学
[00:01:09 - 00:01:12] 药理学与毒物学进入到了ESI全球千
[00:01:12 - 00:01:16] 千分之零点四五和千分之零点五一
[00:01:16 - 00:01:18] 基础医学临床医学
[00:01:18 - 00:01:20] 它技术选了161计划
[00:01:20 - 00:01:23] 还是全国基础学科八届学生
[00:01:23 - 00:01:25] 排养计划2.0的基地
[00:01:25 - 00:01:27] 学校开设了29个本案专业
[00:01:27 - 00:01:29] 一流专业建设点全覆盖
[00:01:29 - 00:01:30] 如果说咱们同学啊
[00:01:30 - 00:01:32] 被调集到不喜欢的专业
[00:01:32 - 00:01:34] 再效呢还有三次转业的机会
[00:01:34 - 00:01:35] 完全不用担心
[00:01:35 - 00:01:37] 除了学科专业强
[00:01:37 - 00:01:38] 南方1在人才培养上
[00:01:38 - 00:01:40] 也是我两把刷子的
[00:01:40 - 00:01:41] 学生首次参加
[00:01:41 - 00:01:43] 临床职业一师资格考书通过率
[00:01:43 - 00:01:45] 将近95%
[00:01:45 - 00:01:46] 11个八家人才
[00:01:46 - 00:01:48] 培养特色创新实验班
[00:01:48 - 00:01:50] 师资平台那都是顶配
[00:01:50 - 00:01:53] 实现本朔本博一体化培养
[00:01:53 - 00:01:56] 再一个他还跟南中医南京医
[00:01:56 - 00:01:59] 中国一大 同性一大等月效
[00:01:59 - 00:02:01] 都有本科生的交流项目
[00:02:01 - 00:02:04] 同学们能够一次性的感受好几个学校的资源
[00:02:04 - 00:02:06] 而且学校还有博士后
[00:02:06 - 00:02:09] 留用在 排阳体系是非常的完善
[00:02:09 - 00:02:10] 当然不止国内
[00:02:10 - 00:02:14] 南方1还和哈佛 伯明汉大学等世界名校
[00:02:14 - 00:02:15] 一起搞联合配
[00:02:15 - 00:02:17] 出国机会也相当多
[00:02:17 - 00:02:20] 我一直都说学1基本上就是在那读书
[00:02:20 - 00:02:21] 以后基本上就在那就业
[00:02:21 - 00:02:25] 南方1在越港澳大湾区的核心区域
[00:02:25 - 00:02:27] 广佛生三弟半学
[00:02:27 - 00:02:29] 还有十五所附属医院
[00:02:29 - 00:02:31] 其中十一所都是三甲
[00:02:31 - 00:02:33] 在相关领域都是属于属二的
[00:02:33 - 00:02:34] 你有这条件
[00:02:34 - 00:02:35] 同学们不管是实习呀
[00:02:35 - 00:02:37] 还是实践、规徘呀
[00:02:37 - 00:02:38] 都能保障
[00:02:38 - 00:02:39] 至于毕业以后
[00:02:39 - 00:02:40] 除了南方医自己的附属医院
[00:02:40 - 00:02:42] 去其他三甲医院
[00:02:42 - 00:02:43] 科研院所的机会呢
[00:02:43 - 00:02:44] 也都很多
[00:02:44 - 00:02:45] 深造这一块呢
[00:02:45 - 00:02:48] 临床类专业生学率接近八成
[00:02:48 - 00:02:51] 去北大协和上交负责这大
[00:02:51 - 00:02:52] 这种国内名校的同学呢
[00:02:52 - 00:02:53] 也不带少数
[00:02:53 - 00:02:54] 还是那句话
[00:02:54 - 00:02:56] 学医啊说不点很重要
[00:02:56 - 00:02:59] 更何况南方医的半学实力
[00:02:59 - 00:03:00] 太阳质量都是有口阶杯的
[00:03:00 - 00:03:01] 不用我多说
[00:03:01 - 00:03:05] 而且张老师也觉得学校有A类学科加持
[00:03:05 - 00:03:08] 再从双一流上呢也是有很大潜力的
[00:03:08 - 00:03:10] 想学医的同学可以终点留意一下
