BV号：BV1Mf4y1Y7pz
标题：BV1Mf4y1Y7pz
链接：https://www.bilibili.com/video/BV1Mf4y1Y7pz
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-04-04 00:09:24

[00:00:00 - 00:00:02] 人工智能这个专业是进了您刚开的
[00:00:02 - 00:00:03] 我们大家人工智能这个专业好还是不好
[00:00:03 - 00:00:04] 什么叫人工智能
[00:00:04 - 00:00:06] 我们现在这个手机用处可大了
[00:00:06 - 00:00:07] 大家还记得原来开车的时候
[00:00:07 - 00:00:09] 你开车想听个歌干嘛
[00:00:09 - 00:00:12] 这两版一拉上面有好多盘
[00:00:12 - 00:00:12] 是不是
[00:00:12 - 00:00:14] 不是放进去一个对吧
[00:00:14 - 00:00:15] 现在你还用这个吗
[00:00:15 - 00:00:15] 不用了吧
[00:00:15 - 00:00:17] 手机拦牙直接就可以了
[00:00:17 - 00:00:17] 对不对
[00:00:17 - 00:00:20] 我们在这坐着家里边空调就开了
[00:00:20 - 00:00:21] 电份宝就开了
[00:00:21 - 00:00:21] 这个叫什么
[00:00:21 - 00:00:22] 这叫物联网
[00:00:22 - 00:00:24] 也是人工智能的一个方向
[00:00:24 - 00:00:25] 大家你发现你一个造一个手机
[00:00:25 - 00:00:27] 首先各位手机是不是要有什么
[00:00:27 - 00:00:28] 设计外观设计
[00:00:28 - 00:00:30] 这是什么工业设计
[00:00:30 - 00:00:30] 然后的话
[00:00:30 - 00:00:32] 这个手机为什么造成这个形状
[00:00:32 - 00:00:33] 我手机是这个形状
[00:00:33 - 00:00:34] 你手机为什么跟我形象不一样
[00:00:34 - 00:00:36] 这个叫海料成型
[00:00:36 - 00:00:38] 然后的话我们看这个手机里边
[00:00:38 - 00:00:40] 有很多软件计算机
[00:00:40 - 00:00:41] 手机里边有个芯片
[00:00:41 - 00:00:43] 叫什么电子元气件
[00:00:43 - 00:00:44] 那就是电子
[00:00:44 - 00:00:46] 那我这个手机打电话
[00:00:46 - 00:00:47] 这个叫通信
[00:00:47 - 00:00:49] 我手机耗电时间多长
[00:00:49 - 00:00:50] 这个叫电器
[00:00:50 - 00:00:51] 所以大家你发现了吗
[00:00:51 - 00:00:52] 一个小小的手机
[00:00:52 - 00:00:54] 包含了这么多专业
[00:00:54 - 00:00:55] 而人工智能是什么
[00:00:55 - 00:00:57] 人工智能就是把这些转眼
[00:00:57 - 00:01:00] 他的本科阶段他的专业课都要学
[00:01:00 - 00:01:02] 他会建立一个高级思维
[00:01:02 - 00:01:04] 就是产品思维
[00:01:04 - 00:01:04] 大家能明白吗
[00:01:04 - 00:01:05] 我刚才跟你说过
[00:01:05 - 00:01:07] 这个时候会缺的是什么人才
[00:01:07 - 00:01:08] 综合人才
[00:01:08 - 00:01:09] 而不是单一专业人才
[00:01:09 - 00:01:10] 大家能理解吗
