BV号：BV1L64y147m7
标题：BV1L64y147m7
链接：https://www.bilibili.com/video/BV1L64y147m7
识别语言：zh
语言置信度：1
分段数：77
生成时间：2026-04-03 23:08:05

[00:00:00 - 00:00:02] 你要願意你也可以意引我
[00:00:02 - 00:00:03] 不是
[00:00:03 - 00:00:04] 我們看新聞床牌的專業
[00:00:04 - 00:00:06] 新聞學床牌學大家覺得是好專業嗎
[00:00:07 - 00:00:08] 新聞學是幹嘛的
[00:00:08 - 00:00:11] 新聞學其實說白的就是寫新聞的
[00:00:11 - 00:00:13] 比如說簽一些動物從蘇州
[00:00:13 - 00:00:14] 我搬家我從北京搬到蘇州去
[00:00:14 - 00:00:16] 這個事大家都知道聽說了是吧
[00:00:17 - 00:00:20] 那一段時間我天天在網上吃我自己的瓜
[00:00:21 - 00:00:23] 網上一幫人評的我為什麼搬蘇州去
[00:00:23 - 00:00:25] 我當年為什麼從北京搬家搬到蘇州啊
[00:00:25 - 00:00:26] 知道嗎
[00:00:26 - 00:00:29] 其實最主要的原因是因為生活質量不一樣
[00:00:29 - 00:00:30] 生活质量不一样
[00:00:30 - 00:00:32] 在北京拿到什么生活质量可言
[00:00:33 - 00:00:33] 对不对
[00:00:33 - 00:00:35] 北京生活品位很高
[00:00:35 - 00:00:35] 是吧
[00:00:35 - 00:00:37] 生活质量很差
[00:00:37 - 00:00:38] 堵车
[00:00:38 - 00:00:39] 我今天早上堵车
[00:00:39 - 00:00:41] 我妈都会堵死我了
[00:00:41 - 00:00:43] 然后房价高
[00:00:43 - 00:00:44] 这这这
[00:00:44 - 00:00:46] 我当今在北京买的房
[00:00:46 - 00:00:49] 百分三国家森林公儿附近
[00:00:49 - 00:00:51] 我们家旁边西山公路
[00:00:52 - 00:00:53] 你看你们家卖房
[00:00:53 - 00:00:54] 合警房
[00:00:54 - 00:00:54] 我们家卖房
[00:00:54 - 00:00:55] 分警房
[00:00:57 - 00:00:58] 分警房
[00:00:58 - 00:00:58] 八万
[00:00:59 - 00:01:01] 这哪有什么生活质量
[00:01:01 - 00:01:03] 这是我当时搬家的原因
[00:01:03 - 00:01:04] 然后的话
[00:01:04 - 00:01:06] 咱们太远就不一样了对吧
[00:01:06 - 00:01:07] 生活质量很高
[00:01:07 - 00:01:08] 对吧
[00:01:08 - 00:01:09] 东西也不贵
[00:01:09 - 00:01:10] 房价也不高
[00:01:10 - 00:01:11] 这是生活品味菜的
[00:01:11 - 00:01:12] 我刚才我们校长问我
[00:01:12 - 00:01:14] 说张掌叔我们讲完做晚上干点啥
[00:01:14 - 00:01:15] 想看芭蕾舞剧
[00:01:15 - 00:01:16] 我们校长说芭蕾舞
[00:01:18 - 00:01:20] 我们校长说我给你跳你看不看
[00:01:21 - 00:01:22] 我给你转吧
[00:01:22 - 00:01:23] 什么小天鹅
[00:01:23 - 00:01:24] 我就胖天鹅嘛
[00:01:25 - 00:01:26] 芭蕾舞剧
[00:01:27 - 00:01:28] 还有什么演唱会
[00:01:29 - 00:01:31] 真的太远还稍微好一点对不对
[00:01:31 - 00:01:34] 你到下边二级城市什么哪个个性去开演成会
[00:01:34 - 00:01:36] 我跟我妈说我说妈我想开演成会
[00:01:36 - 00:01:39] 我妈说我唱你听不听
[00:01:39 - 00:01:40] 很闹心
[00:01:40 - 00:01:41] 但有些城市就不一样对吧
[00:01:41 - 00:01:42] 苏州就是这个
[00:01:42 - 00:01:43] 苏州生活质量很高的
[00:01:43 - 00:01:46] 很多人当年去网上写我
[00:01:46 - 00:01:47] 为什么搬苏州去
[00:01:47 - 00:01:48] 我问大家
[00:01:48 - 00:01:49] 当年写我为什么搬苏州那帮人
[00:01:49 - 00:01:51] 有学新闻学的吗
[00:01:51 - 00:01:53] 他们一个都没有
[00:01:53 - 00:01:56] 全是自己一引的
[00:01:56 - 00:01:57] 你要愿意
[00:01:57 - 00:01:58] 你也可以一引我
[00:01:58 - 00:02:02] 不是
[00:02:02 - 00:02:06] 你要願意你也可以寫一篇文章去分析我為什麼搬到蘇州
[00:02:06 - 00:02:07] 能明白嗎
[00:02:07 - 00:02:08] 真是這樣
[00:02:08 - 00:02:09] 你哪有一個學新聞學的
[00:02:09 - 00:02:10] 沒有學新聞學的
[00:02:10 - 00:02:11] 能明白嗎
