BV号：BV1zW2mYREtZ
标题：BV1zW2mYREtZ
链接：https://www.bilibili.com/video/BV1zW2mYREtZ
识别语言：zh
语言置信度：1
分段数：60
生成时间：2026-04-03 08:03:00

[00:00:00 - 00:00:02] 想问一下张老师这个微电子的话
[00:00:02 - 00:00:04] 和数学都很好
[00:00:04 - 00:00:04] 因为是这样的
[00:00:04 - 00:00:08] 因为武大这边那种工科的话
[00:00:08 - 00:00:10] 它不是很强嘛
[00:00:10 - 00:00:12] 所以说我们一开始选微电子
[00:00:12 - 00:00:14] 有点比较纠结这个微电子
[00:00:14 - 00:00:16] 因为数学的话它毕竟是A减
[00:00:17 - 00:00:18] 但是家长是这样子
[00:00:18 - 00:00:20] 你这个东西你不是说
[00:00:20 - 00:00:23] 我听说武大最好的A加的是水利你去吗
[00:00:23 - 00:00:26] 武大的摇杆也是A加你去吗
[00:00:26 - 00:00:29] 所以说你要看这个学校所谓最好的专业
[00:00:29 - 00:00:31] 那很有可能我们在选的时候
[00:00:31 - 00:00:33] 因为有的学校它的优势学科
[00:00:33 - 00:00:35] 它真的就是所谓的最优势的学科
[00:00:35 - 00:00:37] 它并不是说你所感兴趣的东西
[00:00:37 - 00:00:39] 所以说的话我们经常讲一句话
[00:00:39 - 00:00:42] 叫专业它代表着你未来就业的这样的一个行业
[00:00:42 - 00:00:43] 你在选这个专业的时候的话
[00:00:43 - 00:00:45] 首先你要看的是孩子的兴趣
[00:00:45 - 00:00:47] 以及你未来就业的一个方向
[00:00:47 - 00:00:48] 而不是说单纯来看说
[00:00:48 - 00:00:51] 它可能说这个电子科学业技术
[00:00:51 - 00:00:52] 因为家长是这样
[00:00:52 - 00:00:54] 微电是属于我们正常的二级学科
[00:00:54 - 00:00:56] 就是属于电子科学业技术
[00:00:56 - 00:00:57] 下面的一个二级学科
[00:00:57 - 00:00:59] 我们经常讲学科评估学科评估
[00:00:59 - 00:01:02] 学科评估指的是一级学科的学科评估
[00:01:02 - 00:01:05] 那么微电它其实属于这个电子科学与基础
[00:01:05 - 00:01:08] 下面的一个二级学科叫做就是固体电子学
[00:01:08 - 00:01:10] 与微电子学下面的一个分支方向
[00:01:10 - 00:01:12] 就是属于微电与固电
[00:01:12 - 00:01:13] 正常来讲在研究中阶段
[00:01:13 - 00:01:15] 这个专业的研究中叫做微电与固电
[00:01:15 - 00:01:17] 然后的话在绑科阶段
[00:01:17 - 00:01:18] 如果说你看到一个平台
[00:01:18 - 00:01:21] 所谓的去给你做所谓的学科评估
[00:01:21 - 00:01:22] 说在绑科专业学科评估
[00:01:22 - 00:01:24] 它就给你硬比微电谁更强
[00:01:24 - 00:01:26] 这个基本上就是一个所谓的这个
[00:01:26 - 00:01:28] 评估的排名的排名的这个机构
[00:01:28 - 00:01:30] 它很可能是一个商业机构
[00:01:30 - 00:01:32] 它并不是一个所谓的就是官方机构
[00:01:32 - 00:01:34] 那么我们教育部在做这种
[00:01:34 - 00:01:35] 所谓学科评估的时候
[00:01:35 - 00:01:36] 它只针对严决分的
[00:01:36 - 00:01:38] EG学科去做评估
[00:01:38 - 00:01:39] 所以说我还是那句话
[00:01:39 - 00:01:40] 就是你到底是选择数学也好
[00:01:40 - 00:01:41] 还是选择威电也好
[00:01:41 - 00:01:43] 完全取决于孩子对于
[00:01:43 - 00:01:45] 未来就业行业的一个倾向
[00:01:45 - 00:01:46] 而不是说要去看他所谓的说
[00:01:46 - 00:01:48] 他的威电是什么
[00:01:48 - 00:01:49] 是是是是B
[00:01:49 - 00:01:50] 然后的话他的数学是A减
[00:01:50 - 00:01:51] 不是评这个的
[00:01:51 - 00:01:52] 好吧
