BV号：BV1Zt4y1T7FA
标题：BV1Zt4y1T7FA
链接：https://www.bilibili.com/video/BV1Zt4y1T7FA
识别语言：zh
语言置信度：1
分段数：26
生成时间：2026-04-03 17:09:18

[00:00:00 - 00:00:01] 還不知道怎麼回事就過去了
[00:00:02 - 00:00:04] 我不知道大家有沒有這樣的感受啊
[00:00:04 - 00:00:06] 就是實際上在上高中段
[00:00:06 - 00:00:08] 一個班裡邊老師在給孩子們講課
[00:00:08 - 00:00:10] 尤其是在數學這個科目上
[00:00:10 - 00:00:13] 只是在給這個班排名前15的同學在講課
[00:00:13 - 00:00:14] 因為有的時候老師在講課的時候
[00:00:14 - 00:00:17] 他不太可能是按照後邊的同學來講
[00:00:17 - 00:00:18] 他肯定是按照前面的同學來講
[00:00:18 - 00:00:20] 因為大家基本上都是在往上
[00:00:20 - 00:00:21] 在拔
[00:00:21 - 00:00:22] 所以說就怕什麼
[00:00:22 - 00:00:24] 就怕前面的一些學生老師講到這
[00:00:24 - 00:00:25] 聽懂了嗎
[00:00:25 - 00:00:27] 有的嘴嵌的
[00:00:27 - 00:00:28] 聽懂了
[00:00:28 - 00:00:28] 過了
[00:00:28 - 00:00:30] 结果咱们家孩子如果在后面的话
[00:00:30 - 00:00:32] 这什么玩意说啥呢在这会儿
[00:00:32 - 00:00:34] 还不知道怎么回事就过去了
[00:00:34 - 00:00:36] 所以说有的时候孩子如果说
[00:00:36 - 00:00:39] 在一个班机里边你是后边的那一部分的话
[00:00:39 - 00:00:42] 那你一定要在最后一年给孩子想一想独特的办法
[00:00:42 - 00:00:44] 该去做专项突破做专项突破
[00:00:44 - 00:00:46] 该去做个性化突破做个性化突破
[00:00:46 - 00:00:48] 所以说大家一定要对这方面了解一下
