BV号：BV1vT4y1E7NV
标题：BV1vT4y1E7NV
链接：https://www.bilibili.com/video/BV1vT4y1E7NV
识别语言：zh
语言置信度：1
分段数：244
生成时间：2026-04-04 01:36:46

[00:00:04 - 00:00:07] 这是一个教你怎么在高考的志愿填冒当中
[00:00:07 - 00:00:09] 如何选学校 如何选专业
[00:00:09 - 00:00:12] 如何报志愿不后悔的付费专栏
[00:00:16 - 00:00:18] 我们今天要给大家介绍的专业
[00:00:18 - 00:00:20] 是我们冷门专业当中一个非常非常
[00:00:20 - 00:00:22] 可能让大家看起来很奇怪的专业
[00:00:22 - 00:00:24] 叫生物医学工程
[00:00:24 - 00:00:26] 因为这个专业大家你看
[00:00:26 - 00:00:28] 它有三个词来构成对吧
[00:00:28 - 00:00:29] 第一个叫生物
[00:00:29 - 00:00:31] 第二个叫医学
[00:00:31 - 00:00:32] 第三个叫工程
[00:00:32 - 00:00:34] 说老师这到底是干嘛的
[00:00:34 - 00:00:35] 对吧
[00:00:35 - 00:00:36] 而且的话很多同学
[00:00:36 - 00:00:37] 因为对这个专业不了解
[00:00:37 - 00:00:39] 就导致这个专业在报考的时候
[00:00:39 - 00:00:40] 报的人又不是特别的多
[00:00:40 - 00:00:42] 因为他又不像说是别的专业
[00:00:42 - 00:00:43] 比如说像土木
[00:00:43 - 00:00:44] 对吧
[00:00:44 - 00:00:46] 你看有的大院叫土木工程学院
[00:00:46 - 00:00:48] 机械工程学院
[00:00:48 - 00:00:50] 自动化学院
[00:00:50 - 00:00:51] 通信电子信息学院
[00:00:51 - 00:00:52] 对吧
[00:00:52 - 00:00:53] 经济的经管学院
[00:00:53 - 00:00:55] 你会发现很少我学校
[00:00:55 - 00:00:56] 几乎很少我学校
[00:00:56 - 00:00:59] 会开一个叫做生物医学工程学院
[00:00:59 - 00:01:02] 那老是从学院的角度来讲
[00:01:02 - 00:01:04] 他又不是一个特别大的专业
[00:01:04 - 00:01:04] 对吧
[00:01:04 - 00:01:07] 然后的话名字叫的也比较奇怪
[00:01:07 - 00:01:11] 但其实这个专业真的没有大家想象的那么冷门
[00:01:11 - 00:01:15] 甚至我个人觉得也是一个非常有发展前途
[00:01:15 - 00:01:17] 甚至是万金油的一个专业
[00:01:17 - 00:01:20] 甚至跟很多我们之前讲的高薪专业
[00:01:20 - 00:01:22] 热门专业都是相关的专业
[00:01:22 - 00:01:26] 如果说你要是说万一被调集到了这个专业
[00:01:26 - 00:01:28] 未尝它不是一件好事
[00:01:28 - 00:01:29] 那老师为什么这么说
[00:01:29 - 00:01:31] 我们首先来看一下这个专业
[00:01:31 - 00:01:32] 它到底是干嘛的
[00:01:32 - 00:01:34] 它到底需要具备怎样的一个能力
[00:01:34 - 00:01:38] 那么生物医学工程是一门高度综合的一个交叉学课
[00:01:38 - 00:01:39] 它结合了大家注意
[00:01:39 - 00:01:41] 它结合了工程学
[00:01:41 - 00:01:45] 结合了生物学和医学的理论和方法
[00:01:45 - 00:01:46] 运用工程技术手段
[00:01:46 - 00:01:49] 大家注意运用工程技术手段
[00:01:49 - 00:01:51] 却控制这种变化
[00:01:51 - 00:01:52] 培养具备生命科学
[00:01:52 - 00:01:53] 电子技术
[00:01:53 - 00:01:54] 计算机技术
[00:01:54 - 00:01:57] 以及信息科学等基础理论知识
[00:01:57 - 00:01:59] 能够在生物医学工程领域
[00:01:59 - 00:02:01] 大家注意能够在生物医学工程领域
[00:02:01 - 00:02:03] 医学遗弃
[00:02:03 - 00:02:04] 這個我重點畫一下
[00:02:04 - 00:02:06] 以及其他電子技術
[00:02:06 - 00:02:08] 集團機信息產業工作的高級人才
[00:02:08 - 00:02:10] 我為什麼把它重點畫一下呢
[00:02:10 - 00:02:12] 其實生物醫學工程
[00:02:12 - 00:02:15] 最重要的一個將來的發展方向
[00:02:15 - 00:02:19] 是用我們這些就是電子技術
[00:02:19 - 00:02:19] 計算技術
[00:02:19 - 00:02:25] 用這些技術來解決生物醫學上的一些難題
[00:02:26 - 00:02:26] 說白了
[00:02:26 - 00:02:27] 幹嘛的呢
[00:02:27 - 00:02:29] 它就是造醫療器械的
[00:02:29 - 00:02:31] 它就是造醫療器械的
[00:02:31 - 00:02:36] 大家都知道,我們最近有新冠的疫情
[00:02:36 - 00:02:38] 新冠的疫情構成當中
[00:02:38 - 00:02:41] 我們說現在第一的話,我們要缺藥
[00:02:41 - 00:02:43] 缺醫生、缺相關的護理人員
[00:02:43 - 00:02:45] 其中還缺的是什麼呢?
[00:02:45 - 00:02:47] 叫做醫學儀器
[00:02:47 - 00:02:49] 如果說你曾經去過醫院的話
[00:02:49 - 00:02:52] 那你對相應的一些醫學儀器應該不是那麼很陌生
[00:02:52 - 00:02:54] 比如說我們經常說
[00:02:54 - 00:02:57] 這個骨折了,怎麼辦?拍個片吧
[00:02:57 - 00:03:00] 對吧?說這個肺部可能有點咳嗽
[00:03:00 - 00:03:01] 那醫生說是不是肺炎呢
[00:03:01 - 00:03:02] 對吧
[00:03:02 - 00:03:02] 怎麼樣
