BV号：BV117411p7Dy
标题：BV117411p7Dy
链接：https://www.bilibili.com/video/BV117411p7Dy
识别语言：zh
语言置信度：1
分段数：400
生成时间：2026-04-04 03:13:44

[00:00:02 - 00:00:06] 我先问一下您当时是怎么想起来说
[00:00:06 - 00:00:08] 在大学报助院的时候有学医的
[00:00:08 - 00:00:11] 就完全凭一个感觉吧
[00:00:11 - 00:00:12] 感觉
[00:00:12 - 00:00:13] 扔崽子
[00:00:13 - 00:00:14] 对
[00:00:14 - 00:00:15] 有这种吧
[00:00:15 - 00:00:18] 就是看着那个专业顺眼点就报那个专业
[00:00:18 - 00:00:19] 我们在读本科的时候
[00:00:19 - 00:00:20] 那个时候你本科
[00:00:20 - 00:00:22] 医学院本科学生第一
[00:00:22 - 00:00:23] 还能去县医院
[00:00:23 - 00:00:26] 但是现在县医院读进不了了
[00:00:26 - 00:00:35] 是
[00:00:35 - 00:00:35] 大家好
[00:00:35 - 00:00:36] 欢迎收看小新度VTuber
[00:00:36 - 00:00:37] 就大开眼界
[00:00:37 - 00:00:39] 我是尚学习变得更快乐的
[00:00:39 - 00:00:41] 张雪方老师我们本期请到的嘉宾
[00:00:41 - 00:00:43] 是我们北京名革医院的院长
[00:00:43 - 00:00:45] 我们的王院长王老师跟大家打个招呼
[00:00:45 - 00:00:47] 大家好非常高兴
[00:00:47 - 00:00:49] 和大家今天能一起做这期节目
[00:00:49 - 00:00:50] 王院长我先问一下
[00:00:50 - 00:00:53] 您这个当时是怎么想起来
[00:00:53 - 00:00:56] 说在大学报助院的时候有学医的
[00:00:56 - 00:01:00] 这个就是因为我是82年上大学
[00:01:00 - 00:01:03] 那个时候真的没有什么
[00:01:03 - 00:01:04] 说的是有什么方向
[00:01:04 - 00:01:06] 说的有指导有什么
[00:01:06 - 00:01:08] 那时候咱们国家刚恢复高考
[00:01:08 - 00:01:10] 是第五年应该是
[00:01:10 - 00:01:12] 所以那时候没有什么
[00:01:12 - 00:01:15] 这个愿意啊
[00:01:15 - 00:01:16] 或不愿意啊
[00:01:16 - 00:01:17] 或者有一些什么指导
[00:01:17 - 00:01:18] 那家里有建议吗
[00:01:18 - 00:01:20] 还是家里也没有什么建议
[00:01:20 - 00:01:21] 刚恢复高考
[00:01:21 - 00:01:23] 对国家的这种形式
[00:01:23 - 00:01:24] 也不是很清楚
[00:01:24 - 00:01:26] 对职业的未来什么样
[00:01:26 - 00:01:27] 也不是很清楚
[00:01:27 - 00:01:29] 就完全凭一个感觉吧
[00:01:29 - 00:01:30] 感觉
[00:01:30 - 00:01:31] 对
[00:01:31 - 00:01:32] 扔崽吧
[00:01:32 - 00:01:33] 对对对
[00:01:33 - 00:01:34] 有有这种吧
[00:01:34 - 00:01:35] 就是看着哪个专业顺眼点
[00:01:35 - 00:01:37] 就抱哪个专业吧
[00:01:37 - 00:01:38] 真的不是很了解当时
[00:01:38 - 00:01:40] 就是随便就随便填了一个
[00:01:40 - 00:01:41] 对 就想一想
[00:01:41 - 00:01:42] 那你那你
[00:01:42 - 00:01:45] 但是多少还是有一点家里还是有一点偏向的
[00:01:45 - 00:01:48] 比如说愿意让我当时
[00:01:48 - 00:01:49] 因为我父亲可能也是学
[00:01:49 - 00:01:51] 学机械方面的
[00:01:51 - 00:01:55] 可能愿意让我学一些偏这个功科的
[00:01:55 - 00:01:59] 但是呢又想女孩子们学功科又怎么着
[00:01:59 - 00:02:01] 最后其实一是最后
[00:02:01 - 00:02:02] 因为抱好几个志愿嘛
[00:02:02 - 00:02:04] 最后说的又这个
[00:02:04 - 00:02:05] 错够了呀
[00:02:05 - 00:02:06] 那一错了一个
[00:02:06 - 00:02:08] 那就相当于他不是第一次去玩
[00:02:08 - 00:02:09] 对的
[00:02:09 - 00:02:12] 我前面的志愿都是跟功课有关系的
[00:02:12 - 00:02:14] 后来你也是读了
[00:02:14 - 00:02:16] 后来博客外面读了眼
[00:02:16 - 00:02:17] 读了博士
[00:02:17 - 00:02:18] 对
[00:02:18 - 00:02:18] 读了博士
[00:02:18 - 00:02:20] 后来进入咱们的行业
[00:02:20 - 00:02:21] 但是我不是说你现在也没有听说
[00:02:21 - 00:02:23] 因为我现在做考研
[00:02:23 - 00:02:25] 有做高考诊
[00:02:25 - 00:02:27] 现在在高考诊谈过的就有这么一句话
[00:02:27 - 00:02:27] 叫
[00:02:27 - 00:02:30] 确认学一天打雷劈
[00:02:30 - 00:02:31] 对
[00:02:31 - 00:02:33] 而且就是我不瞒您说
[00:02:33 - 00:02:34] 我认识很多
[00:02:34 - 00:02:37] 就是从医学的从业从业者医生
[00:02:37 - 00:02:39] 然后他们在给孩子的报支院的时候
[00:02:39 - 00:02:41] 就找我说这好生命购物孩子报支院
[00:02:41 - 00:02:43] 我只有一个要求
[00:02:43 - 00:02:46] 我只是希望我的孩子不学医
[00:02:46 - 00:02:47] 他学什么都行
[00:02:47 - 00:02:48] 是吧
[00:02:48 - 00:02:48] 对
[00:02:48 - 00:02:50] 就很多医生家长就跟我说
[00:02:50 - 00:02:52] 然后说我不学我的孩子学医
[00:02:52 - 00:02:54] 对于确定学医天哪没批
[00:02:54 - 00:02:55] 这句话你怎么看
[00:02:55 - 00:03:00] 其实学医这个行业其实是压力很大
[00:03:00 - 00:03:00] 对
[00:03:00 - 00:03:01] 因为我了解到其实这句话
[00:03:01 - 00:03:05] 主要出租就是因为学医太苦了
[00:03:05 - 00:03:05] 对的
[00:03:05 - 00:03:08] 就是说可能说比如说我学个经济学
[00:03:08 - 00:03:10] 那我可能就是说我本科毕业
[00:03:10 - 00:03:11] 我就可以直接去找工作了
[00:03:11 - 00:03:12] 那我学过土木
[00:03:12 - 00:03:13] 我学个计算机
[00:03:13 - 00:03:14] 我本科毕业
[00:03:14 - 00:03:16] 可以直接去找个还不错的产位了
[00:03:16 - 00:03:17] 但是你要是学医的话
[00:03:17 - 00:03:19] 你想我本科就得有一个年
[00:03:19 - 00:03:20] 我再来个硕士
[00:03:20 - 00:03:20] 对吧
[00:03:20 - 00:03:22] 我要是硕士没口明白
[00:03:22 - 00:03:23] 我再来个规范化培养
[00:03:23 - 00:03:25] 现在咱们国家一时规范化培养
[00:03:25 - 00:03:25] 对
[00:03:25 - 00:03:26] 我再来个博士
[00:03:26 - 00:03:26] 对
[00:03:26 - 00:03:27] 就是大家会普遍觉得说
[00:03:27 - 00:03:30] 我医学这个培养人才的成才路径
[00:03:30 - 00:03:32] 太长了
[00:03:32 - 00:03:35] 这个是我觉得大家现在目前可能主要说
[00:03:35 - 00:03:37] 说不希望劝大家去学医
[00:03:37 - 00:03:39] 或者说不希望大家去学医的一个
[00:03:39 - 00:03:42] 就是社会上一些一些主流
[00:03:42 - 00:03:43] 我和人觉得
[00:03:43 - 00:03:43] 是吧
[00:03:43 - 00:03:45] 但是从我作为医生的角度
[00:03:45 - 00:03:48] 我觉得社会上流行这样的话
[00:03:48 - 00:03:49] 流行这样的想法
[00:03:49 - 00:03:52] 可能我个人认为还不是因为这个
[00:03:52 - 00:03:54] 我个人觉得可能还是因为
[00:03:54 - 00:03:57] 现在就是说这个经常有报道
[00:03:57 - 00:03:59] 这个商医事件
[00:03:59 - 00:04:02] 然后医生的付出很多
[00:04:02 - 00:04:06] 医生的其实收入也并不是很高
[00:04:06 - 00:04:08] 那么他的收入比不是很成比例
[00:04:08 - 00:04:09] 特别就是商医
[00:04:09 - 00:04:12] 可能对大家造成的影响比较多
[00:04:12 - 00:04:15] 对 大家可能觉得说我付出那么多的努力
[00:04:15 - 00:04:15] 是的
[00:04:15 - 00:04:18] 有的时候可能又不一定有什么样的回报
[00:04:18 - 00:04:20] 但是的话总却被人误解
[00:04:20 - 00:04:21] 是
[00:04:21 - 00:04:24] 大家可能上误比了解的理解的也不是很多
[00:04:24 - 00:04:24] 对
[00:04:24 - 00:04:27] 包括说我看到有一些就是学医的孩子
