BV号：BV1fu411S7Zx
标题：BV1fu411S7Zx
链接：https://www.bilibili.com/video/BV1fu411S7Zx
识别语言：zh
语言置信度：1
分段数：21
生成时间：2026-04-03 20:59:10

[00:00:00 - 00:00:02] 太不幸的太不幸的太不幸
[00:00:04 - 00:00:06] 然后我们再联一位家长啊
[00:00:06 - 00:00:08] 哎你好知道米方老师吗是我吗
[00:00:08 - 00:00:10] 哎是你是你啊我太幸运了
[00:00:10 - 00:00:12] 太幸运了太幸运了太幸运了
[00:00:12 - 00:00:14] 太幸运了啊一万多人这人被我抽到了
[00:00:14 - 00:00:16] 您好不浪费您的时间
[00:00:16 - 00:00:18] 我长话再说好的
[00:00:18 - 00:00:20] 我是那个辽宁那个新高考的高一家长
[00:00:20 - 00:00:22] 高一啊太不幸的太不幸的太不幸
[00:00:22 - 00:00:27] 喂喂喂
[00:00:27 - 00:00:29] 喂这个你能进来吗
[00:00:29 - 00:00:38] 喂喂喂喂这个你能记住他id吗
[00:00:39 - 00:00:43] 啊对对对一会把他连回来要不然的话他他晚上估计都睡不着觉
[00:00:43 - 00:00:45] 都得是这个
[00:00:46 - 00:00:49] 意外啊这个啊哎回来了啊
[00:00:50 - 00:00:51] 喂张老师您好
[00:00:53 - 00:01:00] 啊好吧那你记住那个那个那个姐姐要不然话一会对我宁可今天晚上不睡觉我也得举起他的问题啊
[00:01:00 - 00:01:03] 对,你好,你说有什么问题
[00:01:03 - 00:01:06] 这位小姐姐究竟有没有成功联卖
[00:01:06 - 00:01:09] 请持续关注张雪芳老师
