BV号：BV11R4y1a7ev
标题：BV11R4y1a7ev
链接：https://www.bilibili.com/video/BV11R4y1a7ev
识别语言：zh
语言置信度：1
分段数：30
生成时间：2026-04-03 16:28:11

[00:00:00 - 00:00:02] 只有一个专业连续6年考研分数线
[00:00:02 - 00:00:03] 持续上涨
[00:00:03 - 00:00:04] 这个专业就是
[00:00:05 - 00:00:07] 示范的就位形式非常卷
[00:00:07 - 00:00:10] 你看示范类考研卷到什么程度
[00:00:10 - 00:00:11] 你就能看得出来
[00:00:11 - 00:00:12] 从2016年开始
[00:00:12 - 00:00:15] 中国考研人数上涨一直到现在
[00:00:15 - 00:00:17] 虽然说考研人数在上涨
[00:00:17 - 00:00:19] 但是各个专业的招生人数是不是也在上涨
[00:00:19 - 00:00:22] 所以说不一定考研人数上涨
[00:00:22 - 00:00:24] 考研分数线就一定高
[00:00:24 - 00:00:26] 但是只有一个专业连续6年
[00:00:26 - 00:00:28] 考研分数线持续上涨
[00:00:28 - 00:00:29] 这个专业就是教育类
[00:00:29 - 00:00:33] 在6年前考研教育类的分数限是315分
[00:00:33 - 00:00:36] 但是现在考研教育类的分限是351分
[00:00:36 - 00:00:39] 我估计明年很勇可能会超过360
[00:00:39 - 00:00:41] 原来学示范可能还不错
[00:00:41 - 00:00:42] 为什么呢
[00:00:42 - 00:00:45] 因为原来学示范你最起码
[00:00:45 - 00:00:47] 还有一类机构可以去
[00:00:47 - 00:00:48] 就是校外辅导机构
[00:00:48 - 00:00:51] 大家千万不要以为那帮示范类毕业以后
[00:00:51 - 00:00:52] 大多数的人进学校当老师了
[00:00:52 - 00:00:53] 不是
[00:00:53 - 00:00:55] 你知道原来的校外辅导机构
[00:00:55 - 00:00:57] 承载了多少示范类高校毕业生
[00:00:57 - 00:00:59] 其实原来校外辅导机库才是这帮
[00:00:59 - 00:01:02] 示范了高校毕业生的紧密军
