BV号：BV1Hq4y1N773
标题：BV1Hq4y1N773
链接：https://www.bilibili.com/video/BV1Hq4y1N773
识别语言：zh
语言置信度：1
分段数：59
生成时间：2026-04-03 22:34:20

[00:00:00 - 00:00:02] 大家好 我上学期变得更快乐的张曲浩老师
[00:00:02 - 00:00:05] 很多同学问我说大一星生我到学校报道
[00:00:05 - 00:00:06] 我应该带点啥
[00:00:06 - 00:00:08] 那应该带的东西太多了
[00:00:08 - 00:00:10] 咱们今天就给你说个几样
[00:00:11 - 00:00:13] 这电缺风你说该不该带 对吧
[00:00:13 - 00:00:15] 你说它不管男生女生吧
[00:00:15 - 00:00:17] 就咱这飘衣的头发 对吧
[00:00:17 - 00:00:19] 就拿个头型 不得吹得有型 对不对
[00:00:19 - 00:00:21] 那你说咱找个像靠啥
[00:00:21 - 00:00:23] 不就得靠咱的外表吗 对吧
[00:00:23 - 00:00:24] 咱变广人长得怎么样
[00:00:24 - 00:00:26] 咱们头发必须得有型
[00:00:26 - 00:00:27] 你说这电缺风是不是得带
[00:00:27 - 00:00:30] 你看我手里拿这个养生电水壶
[00:00:30 - 00:00:32] 我跟你说各位养生啊
[00:00:32 - 00:00:34] 一定要从大学开始做起
[00:00:34 - 00:00:35] 你看我年纪进行
[00:00:35 - 00:00:36] 二十多岁出头
[00:00:36 - 00:00:37] 长得跟五十似的
[00:00:37 - 00:00:39] 所以说这个养生啊
[00:00:39 - 00:00:41] 咱们就被大衣开始抓起啊
[00:00:41 - 00:00:42] 什么狗起啊
[00:00:42 - 00:00:43] 什么红枣啊
[00:00:43 - 00:00:44] 蓝天八糟
[00:00:44 - 00:00:45] 都泡起来养起来
[00:00:45 - 00:00:46] 尤其是男人
[00:00:46 - 00:00:47] 一个月内几天呢
[00:00:47 - 00:00:48] 可得喝起来啊
[00:00:49 - 00:00:50] 你看我手里这个锅
[00:00:50 - 00:00:52] 是不是他们大学生必备的
[00:00:52 - 00:00:54] 你说那食堂的饭
[00:00:54 - 00:00:55] 万一不好吃
[00:00:55 - 00:00:56] 咱在屋里边对吧
[00:00:56 - 00:00:58] 在宿舍里边煮点火锅滑的
[00:00:58 - 00:00:59] 还能过猛感情对吧
[00:00:59 - 00:01:00] 咱吃着火锅
[00:01:00 - 00:01:03] 唱着歌喝着小酒就把大学过完了
[00:01:03 - 00:01:04] 你说这番该不该呆
[00:01:04 - 00:01:05] 啥也不说了啊
[00:01:05 - 00:01:07] 各位今天我就拿了个电穴缝
[00:01:07 - 00:01:08] 我先吹个有型的头发
[00:01:08 - 00:01:09] 我教你啊
[00:01:09 - 00:01:11] 怎么能把头发推出型来啊
[00:01:11 - 00:01:12] 咱三二一
[00:01:12 - 00:01:13] 啥
[00:01:14 - 00:01:15] 耶能咋又挑杂了
[00:01:17 - 00:01:20] 大学报道一定要注意用电安全啊
[00:01:20 - 00:01:21] 我们大学宿舍当中
[00:01:21 - 00:01:23] 其实我们刚才列举的这些东西
[00:01:23 - 00:01:25] 都是不能用不能带的
[00:01:25 - 00:01:27] 我们上大学的时候一定要注意
[00:01:27 - 00:01:30] 用遍安全不要引起宿舍的活摘
[00:01:30 - 00:01:33] 如果说你在宿舍里边用这些东西的话
[00:01:33 - 00:01:34] 被没收啊
[00:01:34 - 00:01:35] 倒是小事
[00:01:35 - 00:01:37] 要使人当地的消防工们找你
[00:01:37 - 00:01:38] 你成了网红
[00:01:38 - 00:01:39] 那就是大事了
