BV号：BV1ju4y1u7s1
标题：BV1ju4y1u7s1
链接：https://www.bilibili.com/video/BV1ju4y1u7s1
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 13:05:50

[00:00:00 - 00:00:02] 我刚刚听您说就前面一个家长
[00:00:02 - 00:00:04] 联系的时候说他学法学
[00:00:04 - 00:00:08] 然后您叫他修一个财快的双学位对吗
[00:00:08 - 00:00:09] 对
[00:00:09 - 00:00:10] 但是家长他那个想法是什么
[00:00:10 - 00:00:12] 他那个是在体制外就业
[00:00:12 - 00:00:13] 在体制外就业
[00:00:13 - 00:00:15] 你是两个正式加起来双BUFF
[00:00:15 - 00:00:16] 那是比较好的
[00:00:16 - 00:00:18] 但是在体制内就业是没必要的
[00:00:18 - 00:00:19] 比如说老师
[00:00:19 - 00:00:21] 我现在是目标苏大法学
[00:00:21 - 00:00:22] 因为家长我为什么跟你说苏大
[00:00:22 - 00:00:24] 因为苏大和南世大的法学
[00:00:24 - 00:00:26] 在江苏城政法系统选举
[00:00:26 - 00:00:27] 是有选举资格的
[00:00:27 - 00:00:31] 苏大和南施大是我们本省的法学比较认可的学校
[00:00:31 - 00:00:34] 所以说如果说老师我能上苏大或南施大的法学
[00:00:34 - 00:00:37] 你将来你在苏大和南施大再读一个垂直的研究生法学
[00:00:37 - 00:00:39] 硕士的研究生
[00:00:39 - 00:00:43] 那么你将来是有机会选调到江苏省的苏美地区的政法系统的
[00:00:43 - 00:00:44] 那你说老师我的政法系统当法官
[00:00:44 - 00:00:46] 我有必要考CPA吗
[00:00:46 - 00:00:46] 完全没必要
[00:00:46 - 00:00:49] 但是如果说你说老师我是希望拿法学当加持
[00:00:49 - 00:00:51] 然后的话再考个CPA
[00:00:51 - 00:00:52] 然后我进会计师事务所
[00:00:52 - 00:00:56] 我在会计师事务所里边成为一个既可以看得懂上市公司
[00:00:56 - 00:00:57] 法律意見輸的
[00:00:57 - 00:01:00] 又能夠去幫順上市公司去審核財報的
[00:01:00 - 00:01:01] 你要成為這樣的人
[00:01:01 - 00:01:03] 那你這個是法學家財塊
[00:01:03 - 00:01:04] 但是你要在體制內
[00:01:04 - 00:01:06] 找找說我覺得能法官就當檢察官
[00:01:06 - 00:01:07] 也沒有必要非得考試騙你
