BV号：BV1MV411V7xX
标题：BV1MV411V7xX
链接：https://www.bilibili.com/video/BV1MV411V7xX
识别语言：zh
语言置信度：1
分段数：37
生成时间：2026-04-03 14:08:12

[00:00:00 - 00:00:02] 就是他不一定是个刚虚
[00:00:02 - 00:00:03] 我觉得你任何行业的话
[00:00:03 - 00:00:06] 你真的刚虚和非刚虚他不一样
[00:00:06 - 00:00:08] 他刚虚和非刚虚就不一样
[00:00:08 - 00:00:11] 你比如说我给大家举个简单的例子
[00:00:11 - 00:00:13] 你说吃饭是不是刚虚
[00:00:13 - 00:00:15] 他吃饭肯定是刚虚
[00:00:15 - 00:00:16] 但吃花生是刚虚吗
[00:00:16 - 00:00:17] 他就是个非刚虚
[00:00:17 - 00:00:18] 对吧
[00:00:18 - 00:00:19] 你教育是刚虚吗
[00:00:19 - 00:00:20] 教育是刚虚
[00:00:20 - 00:00:21] 但是康复是刚虚吗
[00:00:21 - 00:00:24] 康复不是刚虚
[00:00:24 - 00:00:25] 你脚崴了
[00:00:25 - 00:00:26] 你会找大夫吗
[00:00:26 - 00:00:27] 你脚崴了会找大夫吗
[00:00:27 - 00:00:28] 你平时打二百个脚吗
[00:00:30 - 00:00:30] 不一定吧
[00:00:31 - 00:00:32] 对吧
[00:00:32 - 00:00:33] 我跑步的时候
[00:00:33 - 00:00:34] 这两天可能膝盖有点疼
[00:00:34 - 00:00:35] 我会找大夫吗
[00:00:35 - 00:00:36] 不一定吧
[00:00:37 - 00:00:38] 我这两天我跑步的时候
[00:00:38 - 00:00:38] 肌肉有点酸疼
[00:00:38 - 00:00:39] 我会找大夫吗
[00:00:39 - 00:00:40] 不一定吧
[00:00:41 - 00:00:41] 对吧
[00:00:42 - 00:00:44] 但是我孩子现在上体育课
[00:00:44 - 00:00:44] 对吧
[00:00:44 - 00:00:45] 那肯定得有老实带
[00:00:47 - 00:00:48] 他肯定得有老实带
[00:00:48 - 00:00:50] 所以说的话就是你最好是
[00:00:50 - 00:00:51] 如果说你在那种
[00:00:52 - 00:00:54] 钢渠和非钢渠级件选
[00:00:54 - 00:00:55] 那肯定选钢渠的
