BV号：BV144411Z7kg
标题：BV144411Z7kg
链接：https://www.bilibili.com/video/BV144411Z7kg
识别语言：zh
语言置信度：1
分段数：333
生成时间：2026-04-04 07:22:01

[00:00:00 - 00:00:02] 大家好,我上学习变得更快乐的张雪,冯老师
[00:00:02 - 00:00:05] 欢迎大家收看本期的《法律习事》很好玩
[00:00:05 - 00:00:10] 在2017年,广西有一个湖南少阳级的退休警察,徐某
[00:00:10 - 00:00:14] 这个徐某跟他的老婆,邓某,感情就一直不太和
[00:00:14 - 00:00:17] 这个徐某就心生改独,想把他的老婆邓某给弄死
[00:00:17 - 00:00:21] 具体办法是,他在邓某熟睡的时候
[00:00:21 - 00:00:24] 将邓某,锁脚,用铁丝就给捆起来了
[00:00:24 - 00:00:26] 捆起来还装到这个编织袋里边
[00:00:26 - 00:00:29] 他的想法是把邓某给拉到湖南
[00:00:29 - 00:00:31] 泳州附近的一条河当中
[00:00:31 - 00:00:33] 给邓某扔下去让他沉死
[00:00:33 - 00:00:36] 结果他还特别恶毒
[00:00:36 - 00:00:38] 在路上捡了几个大石头
[00:00:38 - 00:00:39] 怕他老婆沉不下去
[00:00:40 - 00:00:41] 他到了泳州以后
[00:00:41 - 00:00:43] 下车在一个大桥上查看地形
[00:00:43 - 00:00:44] 看看把他老婆扔到哪儿
[00:00:44 - 00:00:45] 必死无疑
[00:00:45 - 00:00:48] 而此时邓某醒来
[00:00:48 - 00:00:50] 并且将铁丝给他拆掉
[00:00:50 - 00:00:51] 从边界带尾巴出来
[00:00:51 - 00:00:53] 把车就给开走
[00:00:53 - 00:00:54] 捡回了一条命
[00:00:54 - 00:00:56] 而后邓某当然就报警了
[00:00:56 - 00:00:58] 把许某就给抓住了
[00:00:58 - 00:01:00] 最后许某犯罪行为
[00:01:00 - 00:01:01] 他是犯罪未遂
[00:01:01 - 00:01:03] 还是犯罪预备
[00:01:03 - 00:01:06] 在专家和法院当中就产生了分歧
[00:01:06 - 00:01:09] 那么本案他到底是犯罪未遂
[00:01:09 - 00:01:11] 还是犯罪预备呢
[00:01:11 - 00:01:13] 我们来听听专家怎么说
[00:01:22 - 00:01:22] 大家好
[00:01:22 - 00:01:24] 我是让学习变得更快乐的张雪丰老师
