BV号：BV19ZR1YAEZ4
标题：BV19ZR1YAEZ4
链接：https://www.bilibili.com/video/BV19ZR1YAEZ4
识别语言：zh
语言置信度：1
分段数：84
生成时间：2026-04-03 05:21:39

[00:00:00 - 00:00:02] 来我们经常讲法学才高汉语言
[00:00:02 - 00:00:03] 法学才高汉语言
[00:00:03 - 00:00:05] 这三个专业它到底什么差别
[00:00:05 - 00:00:06] 跟大家说一下
[00:00:06 - 00:00:08] 首先我先说一下汉语言
[00:00:08 - 00:00:09] 汉语言这个专业
[00:00:09 - 00:00:11] 它其实从就业的市场
[00:00:11 - 00:00:13] 社会就业的市场上来讲
[00:00:13 - 00:00:14] 它是没有什么专业壁垒的
[00:00:14 - 00:00:16] 它能干的活
[00:00:16 - 00:00:17] 别的专业也都能干
[00:00:17 - 00:00:18] 但是在两个地方上
[00:00:18 - 00:00:20] 它是有极强专业壁垒的
[00:00:20 - 00:00:23] 一个地方就是在当老师考编的情况下
[00:00:23 - 00:00:24] 汉语言为学
[00:00:24 - 00:00:25] 它是可以当语文老师的
[00:00:25 - 00:00:27] 别的专业想当语文老师不行
[00:00:27 - 00:00:28] 你自己考教师资格证
[00:00:28 - 00:00:30] 在体制外当老师可以
[00:00:30 - 00:00:32] 但是你要考我们体制内的老师
[00:00:32 - 00:00:33] 必须是本科是汉语言
[00:00:33 - 00:00:36] 或者是你本朔一致要求本科是汉语言
[00:00:36 - 00:00:37] 要么就是在考工的时候
[00:00:37 - 00:00:40] 工员招考岗位的时候
[00:00:40 - 00:00:41] 他对专业与专业要求
[00:00:41 - 00:00:43] 他要求这个岗位
[00:00:43 - 00:00:45] 必须只有汉语言的同学能报
[00:00:45 - 00:00:47] 这个叫做他的专业地理
[00:00:47 - 00:00:49] 然后的话这是这个汉语言
[00:00:49 - 00:00:50] 其实汉语言这个就是
[00:00:50 - 00:00:51] 你要想当老师
[00:00:51 - 00:00:53] 你想考工员都没有问题
[00:00:53 - 00:00:54] 但是如果说你老师没当成
[00:00:54 - 00:00:55] 工员没考上
[00:00:55 - 00:00:56] 你在社会上就业
[00:00:56 - 00:00:58] 汉语言这个专业跟其他专业
[00:00:58 - 00:00:59] 也没有任何差别
[00:00:59 - 00:01:00] 能文能武
[00:01:00 - 00:01:02] 好像是什么都能干
[00:01:02 - 00:01:03] 但其实也好像什么都干不了
[00:01:03 - 00:01:04] 这是这上面
[00:01:04 - 00:01:06] 然后我再说法学和会计
[00:01:06 - 00:01:08] 你这个分手段的法学和会计
[00:01:08 - 00:01:09] 是这样子的孩子
[00:01:09 - 00:01:10] 你学到法学
[00:01:10 - 00:01:11] 你本科毕业以后
[00:01:11 - 00:01:12] 如果不口空
[00:01:12 - 00:01:14] 几乎等于毕业就失业
[00:01:14 - 00:01:16] 因为你这个党词的院校
[00:01:16 - 00:01:18] 没有一个律所愿意
[00:01:18 - 00:01:19] 要你这个党词的院校的人
[00:01:19 - 00:01:21] 除非说你家里边是干法律的
[00:01:21 - 00:01:22] 所以说如果你报了法学
[00:01:22 - 00:01:24] 你的任务就是第一
[00:01:24 - 00:01:27] 你一定要在考律师职业
[00:01:27 - 00:01:29] 这个证的时候把律师职业的责任给考下来
[00:01:29 - 00:01:31] 第二,你一定要去考供
[00:01:31 - 00:01:33] 不要指望说我老师我在体制外的律所
[00:01:33 - 00:01:35] 从底层慢慢往上混
[00:01:35 - 00:01:37] 你都不一定有的机会去混
[00:01:37 - 00:01:39] 第二,你混的往上混的难度很大
[00:01:39 - 00:01:41] 所以说的话,如果你一旦报到法学的话
[00:01:41 - 00:01:42] 就衡下一条心
[00:01:42 - 00:01:45] 你一定要把律师职业资格证考调
[00:01:45 - 00:01:46] 你把律师职业资格证考调
[00:01:46 - 00:01:48] 考法检系统公务员
[00:01:48 - 00:01:50] 别太挑地方的话
[00:01:50 - 00:01:50] 一如反掌
[00:01:50 - 00:01:54] 因为基层的法检系统是很确认很确认的
[00:01:54 - 00:01:55] 然后再说采败
[00:01:55 - 00:01:56] 采败这个专业
[00:01:56 - 00:01:58] 口供的时候是都能好
[00:01:58 - 00:02:00] 但是因为他在口供的时候
[00:02:00 - 00:02:03] 只要求专业本科为快级就可以了
[00:02:03 - 00:02:05] 他不像说法律要求
[00:02:05 - 00:02:06] 还有在八一层体
[00:02:06 - 00:02:07] 还有考律师级资格证
[00:02:07 - 00:02:09] 所以说快级口供的激烈程度
[00:02:09 - 00:02:11] 要比法学过的律师级资格证
[00:02:11 - 00:02:13] 口供的激烈程度要大的多
[00:02:13 - 00:02:16] 但是如果说你们有考上公园
[00:02:16 - 00:02:17] 在社会上找工作
[00:02:17 - 00:02:19] 快级要比法学容易的多
[00:02:19 - 00:02:21] 这三个专业为大家讲的很清楚
