BV号：BV1HY4y1u7Yo
标题：BV1HY4y1u7Yo
链接：https://www.bilibili.com/video/BV1HY4y1u7Yo
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 17:50:27

[00:00:00 - 00:00:02] 只要是个男的,别发小孩吓哭了
[00:00:02 - 00:00:03] 你就基本都能找到工作
[00:00:03 - 00:00:05] 男生学学先教育怎么样?很不错
[00:00:05 - 00:00:08] 我告诉你,如果说你这个男生分不高
[00:00:08 - 00:00:10] 抱学先教育是没有问题的
[00:00:10 - 00:00:11] 如果说你分高的话
[00:00:11 - 00:00:14] 你去挑一些发展比较前景比较广阔的专业
[00:00:14 - 00:00:15] 如果说你分不高
[00:00:15 - 00:00:17] 让他最起码能找到一个工作
[00:00:17 - 00:00:19] 男生抱学先教育绝对没有问题的
[00:00:19 - 00:00:20] 又有人现在缺乏老师的
[00:00:20 - 00:00:22] 我有一个朋友
[00:00:22 - 00:00:22] 就是这样
[00:00:22 - 00:00:25] 他弟弟说学期成绩不是很好
[00:00:25 - 00:00:26] 怎么办?
[00:00:26 - 00:00:27] 我说你抱学先教育
[00:00:27 - 00:00:29] 结果他去面试的时候
[00:00:29 - 00:00:30] 老师就没问他问题
[00:00:30 - 00:00:31] 聊这个男的
[00:00:31 - 00:00:32] 别把小孩儿下哭了
[00:00:32 - 00:00:34] 你就基本都能找到工作
[00:00:34 - 00:00:35] 知道吧
[00:00:35 - 00:00:37] 学习教育唯一的一个小毛病是什么呢
[00:00:37 - 00:00:39] 他的职业天花板太低了
[00:00:39 - 00:00:40] 就相当于说
[00:00:40 - 00:00:41] 他将来就影响挣大钱
[00:00:41 - 00:00:43] 他挣不了太大的钱
[00:00:43 - 00:00:43] 所以说的话
[00:00:43 - 00:00:45] 这个女士需要先提前向我的
[00:00:45 - 00:00:48] 男生分不高的报学习教育
[00:00:48 - 00:00:49] 我就经常这么干
[00:00:49 - 00:00:50] 我男生分不高的
[00:00:50 - 00:00:51] 要么学习教育
[00:00:51 - 00:00:51] 要么互利
[00:00:51 - 00:00:53] 因为你先把工作给你保住
