BV号：BV12f4y1j7MS
标题：BV12f4y1j7MS
链接：https://www.bilibili.com/video/BV12f4y1j7MS
识别语言：zh
语言置信度：1
分段数：28
生成时间：2026-04-03 22:10:58

[00:00:00 - 00:00:02] 大家好,我上学习名单更回来的张雪峰老师
[00:00:02 - 00:00:08] 不知道有没有朋友跟我一样觉得这七天的假期过得特别特别的快
[00:00:08 - 00:00:09] 转瞬即逝
[00:00:09 - 00:00:12] 我们上期讨论的话提出国庆你安排了吗
[00:00:12 - 00:00:14] 得到了很多同学的和朋友的反馈
[00:00:14 - 00:00:16] 有的朋友说在家里边
[00:00:16 - 00:00:17] 酥酥肤肤的过了七天
[00:00:17 - 00:00:18] 优在优在的日子
[00:00:18 - 00:00:21] 也有的朋友说说嗨这十一夜啥也没干
[00:00:21 - 00:00:22] 就在高速路上堵车了
[00:00:22 - 00:00:25] 在高速路上就感觉把了几天给过完了
[00:00:25 - 00:00:27] 无论这个假期是怎么度过的
[00:00:27 - 00:00:29] 咱们该收薪叫收薪
[00:00:29 - 00:00:31] 该上学的就认真上学
[00:00:31 - 00:00:32] 该工作的就努力工作
[00:00:32 - 00:00:35] 你要是今年年底考研的话
[00:00:35 - 00:00:38] 估计这期天应该在教室里面好好学习了吧
[00:00:38 - 00:00:40] 还有将近不到100天的时间
[00:00:40 - 00:00:43] 你赶紧去努力咱们争取明年杀案
[00:00:44 - 00:00:45] 说实话这一转眼
[00:00:45 - 00:00:47] 2021年也已经过去了
[00:00:47 - 00:00:49] 四分之三了
[00:00:49 - 00:00:50] 还剩下十十一十二
[00:00:50 - 00:00:53] 三个月我们就迎接到二二年了
[00:00:53 - 00:00:54] 就要来到新的一年了
[00:00:54 - 00:00:57] 所以说希望大家在最后的三个月
[00:00:57 - 00:00:59] 一定要在冲刺一波
[00:00:59 - 00:01:02] 把今年划一个更加完美的句号
