BV号：BV1Ep4y1b7Ga
标题：BV1Ep4y1b7Ga
链接：https://www.bilibili.com/video/BV1Ep4y1b7Ga
识别语言：zh
语言置信度：1
分段数：28
生成时间：2026-04-04 00:28:10

[00:00:00 - 00:00:02] 理工類中專業排名
[00:00:02 - 00:00:04] 文科類中學校排名
[00:00:04 - 00:00:07] 大家注意理工類有一個東西叫專業壁壘
[00:00:07 - 00:00:08] 什麼意思
[00:00:08 - 00:00:09] 我能幹你
[00:00:09 - 00:00:11] 我都沒見過
[00:00:11 - 00:00:12] 我給你舉個例子
[00:00:12 - 00:00:12] 圖木工程
[00:00:12 - 00:00:14] 我經常拿兩個學校舉例子
[00:00:14 - 00:00:16] 一個叫西安建築科技大學
[00:00:16 - 00:00:17] 一個叫北京大學
[00:00:17 - 00:00:18] 北大聽說過吧
[00:00:18 - 00:00:19] 北大圖木好
[00:00:19 - 00:00:21] 還是西安建築科技大學圖木好
[00:00:21 - 00:00:23] 肯定西安嗎
[00:00:23 - 00:00:24] 北大沒有圖木
[00:00:24 - 00:00:25] 沒有圖
[00:00:25 - 00:00:26] 我就舉個例子
[00:00:26 - 00:00:28] 假設他有
[00:00:28 - 00:00:29] 他肯定不如西安建築科技大學
[00:00:29 - 00:00:33] 你在西安京的科技大学学统墓教你盖一个1000米的楼
[00:00:33 - 00:00:35] 在北大教你盖一个200米的楼
[00:00:35 - 00:00:37] 我现在在唐山盖个500米的楼
[00:00:37 - 00:00:38] 我去哪照片
[00:00:38 - 00:00:40] 我倒想去北大照片了
[00:00:40 - 00:00:41] 他学了吗
[00:00:41 - 00:00:43] 没学
[00:00:43 - 00:00:43] 能明白吗
