BV号：BV1mY5VzMEna
标题：BV1mY5VzMEna
链接：https://www.bilibili.com/video/BV1mY5VzMEna
识别语言：zh
语言置信度：1
分段数：94
生成时间：2026-04-03 04:58:56

[00:00:00 - 00:00:03] 你好,老師,我是上海的考生家長
[00:00:03 - 00:00:05] 男孩高三物化生
[00:00:05 - 00:00:08] 然後他就是一模二模
[00:00:08 - 00:00:12] 差不多分數在460到470左右
[00:00:12 - 00:00:14] 那我現在的問題就是
[00:00:14 - 00:00:17] 我們能夠上一個工半的二本
[00:00:17 - 00:00:19] 就是往下的那種
[00:00:19 - 00:00:22] 那我現在還報了一個上海理工的
[00:00:22 - 00:00:25] 就是計畫外的四加零
[00:00:25 - 00:00:26] 老師給點建議
[00:00:26 - 00:00:28] 你覺得這兩個相比照而言
[00:00:28 - 00:00:31] 你抱的那个4加零是没有上海理工大学毕业证的
[00:00:31 - 00:00:33] 对 我知道
[00:00:33 - 00:00:34] 你知道就好
[00:00:34 - 00:00:37] 你别以为你抱那个基华文那个4加零是有上海理工大学毕业证
[00:00:37 - 00:00:38] 是没有毕业证的
[00:00:38 - 00:00:39] 是没有那个上海理工毕业证的
[00:00:39 - 00:00:40] 对 没有
[00:00:40 - 00:00:41] 你要出国吗
[00:00:41 - 00:00:43] 你将来想出国留学读研吗
[00:00:43 - 00:00:43] 不想
[00:00:43 - 00:00:44] 不想
[00:00:44 - 00:00:45] 你不想抱什么4加零呢
[00:00:45 - 00:00:47] 我就想读一个本科就可以
[00:00:47 - 00:00:50] 加上你那个4加零是外方的毕业证
[00:00:50 - 00:00:50] 对
[00:00:50 - 00:00:51] 你想好
[00:00:52 - 00:00:54] 你外方那个毕业证找工作不一定好起的
[00:00:54 - 00:00:59] 哦就是你觉得还是公办的二本相对比较可靠的
[00:00:59 - 00:01:02] 那个私家领那个所谓的计划外私家领那个
[00:01:02 - 00:01:06] 一定是你有想出国读读研究生的想法
[00:01:06 - 00:01:07] 你去报那个
[00:01:07 - 00:01:08] 如果你没有出国读研究生的想法
[00:01:08 - 00:01:10] 你报那个是没有意义的
[00:01:10 - 00:01:11] 哦行
[00:01:11 - 00:01:16] 那像我们这个分数段也就上海商学院差不多就这个档次吗
[00:01:16 - 00:01:18] 加上你要学啥专业
[00:01:18 - 00:01:20] 你一个男生物化生的男生
[00:01:20 - 00:01:22] 你要报上海商学院学生课吗
[00:01:22 - 00:01:26] 不是 我说我们这个婚书段有什么
[00:01:26 - 00:01:28] 我好像看了一下就这个学校
[00:01:28 - 00:01:29] 好像别的学校
[00:01:29 - 00:01:32] 家长 你某专业不要某学校
[00:01:32 - 00:01:34] 我教你一个方法
[00:01:34 - 00:01:36] 如果我是你的话
[00:01:36 - 00:01:37] 我很有可能会这么去报
[00:01:37 - 00:01:39] 首先第一 我看一下
[00:01:39 - 00:01:41] 上海市市政府的工作报告
[00:01:41 - 00:01:44] 和上海市各个区它的产业发展
[00:01:44 - 00:01:47] 我看一下上海市市政府和各个区
[00:01:47 - 00:01:49] 它主要发展什么样的产业
[00:01:49 - 00:01:51] 这个产业可能会需要什么样的专业
[00:01:51 - 00:01:53] 我不管抱本省还是抱外省
[00:01:53 - 00:01:55] 我都会学对应的专业
[00:01:55 - 00:01:57] 哪怕我到外省学这个专业
[00:01:57 - 00:01:59] 我回上海找工作
[00:01:59 - 00:02:00] 也没有那么难
[00:02:00 - 00:02:02] 因为上海是干这个产业的
[00:02:02 - 00:02:04] 能动我的意思吗
[00:02:05 - 00:02:05] 对
[00:02:05 - 00:02:07] 不要所谓的先看哪个学校
[00:02:07 - 00:02:10] 而是要先看哪个专业
[00:02:10 - 00:02:12] 你一个男生最好学点理工科
[00:02:12 - 00:02:14] 你看一下上海市市政府
[00:02:14 - 00:02:16] 以及各个区域它发展什么产业
[00:02:16 - 00:02:17] 我学什么专业
[00:02:17 - 00:02:18] 我回来能找到工作
[00:02:18 - 00:02:19] 明白
[00:02:19 - 00:02:20] 各位家长
[00:02:20 - 00:02:21] 如果说你在直播间
[00:02:21 - 00:02:24] 你说张老师我想让孩子去怎么报职员呢
[00:02:24 - 00:02:27] 老师我特别想让他到某一个地区去工作
[00:02:27 - 00:02:29] 你就按照刚才我所说的方法
[00:02:29 - 00:02:31] 看一下这个地区他发展什么产业
[00:02:31 - 00:02:35] 他发展这个产业一定会缺这个专业的人才
[00:02:35 - 00:02:37] 别管是在本省还是在外省
[00:02:37 - 00:02:40] 这样的话你都能到这个省份来工作
[00:02:40 - 00:02:41] 大家听懂了吗
[00:02:41 - 00:02:42] 这是第一第二
[00:02:42 - 00:02:44] 刚才这个家长说到一个很有意思的招声
[00:02:44 - 00:02:45] 叫做私家林
[00:02:45 - 00:02:47] 叫做计划外私家林
[00:02:47 - 00:02:48] 各位家长我这么跟你说
[00:02:48 - 00:02:49] 现在很多很多98
[00:02:49 - 00:02:50] 很多很多21
[00:02:50 - 00:02:52] 包括很多普通高校
[00:02:52 - 00:02:53] 都有这种所谓的计划外斯大林
[00:02:53 - 00:02:54] 各位家长注意
[00:02:54 - 00:02:57] 这种计划外斯大林是没有原来那个学校的毕业证的
[00:02:57 - 00:02:59] 一定别以为
[00:02:59 - 00:03:03] 你只要不是在报支院的时候
[00:03:03 - 00:03:04] 录取到这个学校的
[00:03:04 - 00:03:06] 你就不可能有这个学校的毕业证
[00:03:06 - 00:03:07] 大家听懂了吗
