BV号：BV1XE411f73z
标题：BV1XE411f73z
链接：https://www.bilibili.com/video/BV1XE411f73z
识别语言：zh
语言置信度：1
分段数：48
生成时间：2026-04-04 06:24:32

[00:00:00 - 00:00:01] 有的时候我坐飞机的时候
[00:00:01 - 00:00:04] 我就特别对一个人很感兴趣
[00:00:08 - 00:00:09] 不是 那你说的就会说话
[00:00:09 - 00:00:11] 说的是什么意思呢
[00:00:11 - 00:00:12] 因为他根本就不知道
[00:00:12 - 00:00:13] 那些剑都是干嘛的
[00:00:16 - 00:00:18] 可是在国外
[00:00:18 - 00:00:22] 文生不是一个很流行的一个事情
[00:00:22 - 00:00:23] 哦 对
[00:00:23 - 00:00:23] 是
[00:00:23 - 00:00:26] 听说牙不齐的不能当飞机人
[00:00:26 - 00:00:27] 没错
[00:00:27 - 00:00:28] 这个也是真理
[00:00:28 - 00:00:29] 为什么呀
[00:00:29 - 00:00:33] 我假如说我绝地转20圈我就晕了
[00:00:33 - 00:00:34] 那已经不错
[00:00:34 - 00:00:38] 不,我绝地转20圈我就晕了
[00:00:38 - 00:00:40] 那我通过什么的训练方法
[00:00:40 - 00:00:42] 我原地转30圈我也不能进去断
[00:00:42 - 00:00:45] 你看这个飞机有那种大飞机小飞机
[00:00:45 - 00:00:48] 它价实在大飞机和价实小飞机
[00:00:48 - 00:00:50] 有什么特别明显的差别吗
[00:00:50 - 00:00:51] 您关照非常仔细
[00:00:51 - 00:00:52] 就是它手里会拿一个东西
[00:00:52 - 00:00:53] 对
[00:00:53 - 00:00:55] 实际上是飞机上的安全销
[00:00:55 - 00:00:57] 就是机长有责任去看一眼
[00:00:57 - 00:00:59] 就是机长有责任去看一眼
[00:01:04 - 00:01:07] 这帮买飞机的公司也挺坏啊
[00:01:07 - 00:01:08] 对
[00:01:08 - 00:01:09] 他一旦让你熟悉了以后
[00:01:09 - 00:01:11] 就让你离不开
[00:01:11 - 00:01:12] 对离不开这个
[00:01:12 - 00:01:13] 如果说长得不够的话
[00:01:13 - 00:01:14] 他就要冲出去了
[00:01:14 - 00:01:15] 对
[00:01:15 - 00:01:16] 所以说一旦有问题
[00:01:16 - 00:01:18] 他就只能带伤返回
[00:01:18 - 00:01:19] 或者带伤继续前进
[00:01:19 - 00:01:20] 哎呀
[00:01:20 - 00:01:21] 那可真危险了
[00:01:21 - 00:01:23] 我这样能开飞机
[00:01:23 - 00:01:23] 黄老师
[00:01:23 - 00:01:24] 你能放不下吗
[00:01:24 - 00:01:25] 嗯
[00:01:25 - 00:01:26] 很遗憾
[00:01:26 - 00:01:26] 对
[00:01:26 - 00:01:32] 對 已經沒問題
