BV号：BV1a7411t7Nv
标题：BV1a7411t7Nv
链接：https://www.bilibili.com/video/BV1a7411t7Nv
识别语言：zh
语言置信度：1
分段数：255
生成时间：2026-04-04 03:07:16

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:04] 欢迎大家收看本期的法律其实很好玩
[00:00:04 - 00:00:08] 我们本期的案例远于我们节目的一个观众
[00:00:08 - 00:00:12] 这个观众的他的父亲就遇到了这样一个
[00:00:12 - 00:00:14] 跟担保有关的一个案子
[00:00:14 - 00:00:16] 我们该怎么解决
[00:00:16 - 00:00:18] 我们写成这位朋友为假
[00:00:18 - 00:00:22] 这个假的父亲有一个很好的朋友
[00:00:22 - 00:00:24] 在做生意的时候需要资金周短
[00:00:24 - 00:00:27] 希望向银行做贷款
[00:00:27 - 00:00:29] 那么在银行做贷款
[00:00:29 - 00:00:30] 你肯定有抵押物啊
[00:00:30 - 00:00:32] 那么他自己有没有抵押物
[00:00:32 - 00:00:33] 就他父亲那个朋友
[00:00:33 - 00:00:34] 他自己有没有抵押物
[00:00:34 - 00:00:41] 希望我们观众的父亲能够帮他做一个银行的担保
[00:00:41 - 00:00:45] 那么这位朋友的父亲他那个朋友原来也帮过他
[00:00:45 - 00:00:47] 他也觉得这个朋友的资金实力
[00:00:47 - 00:00:49] 原来了解来讲是挺强的
[00:00:49 - 00:00:51] 应该不会出问题
[00:00:51 - 00:00:53] 他的父亲就将自己这套房产
[00:00:53 - 00:00:58] 作为这种抵押物来为他父亲的朋友做担保了
[00:00:58 - 00:01:01] 没想到他父亲的这个朋友
[00:01:01 - 00:01:03] 这一百万这个钱就没还完
[00:01:03 - 00:01:08] 这个时候呢银行就要找他父亲来说这个事了
[00:01:08 - 00:01:11] 说你给他做担保了这个钱应该你还
[00:01:11 - 00:01:12] 这同学就问我了
[00:01:12 - 00:01:15] 张老师这个钱我父亲该还吗
[00:01:15 - 00:01:18] 这就是我们本期要给大家讲的故事
[00:01:30 - 00:01:31] 大家好
[00:01:31 - 00:01:33] 我上学习变得更快乐的张雪峰老师
[00:01:33 - 00:01:35] 欢迎大家收看本期的法律系势很好玩
[00:01:35 - 00:01:37] 我们本期抢到的嘉宾依然是我们研途教育的
[00:01:37 - 00:01:38] 秦瑞老师我们的
[00:01:38 - 00:01:39] 颜爱贤老师
[00:01:39 - 00:01:40] 袁老师跟大家打个招呼
[00:01:40 - 00:01:41] 好 大家好
[00:01:41 - 00:01:42] 袁老师
[00:01:42 - 00:01:44] 这个担保这个问题
[00:01:44 - 00:01:45] 你像
[00:01:45 - 00:01:46] 那他遇到这样的问题
[00:01:46 - 00:01:49] 你像他父亲帮助他的朋友去做担保
[00:01:49 - 00:01:50] 但他的父亲的朋友呢
[00:01:50 - 00:01:50] 出了问题
[00:01:50 - 00:01:53] 他父亲要去负这个担保责任吗
[00:01:53 - 00:01:54] 不但要负
[00:01:54 - 00:01:56] 而是叫连代责任
[00:01:56 - 00:01:56] 啊
[00:01:56 - 00:01:57] 什么叫连代
[00:01:57 - 00:01:59] 连代责任的意思就是说
[00:01:59 - 00:02:01] 人家如果负不上钱
[00:02:01 - 00:02:03] 你要全部要你来负
[00:02:03 - 00:02:04] 全部
[00:02:05 - 00:02:06] 就相当于这100万
[00:02:07 - 00:02:08] 要他付几句还
[00:02:08 - 00:02:09] 对
[00:02:09 - 00:02:10] 这种人最冤枉的什么地方
[00:02:10 - 00:02:12] 他一分钱都没有花到
[00:02:12 - 00:02:12] 对
[00:02:12 - 00:02:14] 然后他要付所有的钱
[00:02:14 - 00:02:15] 我见过最惨的一个案例
[00:02:15 - 00:02:15] 就说
[00:02:15 - 00:02:17] 因为这个人替别人做了担保
[00:02:17 - 00:02:19] 后来法院把这个人家里
[00:02:19 - 00:02:20] 唯一的一套住房
[00:02:20 - 00:02:21] 执行了
[00:02:21 - 00:02:23] 然后他老婆就跟他离婚了
[00:02:23 - 00:02:24] 后来就叙酒
[00:02:24 - 00:02:25] 再后来有一天就
[00:02:25 - 00:02:26] 就在那摘到就
[00:02:26 - 00:02:27] Oh no
[00:02:27 - 00:02:29] 就给别人担保
[00:02:29 - 00:02:30] 自己一分钱都没有拿到
[00:02:30 - 00:02:31] 最后家破人了
[00:02:31 - 00:02:33] 那你像我经常会看到
[00:02:33 - 00:02:34] 这样的一个情况
[00:02:34 - 00:02:35] 就是在企业当中
[00:02:35 - 00:02:36] 可能这种情况比较多
[00:02:36 - 00:02:38] 就是企业互相担保
[00:02:38 - 00:02:40] 企业互相担保
[00:02:40 - 00:02:41] 就如于出现有个东西
[00:02:41 - 00:02:43] 就是比如说还有一个人
[00:02:43 - 00:02:44] 他欠我钱
[00:02:44 - 00:02:45] 我欠你钱
[00:02:45 - 00:02:46] 你欠他钱
[00:02:46 - 00:02:48] 那三脚债
[00:02:48 - 00:02:49] 那三脚债的互相担保
[00:02:49 - 00:02:50] 能互相抵消吗
[00:02:50 - 00:02:51] 各是各的
[00:02:51 - 00:02:53] 各是各的
[00:02:53 - 00:02:54] 每一个是每一个
[00:02:54 - 00:02:55] 对银行的账
[00:02:55 - 00:02:56] 但他们确实有很多
[00:02:56 - 00:02:56] 是互相联保
[00:02:56 - 00:02:57] 对
[00:02:57 - 00:02:58] 就是为什么
[00:02:58 - 00:02:58] 因为大家都想
[00:02:58 - 00:02:59] 从银行借到贷款
[00:02:59 - 00:03:00] 你给我担保
[00:03:00 - 00:03:01] 我给你担保
[00:03:01 - 00:03:02] 他又给他担保
[00:03:02 - 00:03:04] 就是这样转了圈的担保
[00:03:04 - 00:03:06] 但是银行在算账的时候
[00:03:06 - 00:03:07] 一笔是一笔
[00:03:07 - 00:03:09] 银行说假企业带的钱
[00:03:09 - 00:03:11] 是以企业担保的
[00:03:11 - 00:03:12] 如果假企业还不上
[00:03:12 - 00:03:14] 银行就去追一企业
[00:03:14 - 00:03:15] 他不会去追那个饼企业
[00:03:15 - 00:03:17] 就是他是一码归一码的
[00:03:17 - 00:03:19] 给大家挑选这个案例
[00:03:19 - 00:03:21] 就特别想要干什么呢
[00:03:21 - 00:03:22] 想跟咱们的学生
[00:03:22 - 00:03:24] 还有学生家长说一件事情
[00:03:24 - 00:03:26] 担保不是闹着玩的
[00:03:26 - 00:03:28] 因为每一次你请人
[00:03:28 - 00:03:29] 人家请你担保
[00:03:29 - 00:03:30] 都会跟你说什么
[00:03:30 - 00:03:33] 说第一我肯定还得上
[00:03:33 - 00:03:34] 你放心
[00:03:34 - 00:03:36] 我只是暂时的资金周转
[00:03:36 - 00:03:38] 我一定还得上这是第一个
[00:03:38 - 00:03:41] 第二个你看我有多么大的资金实力
[00:03:41 - 00:03:43] 我不可能还不上
[00:03:43 - 00:03:46] 第一我内心我一定是愿意还的
[00:03:46 - 00:03:48] 第二客观上我是绝对还得上的
[00:03:48 - 00:03:50] 你看我有多少多少的资金
[00:03:50 - 00:03:52] 这些全都是鬼话
[00:03:52 - 00:03:54] 千万千万不要信
[00:03:54 - 00:03:55] 那我问一个问题
[00:03:55 - 00:03:58] 就比如说我现在假如我这个
[00:03:58 - 00:04:01] 比如说我们这个观众他的父亲
[00:04:01 - 00:04:02] 他这个朋友
