BV号：BV1A9PHzhEAc
标题：BV1A9PHzhEAc
链接：https://www.bilibili.com/video/BV1A9PHzhEAc
识别语言：zh
语言置信度：1
分段数：40
生成时间：2026-04-03 00:08:28

[00:00:00 - 00:00:01] 如果说是一个女孩子的话
[00:00:01 - 00:00:03] 中级分数有以下这么几个选择
[00:00:03 - 00:00:06] 第一个选择的话就是所谓的口供
[00:00:06 - 00:00:07] 就是口供的大转眼
[00:00:07 - 00:00:08] 口供大转眼的
[00:00:08 - 00:00:10] 包括像所谓的这个计算机
[00:00:10 - 00:00:13] 海坏这种东西叫口供的大转眼
[00:00:13 - 00:00:15] 这是第一个选项
[00:00:15 - 00:00:16] 然后第二个选项的话
[00:00:16 - 00:00:19] 就是去学技术
[00:00:19 - 00:00:20] 女生本科毕业
[00:00:20 - 00:00:21] 就直接能去干的技术
[00:00:21 - 00:00:22] 就是两个
[00:00:22 - 00:00:23] 一个是受益
[00:00:23 - 00:00:23] 一个是护理
[00:00:25 - 00:00:25] 一个是受益
[00:00:25 - 00:00:26] 一个是护理
[00:00:26 - 00:00:28] 受益的话就是将来你可能去穷医院
[00:00:28 - 00:00:29] 去给小动物看病
[00:00:29 - 00:00:31] 因为这东西是一个未来的趋势
[00:00:31 - 00:00:32] 就是你发现现在的人
[00:00:32 - 00:00:34] 羊成物的越来越多
[00:00:34 - 00:00:35] 原来大家都生孩子
[00:00:35 - 00:00:36] 现在不生孩子
[00:00:36 - 00:00:37] 得改养狗
[00:00:37 - 00:00:38] 然后的话
[00:00:38 - 00:00:38] 护理也是
[00:00:38 - 00:00:39] 护理的话
[00:00:39 - 00:00:42] 将来的需求量也会非常非常的大
[00:00:42 - 00:00:44] 因为随着我们这帮70后 80后
[00:00:44 - 00:00:47] 我们这些人多的这几年的人
[00:00:47 - 00:00:48] 随着我们老区
[00:00:48 - 00:00:50] 对于护理的需求一定是增长的
[00:00:50 - 00:00:51] 然后这是第二个
[00:00:51 - 00:00:52] 就是我学个技术
[00:00:52 - 00:00:53] 我学个保持毕业以后
[00:00:53 - 00:00:54] 就能直接干的技术
[00:00:54 - 00:00:55] 然后第三的话
[00:00:55 - 00:00:56] 就是如果说我要学理工科专业的话
[00:00:56 - 00:00:58] 那就得看你自己的学和能力了
