BV号：BV1Ky411v7bd
标题：BV1Ky411v7bd
链接：https://www.bilibili.com/video/BV1Ky411v7bd
识别语言：zh
语言置信度：1
分段数：75
生成时间：2026-04-03 08:25:10

[00:00:00 - 00:00:03] 所以说如果说你自己对于中国的专业不了解
[00:00:03 - 00:00:04] 你给孩子报支院的时候
[00:00:04 - 00:00:06] 你听到那个专业不了解
[00:00:06 - 00:00:09] 你自己一定要去把这个东西给他学起来
[00:00:09 - 00:00:09] 然后的话
[00:00:09 - 00:00:11] 我先给大家去一个一个说
[00:00:11 - 00:00:13] 各个专业在上大学的一些重要的专业课
[00:00:13 - 00:00:15] 以及考研的内容
[00:00:15 - 00:00:17] 这个正在上大一的家长
[00:00:17 - 00:00:18] 这一段时间一定要
[00:00:18 - 00:00:20] 这个一定要仔细看一下
[00:00:20 - 00:00:20] 来
[00:00:20 - 00:00:21] 我一个一个给大家说
[00:00:21 - 00:00:22] 首先第一个
[00:00:23 - 00:00:24] 哲学
[00:00:24 - 00:00:25] 简单给大家说一下
[00:00:25 - 00:00:27] 哲学这个专业在考研的时候的话
[00:00:27 - 00:00:28] 基本上就考两个部分
[00:00:28 - 00:00:31] 一个是所谓的中国哲学外国哲学
[00:00:31 - 00:00:33] 然后考研的时候的话
[00:00:33 - 00:00:34] 很可能中国哲学和外国哲学
[00:00:34 - 00:00:36] 它放在一起来考
[00:00:36 - 00:00:38] 就是一些哲学的一些基本的东西
[00:00:38 - 00:00:39] 然后的话
[00:00:39 - 00:00:41] 哲学下面又分很多专业
[00:00:41 - 00:00:42] 比如像宗教学
[00:00:42 - 00:00:43] 比如像伦理学
[00:00:43 - 00:00:45] 这都叫哲学
[00:00:45 - 00:00:47] 宗教学伦理学美学
[00:00:47 - 00:00:48] 这都叫哲学
[00:00:48 - 00:00:49] 然后的话
[00:00:49 - 00:00:50] 你具体考宗教学
[00:00:50 - 00:00:52] 第二门专业课会考宗教学
[00:00:52 - 00:00:55] 你考伦理学第二门专业课就考伦理学
[00:00:55 - 00:00:58] 你考中国哲学第二门课就考中国哲学
[00:00:58 - 00:01:00] 你考外国哲学,第二门课就考外国哲学
[00:01:00 - 00:01:03] 所以说的话呢,这是哲学上大学最重要的专业课
[00:01:03 - 00:01:05] 然后大家你注意看经济学
[00:01:05 - 00:01:10] 经济学不管你是经济学类,财政学类,金融学类,还是经济贸易类
[00:01:10 - 00:01:14] 有大家的小孩被录到了这些专业里边
[00:01:14 - 00:01:18] 不管是哪一个啊,大家注意不管是哪一个
[00:01:18 - 00:01:21] 你被录到经济学也好,你还是被录到财政学也好
[00:01:21 - 00:01:25] 你还是被录到金融学也好,你还是被录到国际贸易学也好
[00:01:25 - 00:01:28] 讨言的时候最重要的专业课是两门课
[00:01:28 - 00:01:29] 一门叫做宏观经济学
[00:01:29 - 00:01:30] 微观经济学
[00:01:31 - 00:01:33] 宏观微观宏微观经济学
[00:01:34 - 00:01:35] 各个高校用的教材
[00:01:35 - 00:01:36] 要么就是高红业主编的
[00:01:36 - 00:01:37] 宏微观经济学
[00:01:37 - 00:01:38] 要么就是曼坤主编的
[00:01:38 - 00:01:39] 宏微观经济学
[00:01:39 - 00:01:41] 你说的话你学经济学的话
[00:01:41 - 00:01:43] 最重要的专业课是宏微观经济学
[00:01:43 - 00:01:44] 然后法学
[00:01:44 - 00:01:45] 法学这个专业
[00:01:45 - 00:01:48] 它讨言一般成家考的是法学综合
[00:01:48 - 00:01:50] 就是我们上大学会学什么呢
[00:01:50 - 00:01:52] 刑法法理法学理论法治史
[00:01:53 - 00:01:54] 刑法宪法民法诉讼法
[00:01:54 - 00:01:55] 各种各样的法
[00:01:56 - 00:01:56] 然后的话
[00:01:56 - 00:01:58] 大多数人要考研的时候
[00:01:58 - 00:01:59] 会考一个法律综合
[00:01:59 - 00:02:00] 就是你上大学的
[00:02:00 - 00:02:02] 学的所有的法律专业课都会考
[00:02:02 - 00:02:03] 然后的话
[00:02:03 - 00:02:04] 你再考刑法的时候
[00:02:04 - 00:02:06] 再考一门刑法的专业课
[00:02:06 - 00:02:09] 就是法学综合是一定要考的
[00:02:09 - 00:02:11] 然后你要考刑法的研究生就再考刑法
[00:02:11 - 00:02:12] 你考民生法研究生
[00:02:12 - 00:02:13] 再考民生法
[00:02:13 - 00:02:14] 你考经济法研究生
[00:02:14 - 00:02:15] 再考经济法
