BV号：BV1kN4y197jp
标题：BV1kN4y197jp
链接：https://www.bilibili.com/video/BV1kN4y197jp
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 14:00:22

[00:00:00 - 00:00:03] 你在抱志愿的时候和未来所谓的选择方向的时候
[00:00:03 - 00:00:06] 我教大家四个字叫顺势而为
[00:00:06 - 00:00:08] 大家把这四个字打在公平上来
[00:00:08 - 00:00:11] 顺英的顺趋势
[00:00:11 - 00:00:12] 顺着孩子的学势
[00:00:12 - 00:00:14] 是顺势而为
[00:00:14 - 00:00:15] 顺势而为的话
[00:00:15 - 00:00:18] 我跟他说一下有三个顺势而为
[00:00:18 - 00:00:20] 第一个叫学科上的顺势而为
[00:00:20 - 00:00:22] 孩子数学物理化学哪科好
[00:00:22 - 00:00:23] 哪科好
[00:00:23 - 00:00:26] 你就给他抱一个这个专业上大学
[00:00:26 - 00:00:29] 主要学这个科目的专业
[00:00:29 - 00:00:33] 你说老师孩子可能数学不好物理不好化学好
[00:00:33 - 00:00:36] 那你就给他报上大学主要学化学的
[00:00:36 - 00:00:37] 这样一个专业
[00:00:37 - 00:00:42] 睡婴孩子的学科优势而为叫顺势而为
[00:00:42 - 00:00:46] 第二个顺势而为叫做睡婴孩子的孩子的性格优势而为
[00:00:46 - 00:00:50] 比如说有的孩子明显就是搞科研的料
[00:00:50 - 00:00:52] 有的孩子明显是要搞社交的料
[00:00:54 - 00:00:54] 对吧
[00:00:55 - 00:00:58] 那如果说这孩子既搞不了科研又搞不了社交
[00:00:58 - 00:01:02] 那想办法在提前批帮他把工作争取解决掉
[00:01:03 - 00:01:04] 知道吧
[00:01:04 - 00:01:05] 所以说的话
[00:01:05 - 00:01:08] 适应孩子的性格趋势而为
[00:01:08 - 00:01:09] 这第二个
[00:01:09 - 00:01:10] 顺势而为
[00:01:10 - 00:01:11] 第三个顺势而为的话
[00:01:11 - 00:01:14] 就是在你的能力和资源范围内
[00:01:14 - 00:01:15] 这各位家长
[00:01:15 - 00:01:16] 你的也好
[00:01:16 - 00:01:18] 或者你们家近亲
[00:01:18 - 00:01:20] 能够帮得到你的这个人
[00:01:20 - 00:01:23] 在哪个领域里边能够拉你一把
[00:01:23 - 00:01:25] 损资源而为
[00:01:25 - 00:01:28] 损资源资源的势而为
[00:01:28 - 00:01:29] 随着大家学会了
[00:01:29 - 00:01:32] 顺优势学科而为
[00:01:33 - 00:01:33] 顺
[00:01:33 - 00:01:36] 孩子个性性科而为
[00:01:37 - 00:01:39] 顺家里边资源
[00:01:39 - 00:01:40] 助力而为
