BV号：BV1LE411h7XV
标题：BV1LE411h7XV
链接：https://www.bilibili.com/video/BV1LE411h7XV
识别语言：zh
语言置信度：1
分段数：404
生成时间：2026-04-04 05:55:06

[00:00:02 - 00:00:05] 看起来是没魔灵了
[00:00:05 - 00:00:08] 你没病走两步还是怎么着
[00:00:08 - 00:00:11] 我们谈起来大概得有45米的高度
[00:00:11 - 00:00:12] 每天天天跳楼
[00:00:12 - 00:00:15] 我这个问题有点诡异
[00:00:15 - 00:00:17] 不管说大概有半年
[00:00:17 - 00:00:18] 你这半年那长方不少
[00:00:18 - 00:00:20] 欢迎任何人加入我们人家公司
[00:00:20 - 00:00:22] 给这个员工的待遇
[00:00:22 - 00:00:24] 是源源高于普通大学老师的
[00:00:24 - 00:00:39] 不能太像
[00:00:39 - 00:00:42] 大家好欢迎收看小型突鼻托口秀大开眼界
[00:00:42 - 00:00:44] 我是让学习变得更快乐的张雪峰老师
[00:00:44 - 00:00:48] 我们本期抢到的嘉宾依然是我们GS的花式篮球创始人
[00:00:48 - 00:00:49] 我们的王丁老师
[00:00:49 - 00:00:50] 王老师跟大家打个招呼
[00:00:50 - 00:00:52] Hello 大家好
[00:00:52 - 00:00:52] 王老师
[00:00:52 - 00:00:55] 我们上期聊了很多关于我们这个行业的话题
[00:00:55 - 00:00:57] 其实我很感兴趣的是
[00:00:57 - 00:00:59] 我们这个行业如果说一个队员干
[00:00:59 - 00:01:01] 他能干到多久
[00:01:02 - 00:01:04] 你看篮球队员是我推移的年龄
[00:01:04 - 00:01:07] 那花式表演的运动员他肯定
[00:01:08 - 00:01:09] 反正我不记得七老八十
[00:01:09 - 00:01:10] 应该是飞不下来了
[00:01:10 - 00:01:14] 我们队员基本上运动生涯
[00:01:14 - 00:01:16] 大概在四五年左右吧
[00:01:16 - 00:01:17] 就四五年
[00:01:17 - 00:01:21] 因为这个项目还跟别的项目不一样
[00:01:21 - 00:01:23] 它确实对于你的膝盖
[00:01:23 - 00:01:24] 对于你的身体
[00:01:24 - 00:01:27] 它这种伤害还是挺大的
[00:01:27 - 00:01:30] 而且有的人一旦受了伤之后
[00:01:30 - 00:01:32] 就不可能再回到了原来那种
[00:01:32 - 00:01:34] 就是很好的那个状态
[00:01:34 - 00:01:36] 在进入这个行业的时候
[00:01:36 - 00:01:37] 他可能都知道我的前辈
[00:01:37 - 00:01:40] 膝盖是过上九华野上坡是吧
[00:01:40 - 00:01:42] 那他为什么还
[00:01:42 - 00:01:44] 或者说是有什么样的
[00:01:44 - 00:01:47] 我刚才说45年
[00:01:47 - 00:01:50] 他其实是一个平均的这样的一个运动生命
[00:01:50 - 00:01:51] 对
[00:01:51 - 00:01:53] 就是有的人可能长一点
[00:01:53 - 00:01:54] 你看我们有一些队员
[00:01:55 - 00:01:56] 他是从大一来了
[00:01:56 - 00:01:59] 然后就加入我们团队
[00:01:59 - 00:02:01] 到大四毕业的时候就离开了
[00:02:01 - 00:02:05] 然后有的人是大四毕业之后继续留下来
[00:02:05 - 00:02:07] 来到我们团队继续跟着表演
[00:02:07 - 00:02:11] 或者是有一些就是他留下来演不了了
[00:02:11 - 00:02:13] 可能会做心目后的工作
[00:02:13 - 00:02:15] 但是就是平均下来吧
[00:02:15 - 00:02:17] 大概参与这个崩装后来
[00:02:17 - 00:02:19] 每个人的这种运动生涯
[00:02:19 - 00:02:20] 大概是在四五年左右
[00:02:20 - 00:02:22] 那你平时你们要这种行动的话
[00:02:22 - 00:02:24] 就像我所说
[00:02:24 - 00:02:25] 可能经常有这种意外
[00:02:25 - 00:02:26] 那肯定会经常受伤
[00:02:26 - 00:02:27] 是的
[00:02:27 - 00:02:29] 那你像你上过哪呢
[00:02:29 - 00:02:31] 我看你这看起来是没毛病
[00:02:31 - 00:02:32] 我看你来很健康
[00:02:32 - 00:02:35] 你没病走两步还是怎么了
[00:02:35 - 00:02:36] 走两步
[00:02:36 - 00:02:38] 没病走两步
[00:02:38 - 00:02:41] 我其实受伤还是比较严重的
[00:02:41 - 00:02:42] 严重
[00:02:42 - 00:02:45] 我们其实所有的队员在参与的过程当中
[00:02:45 - 00:02:48] 大大小小的伤基本上每个人都会有
[00:02:48 - 00:02:49] 然后我的伤
[00:02:49 - 00:02:51] 像像像像如果这种过程块的话
[00:02:51 - 00:02:52] 最容易伤到哪
[00:02:52 - 00:02:54] 最容易伤到的是膝盖和脚踝
[00:02:54 - 00:02:56] 还有腰伤
[00:02:56 - 00:02:56] 为什么
[00:02:56 - 00:02:59] 因为其实最大的冲击力来自于
[00:02:59 - 00:03:03] 蹦跷反腰力给你的这一下
[00:03:03 - 00:03:04] 能不能驾驭它
[00:03:04 - 00:03:07] 好比我们人把它踩下去
[00:03:07 - 00:03:08] 然后它在给你弹起来的时候
[00:03:08 - 00:03:10] 你的膝蓋
[00:03:10 - 00:03:11] 你的各个关节
[00:03:11 - 00:03:13] 你要支撑住
[00:03:13 - 00:03:14] 它给你的反弹力
[00:03:14 - 00:03:17] 然后我的右边的十字刃
[00:03:17 - 00:03:18] 那是撕裂的
[00:03:18 - 00:03:22] 然后还有就是我的脚的这两边的骨头
[00:03:22 - 00:03:23] 脚踝的两边的骨头
[00:03:23 - 00:03:26] 是在一次扣篮落地
[00:03:26 - 00:03:28] 落地的时候
[00:03:28 - 00:03:30] 然后踩到了垫子
[00:03:30 - 00:03:32] 下面保护地儿的边上
[00:03:32 - 00:03:35] 然后咔咔两下
[00:03:35 - 00:03:35] 也就是说
[00:03:35 - 00:03:38] 崴了用的就是崴了
[00:03:38 - 00:03:40] 但是它区别于你平时打篮球
[00:03:40 - 00:03:42] 打篮球的时候崴脚的可能是高度很低
[00:03:42 - 00:03:46] 但是我们这个弹起来大概得有四五米的这样的一个高度
[00:03:46 - 00:03:50] 四五米高算算大概将近就是两层楼
[00:03:50 - 00:03:52] 对 基本就是从二楼跳下来的这个高度
[00:03:52 - 00:03:54] 就是每一次你坐这楼
[00:03:54 - 00:03:55] 就是从我跳二楼
[00:03:55 - 00:03:56] 就每天天天跳楼
[00:03:56 - 00:03:59] 就是天天跳楼落到垫子上还好
[00:03:59 - 00:04:00] 但是如果落到地上的话
[00:04:00 - 00:04:02] 其实对你的这个
[00:04:02 - 00:04:04] 就是身体伤害还是挺大的
[00:04:04 - 00:04:06] 然后我就是再一次落地的时候
[00:04:06 - 00:04:07] 然后两边
[00:04:07 - 00:04:09] 然后一边翻了一下
[00:04:09 - 00:04:11] 然后就顾折了
[00:04:11 - 00:04:13] 猪拐主了大概半年吧
[00:04:13 - 00:04:14] 顾着半年
[00:04:14 - 00:04:16] 我的天哪
[00:04:16 - 00:04:17] 那你的半年那掌放不少
