BV号：BV1J34112759
标题：BV1J34112759
链接：https://www.bilibili.com/video/BV1J34112759
识别语言：zh
语言置信度：1
分段数：91
生成时间：2026-04-03 22:26:19

[00:00:00 - 00:00:02] 怎样才能像雪锋老师一样能说呢
[00:00:02 - 00:00:03] 大家好
[00:00:03 - 00:00:05] 我上学习变得更快乐的张雪锋老师
[00:00:05 - 00:00:06] 经常有同学在后台私信我说
[00:00:06 - 00:00:08] 张老师你真的不是得名社的吗
[00:00:08 - 00:00:11] 我怎么样才能像你一样特别的能说呢
[00:00:11 - 00:00:13] 你看我平时在人稍微多一点的地方
[00:00:13 - 00:00:14] 像什么班机演讲啊
[00:00:14 - 00:00:16] 这我一说说话就容易胆怯
[00:00:16 - 00:00:17] 容易忘了词
[00:00:17 - 00:00:20] 其实我觉得这种现象
[00:00:20 - 00:00:21] 不是你一个人的问题
[00:00:21 - 00:00:24] 如果说大家你平时生活当中有这种
[00:00:24 - 00:00:26] 在人前说话容易胆怯的话
[00:00:26 - 00:00:28] 那你就在底下扣个一
[00:00:28 - 00:00:30] 那怎么样才能提升自己的演讲能力呢?
[00:00:30 - 00:00:32] 我呢跟大家说啊
[00:00:32 - 00:00:32] 主要有两点
[00:00:32 - 00:00:33] 首先第一呢
[00:00:33 - 00:00:35] 这个演讲啊
[00:00:35 - 00:00:37] 是为了输出自己的观点和想法
[00:00:37 - 00:00:39] 所以说你必须得有内容
[00:00:39 - 00:00:41] 才能去输出给别人
[00:00:41 - 00:00:42] 那你怎么获得内容呢?
[00:00:42 - 00:00:44] 再通过读一些书就比较好
[00:00:44 - 00:00:46] 那你比如说像什么人文历史的啊
[00:00:46 - 00:00:47] 政治经济啊
[00:00:47 - 00:00:48] 自然科学啊
[00:00:48 - 00:00:50] 并有一些节奏的呢
[00:00:50 - 00:00:51] 去消化他们
[00:00:51 - 00:00:52] 让书里边的东西啊
[00:00:52 - 00:00:53] 变成自己的东西
[00:00:53 - 00:00:54] 那我现在呢
[00:00:54 - 00:00:56] 也是在忙都保持着
[00:00:56 - 00:00:58] 每周读一本书的习惯
[00:00:58 - 00:00:59] 保持知识的书
[00:00:59 - 00:01:01] 才能够更好的持续输出
[00:01:01 - 00:01:05] 再有就是要克服胆怯的这样的一个情况
[00:01:05 - 00:01:07] 那肯定是要多跟人要打交道
[00:01:07 - 00:01:10] 那大学生朋友可以去多参加一些坚持
[00:01:10 - 00:01:12] 那你会接触到更多的人
[00:01:12 - 00:01:13] 在实践当中
[00:01:13 - 00:01:16] 来断练自己的口才跟各方面的能力
[00:01:16 - 00:01:16] 那这里的坚持呢
[00:01:16 - 00:01:18] 不是说你去刷摄盘子呀
[00:01:18 - 00:01:20] 或者去服装厂里边去当采访
[00:01:20 - 00:01:21] 那剪线头啊
[00:01:21 - 00:01:23] 那这些重复性的工作啊
[00:01:23 - 00:01:23] 说白来
[00:01:23 - 00:01:25] 大家可能初中的时候呢
[00:01:25 - 00:01:26] 就可以轻松的胜任
[00:01:26 - 00:01:27] 那个人能力呢
[00:01:27 - 00:01:29] 你也得不到锻炼
[00:01:29 - 00:01:31] 老师推荐大家去做一些跟你的专业
[00:01:31 - 00:01:34] 或者是跟你的个人职业规划相关的工作
[00:01:34 - 00:01:36] 比如说一些像视觉设计类
[00:01:36 - 00:01:38] 像数字影师类
[00:01:38 - 00:01:40] 那么包括像现在电商短视频
[00:01:40 - 00:01:41] 现在需求了这么大
[00:01:41 - 00:01:44] 那大量的商品图需要人家去做
[00:01:44 - 00:01:47] 所以说把大把的视频也需要我们前期的脚本
[00:01:47 - 00:01:49] 后期的处理
[00:01:49 - 00:01:53] 那这些兼职除了帮助你能够克服沟通的膽怯
[00:01:53 - 00:01:56] 更是让你提前来了解相关的行业
[00:01:56 - 00:01:59] 为将来社会生活打好基础
[00:01:59 - 00:02:00] 那还有一些同学呢
[00:02:00 - 00:02:02] 可能暂时没有呼叫口
[00:02:02 - 00:02:04] 未来的就业的方向
[00:02:04 - 00:02:05] 那本专业呢
[00:02:05 - 00:02:06] 也不太适合做坚持
[00:02:06 - 00:02:08] 那这就可以选择一些
[00:02:08 - 00:02:09] 能够发挥自己
[00:02:09 - 00:02:10] 主观能动性的工作了
[00:02:10 - 00:02:11] 那么我们这边呢
[00:02:11 - 00:02:13] 今年也是推出了
[00:02:13 - 00:02:15] 面向大学生朋友们的
[00:02:15 - 00:02:17] 我们的研途精英计划
[00:02:17 - 00:02:19] 研途校园精英计划呢
[00:02:19 - 00:02:21] 是给大学生朋友们实践的平台
[00:02:21 - 00:02:23] 成为研途的品牌
[00:02:23 - 00:02:25] 在校园的主导人
[00:02:25 - 00:02:26] 那在这里呢
[00:02:26 - 00:02:29] 将会培养你的互联网营销思维
[00:02:29 - 00:02:33] 对应也会有丰厚的奖励跟有趣的活动
[00:02:33 - 00:02:35] 比如之前老师说的每周一本书
[00:02:35 - 00:02:37] 我就会整理成书单
[00:02:37 - 00:02:41] 还会赠送一部分给优秀的我们的校园的精英
[00:02:41 - 00:02:43] 点击下方的链接
[00:02:43 - 00:02:46] 或者是扫一扫二维码就可以报名了
[00:02:46 - 00:02:47] 我在沿途等你
[00:02:47 - 00:02:50] 不要下次一定说的就是你
