BV号：BV1zi4y1j7Ut
标题：BV1zi4y1j7Ut
链接：https://www.bilibili.com/video/BV1zi4y1j7Ut
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-04 01:18:57

[00:00:00 - 00:00:01] 大家在报口专业的时候会发现
[00:00:01 - 00:00:03] 还有两个专业的名字叫的也很像
[00:00:03 - 00:00:04] 一个叫做环境工程
[00:00:04 - 00:00:05] 一个叫做环境科学
[00:00:05 - 00:00:07] 都是以环境开头的
[00:00:07 - 00:00:10] 这个工程和科学它到底有什么差别呢
[00:00:10 - 00:00:11] 注意哈
[00:00:11 - 00:00:16] 环境工程专业实际上是用我们所学的知识去解决环境问题的
[00:00:16 - 00:00:18] 比如像大气污染啊
[00:00:18 - 00:00:19] 水污染啊
[00:00:19 - 00:00:20] 造成污染啊
[00:00:20 - 00:00:23] 我们要用我们所学的知识去解决这些问题
[00:00:23 - 00:00:25] 而环境科学呢
[00:00:25 - 00:00:28] 比较偏向于向环境评价环境评估
[00:00:28 - 00:00:30] 比如说我现在我修建一个高铁
[00:00:30 - 00:00:32] 比如说我在一个城市要建一个工业员
[00:00:32 - 00:00:34] 那么我建这个高铁也好
[00:00:34 - 00:00:35] 或者我建这个工业员好
[00:00:35 - 00:00:38] 会对周边的环境造成怎样的影响
[00:00:38 - 00:00:40] 这个影响是比较小的
[00:00:40 - 00:00:42] 还是说会比较大
[00:00:42 - 00:00:44] 是可逆的还是不可逆的
[00:00:44 - 00:00:46] 那么这个叫做环境评价
[00:00:46 - 00:00:48] 也叫做环境科学
[00:00:48 - 00:00:50] 如果说我现在要修建那个高铁
[00:00:50 - 00:00:51] 或者说我先修建这个工业员
[00:00:51 - 00:00:53] 对环境影响特别大
[00:00:53 - 00:00:54] 通不过环瓶的话
[00:00:54 - 00:00:55] 那不好意思
[00:00:55 - 00:00:56] 你这个高铁就修不了
[00:00:56 - 00:00:58] 你这个工业员也就修不了
[00:00:58 - 00:00:59] 所以说大家你发现了吗
[00:00:59 - 00:01:03] 一个是要评估一下我干的这个事对环境的影响
[00:01:03 - 00:01:07] 另外一个是要用我所学的知识去解决环境这方面的问题
[00:01:07 - 00:01:09] 差别也是很大的
