BV号：BV1Es411h7Y6
标题：BV1Es411h7Y6
链接：https://www.bilibili.com/video/BV1Es411h7Y6
识别语言：zh
语言置信度：1
分段数：179
生成时间：2026-04-04 13:38:47

[00:00:05 - 00:00:06] 啊 搞啥呀
[00:00:06 - 00:00:10] 下
[00:00:10 - 00:00:12] 好 欢迎大家来到张老师课堂
[00:00:12 - 00:00:14] 我是张雪峰老师
[00:00:14 - 00:00:16] 第二点 就是原来我在讲课的时候呢
[00:00:16 - 00:00:18] 大家基本上还把我的课当成一个课曲
[00:00:18 - 00:00:21] 但是现在呢 很多人把我的课当成笑课曲
[00:00:21 - 00:00:22] 然后原来我在讲课的时候
[00:00:22 - 00:00:24] 大家都还拿笔点儿记笔记
[00:00:24 - 00:00:26] 但是现在呢 我就发现有的人呢
[00:00:26 - 00:00:27] 已经不拿笔了 就拿手机
[00:00:27 - 00:00:29] 好像看他这一个 啊啦
[00:00:29 - 00:00:30] 这个我的视线范围之内的话
[00:00:30 - 00:00:32] 能看到好几个手机点儿对着我
[00:00:32 - 00:00:34] 这个我给大家求请求
[00:00:34 - 00:00:36] 给大家要一个小小的请求
[00:00:36 - 00:00:39] 各位同学你们在听我课的时候
[00:00:39 - 00:00:40] 或者说听我讲座的时候
[00:00:40 - 00:00:41] 尽量不要拿着个手机来录像
[00:00:41 - 00:00:42] 拍照是可以的
[00:00:42 - 00:00:43] 知道吧
[00:00:43 - 00:00:44] 然后的话录像这个事咱们就错了
[00:00:44 - 00:00:45] 好吗
[00:00:45 - 00:00:47] 因为你把这个视频发到网上去以后
[00:00:47 - 00:00:47] 真的容易过了
[00:00:47 - 00:00:48] 会一万点伤害
[00:00:48 - 00:00:49] 知道吗
[00:00:49 - 00:00:52] 这个真的我是一个很脆弱的男人
[00:00:52 - 00:00:53] 你们不要伤害我
[00:00:53 - 00:00:53] 知道吗
[00:00:53 - 00:00:56] 真的同学你要知道就是怎么说呢
[00:00:56 - 00:00:58] 就是成为一个名人以后
[00:00:58 - 00:00:58] 听
[00:00:58 - 00:00:59] 听
[00:00:59 - 00:01:00] 对了
[00:01:00 - 00:01:01] 我说啊
[00:01:01 - 00:01:03] 这个还是说说说
[00:01:03 - 00:01:05] 成为一个网红以后
[00:01:05 - 00:01:08] 你们知道这个事儿给我带来最大的影响是什么吗
[00:01:08 - 00:01:10] 就是你不能做你自己了
[00:01:10 - 00:01:12] 就是很多你想说的不能说了
[00:01:12 - 00:01:13] 你想做的不能做了
[00:01:13 - 00:01:16] 因为你会发现你的粉丝当中就一大帮人干嘛
[00:01:16 - 00:01:17] 他们直接喷着你
[00:01:17 - 00:01:18] 你看他了吧
[00:01:18 - 00:01:19] 那帮人喷着他们干啥都喷
[00:01:19 - 00:01:20] 反正你干啥都是不对的
[00:01:20 - 00:01:21] 知道吧 你放个屁
[00:01:21 - 00:01:23] 你做个老师都不能放屁呢
[00:01:23 - 00:01:25] 你也没放过屁是吗
[00:01:25 - 00:01:26] 然后的话
[00:01:26 - 00:01:27] 因为没办法
[00:01:27 - 00:01:28] 因为关注你的人实在是太多了
[00:01:28 - 00:01:29] 知道吧
[00:01:29 - 00:01:31] 你比如说你看高校的学生
[00:01:31 - 00:01:31] 你知道吧
[00:01:31 - 00:01:34] 你比如说你看高校的学生在关注我
[00:01:34 - 00:01:35] 现在我就在那儿逛
[00:01:35 - 00:01:36] 我都不敢到大学学院去逛
[00:01:36 - 00:01:37] 你到大学学院去逛
[00:01:37 - 00:01:38] 哎呀
[00:01:38 - 00:01:39] 都是这个德性
[00:01:39 - 00:01:40] 然后的话
[00:01:40 - 00:01:41] 包括说
[00:01:41 - 00:01:42] 学生在关注我
[00:01:42 - 00:01:44] 高校的老师也在关注我
[00:01:44 - 00:01:45] 然后高校本身也在关注我
[00:01:45 - 00:01:48] 然后的话现在很多娱乐传人也在关注我
[00:01:48 - 00:01:48] 真的
[00:01:48 - 00:01:50] 很多学生在关注我的时候
[00:01:50 - 00:01:51] 把我跟宋小宝生在那里
[00:01:53 - 00:01:56] 我觉得我最近妈长得比她白吧
[00:01:56 - 00:01:58] 你这肯定不是通过忽色来分子的对吧
[00:01:58 - 00:01:59] 然后的话呢
[00:01:59 - 00:02:00] 很多人还问我说
[00:02:00 - 00:02:02] 张老师你最近有没有往娱乐圈发展的计划
[00:02:03 - 00:02:05] 说实话 发展的计划倒是没有
[00:02:05 - 00:02:07] 但是最近能一直在娱乐圈周围游走
[00:02:07 - 00:02:08] 对吧
[00:02:08 - 00:02:08] 这个
[00:02:08 - 00:02:09] 比如说大家应该都知道
[00:02:09 - 00:02:11] 最近一直在参与录一个节目
[00:02:11 - 00:02:11] 对
[00:02:11 - 00:02:13] 就是入那个火星情报局
[00:02:13 - 00:02:13] 然后的话
[00:02:13 - 00:02:14] 说实话同学
[00:02:14 - 00:02:14] 原来吧
[00:02:14 - 00:02:17] 我是觉得我是作为教育机的一股清流
[00:02:18 - 00:02:19] 能够去进化一下这个娱乐圈
[00:02:20 - 00:02:21] 听说归圈很乱的
[00:02:21 - 00:02:22] 对不对
[00:02:22 - 00:02:23] 后来我到那个圈儿我发现
[00:02:23 - 00:02:25] 那我不会他们待会就不拓了
[00:02:25 - 00:02:26] 知道吧
[00:02:26 - 00:02:27] 真的太无了
[00:02:27 - 00:02:28] 知道吧
[00:02:28 - 00:02:30] 真的 我觉得我就是个老司机了
[00:02:30 - 00:02:32] 我后来发现跟他们比 我这太棒了
[00:02:32 - 00:02:33] 知道吗
[00:02:33 - 00:02:34] 那人家都是奥迪
[00:02:34 - 00:02:35] 我他们这就是雅迪
[00:02:35 - 00:02:36] 你知道吧
[00:02:36 - 00:02:37] 真的
[00:02:37 - 00:02:38] 所以东俊你要知道就是
[00:02:38 - 00:02:39] 作为一个所谓的这么毛毛以后
[00:02:39 - 00:02:40] 你说的话
[00:02:40 - 00:02:41] 全都会被碰到毛毛
[00:02:41 - 00:02:42] 然后的话
[00:02:42 - 00:02:43] 全都会无限放大
[00:02:43 - 00:02:44] 这一放大不要紧
[00:02:44 - 00:02:45] 就开始有人在什么
[00:02:45 - 00:02:46] 鸡蛋里边挑食后
[00:02:46 - 00:02:47] 知道吧
[00:02:47 - 00:02:48] 你比如说当时那个
[00:02:48 - 00:02:50] 当时录那个王柏强
[00:02:50 - 00:02:51] 那个离红那个视频
[00:02:51 - 00:02:53] 其实我个人觉得
[00:02:53 - 00:02:54] 我当时我没讲什么呀
[00:02:54 - 00:02:55] 对吧
[00:02:55 - 00:02:56] 我讲的都比较正常了
[00:02:56 - 00:02:57] 我个人就我觉得没说什么
[00:02:57 - 00:02:58] 知道吧
[00:02:58 - 00:02:59] 但是那个视频活得一大幅度
[00:02:59 - 00:03:00] 我到什么程度
[00:03:00 - 00:03:02] 你们能想象到当时在那个阶段
[00:03:02 - 00:03:04] 在王某乘的百度贴罢罗里面讨论的都是我的事
[00:03:04 - 00:03:05] 对吧
[00:03:06 - 00:03:08] 现在受宠过的情况就是这样
[00:03:08 - 00:03:08] 你知道吧
[00:03:08 - 00:03:09] 然后的话呢
[00:03:09 - 00:03:10] 结了我没讲什么
[00:03:10 - 00:03:11] 知道吧
[00:03:11 - 00:03:12] 就说当时我说的这样一句话
[00:03:12 - 00:03:14] 我不知道看过那个视频里面大家记不记得
[00:03:14 - 00:03:15] 我当时说过这样一句话
[00:03:15 - 00:03:16] 我大家你们一料记住
[00:03:16 - 00:03:18] 中国人也收过这样一句话
[00:03:18 - 00:03:20] 说人一料学会批评你自己批评
[00:03:20 - 00:03:21] 我说从今天您记住
[00:03:21 - 00:03:23] 当你遇到一个比较恶心的结果的时候
[00:03:23 - 00:03:26] 哪怕99%都是别人的错
[00:03:26 - 00:03:28] 你要学会反正您的百分之一的错
[00:03:28 - 00:03:29] 当时我说这句话吧
[00:03:29 - 00:03:30] 你们觉得有毛病吗
[00:03:31 - 00:03:32] 我觉得没毛病吧 对吧
[00:03:32 - 00:03:34] 我觉得还是个正能量啊
[00:03:34 - 00:03:35] 为什么呀
[00:03:35 - 00:03:36] 因为你们发现他们中国
[00:03:36 - 00:03:37] 在这个社会上你们发现
[00:03:37 - 00:03:39] 当有的人遇到比较恶心的结果
[00:03:39 - 00:03:40] 都什么样的态度啊
[00:03:40 - 00:03:42] 都怪你 都怪你 都怪你 是吧
[00:03:42 - 00:03:44] 都他们怪别人就不怪你吗
[00:03:44 - 00:03:46] 你一个八点排不上那个道理
[00:03:46 - 00:03:47] 你不懂吗 对不对
[00:03:47 - 00:03:48] 我说你反思一下自己
[00:03:48 - 00:03:49] 结果这句话说出几后
[00:03:49 - 00:03:51] 就引起了学生大波
[00:03:51 - 00:03:52] 你以为说当初就我的人
[00:03:52 - 00:03:53] 在网上给我发个个私信
[00:03:53 - 00:03:54] 跟我说的这样一句话
[00:03:54 - 00:03:56] 张老师 你说让我往前反思自己
[00:03:56 - 00:03:59] 拿到馬爾倫不應該都算自己嗎
[00:03:59 - 00:04:00] 你他們瞎是嗎
[00:04:00 - 00:04:01] 那我說那99%都別人的錯
[00:04:01 - 00:04:03] 我給誰說的
[00:04:03 - 00:04:04] 你就沒看見退主話對吧
[00:04:04 - 00:04:06] 然後還有人給我發這個微博私信
[00:04:06 - 00:04:07] 給我發什麼呢
[00:04:07 - 00:04:07] 他說張老師
[00:04:07 - 00:04:09] 你在大學生裡面這麼講客
[00:04:09 - 00:04:10] 你這不是讓大學生
[00:04:10 - 00:04:12] 見了這個會後都粗貴嗎
[00:04:12 - 00:04:14] 我有這個意思嗎
[00:04:14 - 00:04:16] 但是你自己理解的好吧
[00:04:16 - 00:04:17] 那我就站在這講客
[00:04:17 - 00:04:18] 你非得說我在勾引你呢
[00:04:18 - 00:04:19] 怪我了
[00:04:19 - 00:04:20] 對不對
