BV号：BV1ex411v71V
标题：BV1ex411v71V
链接：https://www.bilibili.com/video/BV1ex411v71V
识别语言：zh
语言置信度：1
分段数：97
生成时间：2026-04-04 12:58:07

[00:00:05 - 00:00:06] 啊,干啥呀?
[00:00:06 - 00:00:10] 上!
[00:00:10 - 00:00:12] 好,欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:15 - 00:00:17] 给大家说一下考研毕上的三个网站
[00:00:17 - 00:00:19] 那三个网站,您的各位同学
[00:00:19 - 00:00:19] 第一个网站
[00:00:19 - 00:00:20] 我可以向上说
[00:00:20 - 00:00:22] 如果说你们考研不上这个网站的话
[00:00:22 - 00:00:24] 你就考不上研究生
[00:00:24 - 00:00:26] 因为你得在这个网站报名
[00:00:26 - 00:00:28] 这个,知道那个网站吗?
[00:00:28 - 00:00:29] 叫做研招网
[00:00:29 - 00:00:32] 叫中国研究生招生信息网
[00:00:32 - 00:00:33] 简称叫做研招网
[00:00:34 - 00:00:35] 啊,研招网
[00:00:35 - 00:00:37] 这个有黑板的好处就是
[00:00:37 - 00:00:38] 我可以把它写下来
[00:00:38 - 00:00:39] 你可以直接抄就可以了
[00:00:39 - 00:00:40] 不用写错别字对吧
[00:00:40 - 00:00:41] 我上次在河北讲课
[00:00:41 - 00:00:43] 一个同学我说通知记录严昭啊
[00:00:43 - 00:00:44] 一个同学想都没想
[00:00:44 - 00:00:45] 验照我
[00:00:48 - 00:00:50] 那是个不健康的网站
[00:00:50 - 00:00:50] 知道吗
[00:00:50 - 00:00:53] 半夜没人在上对不对
[00:00:53 - 00:00:55] 多喝点营养快线补充下几个样子
[00:00:55 - 00:00:56] 别让我
[00:00:56 - 00:00:57] 大家注意一下
[00:00:57 - 00:00:58] 这个网站呢
[00:00:58 - 00:00:59] 他有以下两个非常壮作作用
[00:00:59 - 00:01:00] 第一呢
[00:01:00 - 00:01:02] 他说我们考研报名的网站
[00:01:02 - 00:01:03] 大家知道我们考研什么时候报名吧
[00:01:03 - 00:01:04] 什么时候报名
[00:01:04 - 00:01:05] 每年10月份
[00:01:05 - 00:01:08] 每年10月10号到10月31号
[00:01:08 - 00:01:10] 上午九点到晚上二十二点七点这个阶段
[00:01:10 - 00:01:12] 大家趁这个网站来进行报名
[00:01:12 - 00:01:13] 然后问大家一个问题啊
[00:01:13 - 00:01:14] 你们知道
[00:01:14 - 00:01:16] 10号报名和31号报名有的没有差别
[00:01:16 - 00:01:17] 也没有差别
[00:01:17 - 00:01:18] 大家注意啊
[00:01:18 - 00:01:19] 有的严重的差别知道吗
[00:01:19 - 00:01:22] 能找报名千万不要晚报名
[00:01:22 - 00:01:23] 能吃号报千万不要31号再报
[00:01:23 - 00:01:24] 为什么呀
[00:01:24 - 00:01:25] 因为你到31号报名的话
[00:01:25 - 00:01:27] 容易造成两个非常严重的后果
[00:01:27 - 00:01:29] 第一同学你他们搞不好就忘了
[00:01:29 - 00:01:30] 知道吗
[00:01:30 - 00:01:31] 每年都有这样的人知道吧
[00:01:31 - 00:01:32] 自己夫妻都特别好
[00:01:32 - 00:01:33] 没报名
[00:01:33 - 00:01:34] 知道吧
[00:01:34 - 00:01:35] 每天都有这样的人啊
[00:01:35 - 00:01:37] 不过这样的人在那么湖南不是特别的多
[00:01:37 - 00:01:39] 我在我上学的地方B9国就河南那边B9国
[00:01:39 - 00:01:41] 因为河南那边同学B9爱学习
[00:01:41 - 00:01:42] 爱学习到什么程度
[00:01:42 - 00:01:43] 妄乎所已
[00:01:43 - 00:01:43] 知道吧
[00:01:43 - 00:01:45] 你像我们学校就很支持大家考研
[00:01:45 - 00:01:47] 我本科正大的大家都知道
[00:01:47 - 00:01:49] 我不知道你们学校知不知道你们考研
[00:01:49 - 00:01:50] 我们学校很支持考研的
[00:01:50 - 00:01:51] 支持到什么程度呢
[00:01:51 - 00:01:53] 我们学校有考研自习室
[00:01:53 - 00:01:55] 大老师这啥啥我们学校也有啊
[00:01:55 - 00:01:57] 我们学校三栋楼是考研自习室
[00:01:57 - 00:01:58] 就三栋教学楼
[00:01:58 - 00:02:00] 所有的教学都说考研自习室
[00:02:00 - 00:02:03] 而且我们学校的考研自习室可以上通修自习
[00:02:03 - 00:02:04] 就是上一宿都没人管你
[00:02:04 - 00:02:07] 知道吧?東天有人說那戲夏天有人看大門條件特別的好
[00:02:07 - 00:02:08] 很多人就住在這兒就要說這兒去
[00:02:08 - 00:02:10] 知道吧?白天在這兒去
[00:02:10 - 00:02:11] 晚天在這兒住
[00:02:11 - 00:02:13] 結果我們夫妻那一年11月份有一個大哥
[00:02:13 - 00:02:14] 就自己一個人走進了教室
[00:02:14 - 00:02:15] 一邊哭一邊走進了教室
[00:02:15 - 00:02:16] 知道吧?
[00:02:16 - 00:02:19] 走到自己的座位從都那邊掏出了一個包袱
[00:02:19 - 00:02:20] 見過嗎?就一個大花布
[00:02:20 - 00:02:21] 知道吧?
[00:02:21 - 00:02:22] 然後把書放在上面
[00:02:22 - 00:02:23] 這幾個哥、那幾個哥的
[00:02:23 - 00:02:24] 哥走了不考了
[00:02:24 - 00:02:24] 知道吧?
[00:02:24 - 00:02:25] 我還傻了
[00:02:25 - 00:02:26] 我就問人家
[00:02:26 - 00:02:27] 我說大哥你咋了?不考了
[00:02:27 - 00:02:28] 為啥呀?
[00:02:28 - 00:02:29] 沒包名
[00:02:29 - 00:02:30] 千萬別忘了
