BV号：BV1Wh411v7q3
标题：BV1Wh411v7q3
链接：https://www.bilibili.com/video/BV1Wh411v7q3
识别语言：zh
语言置信度：1
分段数：34
生成时间：2026-04-04 00:07:49

[00:00:00 - 00:00:02] 你說我為什麼原來我做考研的人
[00:00:02 - 00:00:04] 我為什麼說要做高考專業前報
[00:00:04 - 00:00:08] 首先第一我做考研我從07年開始做到現在我做了14年
[00:00:08 - 00:00:10] 我這14年期間我幾乎只幹了一個事
[00:00:10 - 00:00:11] 就是全國各個大學考
[00:00:11 - 00:00:14] 中國的大學我基本上去過80%去過94%
[00:00:14 - 00:00:16] 我每次到那個大學學院講做的時候
[00:00:16 - 00:00:19] 大家就要知道你當老師你站在這個台上就知道了
[00:00:19 - 00:00:21] 底下每一個人在大馬國在台上看著星星出去
[00:00:21 - 00:00:23] 然後我到那個大學裏邊我就發現
[00:00:23 - 00:00:24] 有的學校的學風非常好
[00:00:24 - 00:00:26] 你講什麼東西它都在記筆記
[00:00:26 - 00:00:28] 有的學校的學風就很一般
[00:00:28 - 00:00:30] 你把你讲什么东西,跟学生在那,
[00:00:31 - 00:00:33] 听讲过,连个笔都不带,连个本都不带,
[00:00:34 - 00:00:37] 学封完全不一样,考研率完全不一样,
[00:00:38 - 00:00:41] 这个学校对于学生的管理和培养完全不一样,
[00:00:41 - 00:00:43] 所以说我就觉得有大学就不好,
[00:00:43 - 00:00:45] 有大学就不好,这个原来我是知道的,
[00:00:46 - 00:00:48] 好,这个原来我是知道的,
[00:00:48 - 00:00:51] 但是后来我在一看科普省的高考证人填报,我的天啊,
[00:00:52 - 00:00:54] 很多很多我根本看不上的学校,
[00:00:54 - 00:00:56] 它居然分很高,我很差异,
[00:00:56 - 00:01:00] 很多是叫很好很好,但是這個分很低,我也很差異
[00:01:00 - 00:01:03] 再加上現在新高考改革,改成這個樣子
[00:01:03 - 00:01:08] 新高考改革,改成這個樣子,所以說我覺得要出來幹點什麼
[00:01:08 - 00:01:10] 我這個人做教育就是這樣
[00:01:10 - 00:01:14] 大家可能在網上也聽過我的講座,也聽過我的視頻,我這人講話很實在
[00:01:14 - 00:01:20] 你們看著不明,我歐不實在的話,真的就,我就不知道你們該怎麼辦
[00:01:20 - 00:01:22] 可能我把我自己排得比較高啊
[00:01:22 - 00:01:25] 所以说的话我真的希望能够帮助到大家
[00:01:25 - 00:01:28] 所以说的话我现在也开始做新高滑作用填鲍
[00:01:28 - 00:01:30] 所以说希望我们有机会能帮助到大家
[00:01:30 - 00:01:30] 好吧
