BV号：BV1qx4y1b7bP
标题：BV1qx4y1b7bP
链接：https://www.bilibili.com/video/BV1qx4y1b7bP
识别语言：zh
语言置信度：1
分段数：66
生成时间：2026-04-03 10:14:34

[00:00:00 - 00:00:02] 大家都知道張老師對航空航天類專業的
[00:00:02 - 00:00:03] 一直是比較看好的
[00:00:03 - 00:00:05] 來回也都推薦了很多次
[00:00:05 - 00:00:08] 那作為支撐未來重點戰略行業
[00:00:08 - 00:00:10] 培養戰略儲備人才的高端專業
[00:00:10 - 00:00:13] 那咱們國家有航空航天類專業的高校
[00:00:13 - 00:00:14] 其實並不是很多
[00:00:14 - 00:00:16] 而且你要說真正厲害的
[00:00:16 - 00:00:19] 那還得是老牌的航空航天類高校
[00:00:19 - 00:00:21] 比如像北航西宮大河南航
[00:00:21 - 00:00:23] 這三所學校特種領域不同
[00:00:23 - 00:00:24] 但都非常的有
[00:00:24 - 00:00:27] 那咱們今天就講講南京航空航天大學的
[00:00:27 - 00:00:29] 航空航天類專業
[00:00:29 - 00:00:32] 南韩的航空航天类卓也确实是它的一张王牌啊
[00:00:32 - 00:00:34] 不光有底韵在业内呢也很有地位
[00:00:34 - 00:00:37] 这个大类呢现在是一届招900人左右
[00:00:37 - 00:00:40] 为了培养航空航天类方面的人才
[00:00:40 - 00:00:44] 学校还专门成立了一个荣誉学院叫做长空学院
[00:00:44 - 00:00:46] 这个学院可不一般啊
[00:00:46 - 00:00:49] 它能给同学们提供超书院制的培养环境
[00:00:49 - 00:00:51] 还会时不时的搞一些活动
[00:00:51 - 00:00:56] 请到总师啊院士啊书法家等等这样的大师跟大家交流
[00:00:56 - 00:00:57] 给这些学生配的头饰
[00:00:57 - 00:00:59] 不仅包括校内外的老师
[00:00:59 - 00:01:03] 还有来自中国商费这种知名企业的行业大咖
[00:01:03 - 00:01:07] 为的就是让大家跟未来的航空航天时也无分对接
[00:01:07 - 00:01:07] 前两年啊
[00:01:07 - 00:01:12] 南航在江苏有一个执招专业叫做航空航天类长空创新班
[00:01:12 - 00:01:16] 就是这个王牌学院当中的顶级的陪游班
[00:01:16 - 00:01:17] 就讲一点
[00:01:17 - 00:01:21] 这个班由本朔博是一体化的培养路径
[00:01:21 - 00:01:23] 而且有学校资助
[00:01:23 - 00:01:25] 咱们同学打一就可以到建桥大学
[00:01:25 - 00:01:27] 穆尼黑工業大學、南英理工大學
[00:01:27 - 00:01:29] 這樣的世界名手研學
[00:01:29 - 00:01:31] 只要你想學不怕沒機會
[00:01:31 - 00:01:33] 也有人說撐得上王牌的
[00:01:33 - 00:01:36] 會不會都是一些老專業啊
[00:01:36 - 00:01:39] 感覺就業情況摸不著看不到的
[00:01:39 - 00:01:41] 那我就說貼近大家的啊
[00:01:41 - 00:01:43] 今年呢火爆全網的低空經濟
[00:01:43 - 00:01:44] 你總聽說過吧
[00:01:44 - 00:01:49] 南航它就是低空經濟領域里邊最牛的學校之一
[00:01:49 - 00:01:50] 為什麼這麼講呢
[00:01:50 - 00:01:53] 剛才我說那三所學校航空航鐵類各有策入
[00:01:53 - 00:01:56] 而南航在航空領域最領先的就是無人機
[00:01:56 - 00:01:59] 直升機這些低空飛行機
[00:01:59 - 00:02:02] 有全要素的學科和全覆蓋的專業
[00:02:02 - 00:02:05] 完全稱得上是直升機領域的總是搖籃
[00:02:05 - 00:02:06] 低空經濟是什麼
[00:02:06 - 00:02:08] 那不就是航空航天高端產業
[00:02:08 - 00:02:10] 向民用領域推進嗎
[00:02:10 - 00:02:14] 圍繞低空經濟南航校內不僅有航空航天類專業
[00:02:14 - 00:02:18] 電子啊電器啊計算機啊材料啊法學英語等等
[00:02:18 - 00:02:20] 都有很大的發展空間
[00:02:20 - 00:02:22] 航空航天是一個很重要的行業
[00:02:22 - 00:02:24] 又无限的生命多期
[00:02:24 - 00:02:26] 南航又在江苏地域又是明显
[00:02:26 - 00:02:28] 不管以后是走航空航天
[00:02:28 - 00:02:30] 高端航行业还是落地江苏
[00:02:30 - 00:02:33] 围绕低空经济等民用领域发展
[00:02:33 - 00:02:34] 前景都很广阔
[00:02:34 - 00:02:35] 而且咱们有一说一
[00:02:35 - 00:02:38] 南航近几年的报考热度也确实是很高
[00:02:38 - 00:02:41] 同学们 假把劲能进就很好了
