BV号：BV1ce411r7gg
标题：BV1ce411r7gg
链接：https://www.bilibili.com/video/BV1ce411r7gg
识别语言：zh
语言置信度：1
分段数：60
生成时间：2026-04-03 12:59:22

[00:00:00 - 00:00:03] 我說同學你要學會放過自己
[00:00:03 - 00:00:06] 我那天去參加卡卡的簽收會
[00:00:06 - 00:00:09] 然後有一個同級大學醫學院的孩子
[00:00:09 - 00:00:11] 在那做作業主
[00:00:11 - 00:00:13] 然後他也問了我一個類似的問題
[00:00:13 - 00:00:16] 那個同學本科是那個賓州醫學院的
[00:00:16 - 00:00:18] 然後嚴峻是同級大學的
[00:00:18 - 00:00:20] 他就問我有沒有必要去讀博士
[00:00:20 - 00:00:22] 我說同學那能讀博當然讀博
[00:00:22 - 00:00:24] 但是我想給你一個建議
[00:00:24 - 00:00:26] 你博士畢業以後的話
[00:00:26 - 00:00:27] 我知道你很想留在上海
[00:00:27 - 00:00:28] 要不然當年你也不會說
[00:00:28 - 00:00:30] 非金巴拉菲的考读同级大学的研究生
[00:00:30 - 00:00:32] 但是如果我是你的话
[00:00:32 - 00:00:33] 如果说
[00:00:33 - 00:00:34] 因为我第一学历的问题
[00:00:34 - 00:00:37] 我只能回到家乡的第几世医院
[00:00:37 - 00:00:38] 去工作的话
[00:00:38 - 00:00:39] 要我我就结束
[00:00:39 - 00:00:40] 为什么呢
[00:00:40 - 00:00:41] 我说同学你家哪里的
[00:00:41 - 00:00:43] 头老说我们家山东农村的
[00:00:43 - 00:00:44] 我说同学
[00:00:44 - 00:00:47] 你要学会放过自己
[00:00:47 - 00:00:49] 我们有的人在这个社会上很累
[00:00:49 - 00:00:50] 他抑郁
[00:00:50 - 00:00:50] 他焦虑
[00:00:50 - 00:00:52] 有的时候就是有
[00:00:52 - 00:00:54] 可能就是无形当中
[00:00:54 - 00:00:55] 我们有的人会把
[00:00:55 - 00:00:58] 对自己的要求变得很高
[00:00:58 - 00:01:00] 说句不太好听的话就是去比较
[00:01:00 - 00:01:03] 就总觉得说我这个同龄人人家都怎么样
[00:01:03 - 00:01:05] 人怎么样人怎么样的
[00:01:05 - 00:01:08] 我觉得没有必要那么卷
[00:01:08 - 00:01:10] 那么累
[00:01:10 - 00:01:12] 就是你到山东的一个地级市
[00:01:12 - 00:01:14] 我说同学如果说你是同级的树
[00:01:14 - 00:01:16] 宾州医生的本同级的树
[00:01:16 - 00:01:17] 然后复旦或者上交大了国
[00:01:17 - 00:01:20] 你回到你们山东下面地级市的医院
[00:01:20 - 00:01:22] 那院长都得把你当个宝似的
[00:01:22 - 00:01:26] 那你会得到很多不一样的资源
[00:01:26 - 00:01:27] 你在地级市
[00:01:27 - 00:01:30] 你就是一个很厉害的一个人物
[00:01:30 - 00:01:31] 或者是角色
[00:01:31 - 00:01:33] 从你的能力来讲
[00:01:33 - 00:01:35] 或者说是进步来讲
[00:01:35 - 00:01:36] 它不是进步吗
[00:01:36 - 00:01:36] 它也是进步
[00:01:36 - 00:01:38] 而且是非常大的进步
[00:01:38 - 00:01:39] 对吧
[00:01:39 - 00:01:41] 你没有必要把自己逼的
[00:01:41 - 00:01:42] 非得说
[00:01:42 - 00:01:44] 怎么样
[00:01:44 - 00:01:45] 我个人觉得
[00:01:45 - 00:01:45] 各位家长
[00:01:45 - 00:01:47] 包括孩子也是
[00:01:47 - 00:01:48] 人要学会放过自己
