BV号：BV1ra4y1N7yE
标题：BV1ra4y1N7yE
链接：https://www.bilibili.com/video/BV1ra4y1N7yE
识别语言：zh
语言置信度：1
分段数：69
生成时间：2026-04-03 15:43:03

[00:00:00 - 00:00:02] 你记住男省咱是爷们儿
[00:00:02 - 00:00:04] 咱男省咱没什么所谓好失去的
[00:00:04 - 00:00:05] 为什么
[00:00:05 - 00:00:06] 你本来你就什么都没有
[00:00:06 - 00:00:08] 你怕什么你有什么好失去的呢
[00:00:08 - 00:00:09] 罢不了从头再来
[00:00:09 - 00:00:12] 你已经让你的家庭已经有一个
[00:00:12 - 00:00:14] 所谓月生的能力了
[00:00:14 - 00:00:15] 因为你通过你自己的努力
[00:00:15 - 00:00:17] 上了一个221
[00:00:17 - 00:00:18] 你又通过你自己的努力
[00:00:18 - 00:00:19] 上到了一个985
[00:00:19 - 00:00:22] 你已经很努力的做这个事情了
[00:00:22 - 00:00:23] 小兄弟我这么跟你说
[00:00:23 - 00:00:25] 有朝一日你记住今天
[00:00:25 - 00:00:27] 你老哥哥我说的这句话
[00:00:27 - 00:00:29] 等你到了我这个年龄的时候
[00:00:29 - 00:00:31] 你在你自己所买的房子里边
[00:00:31 - 00:00:32] 看着你的妻儿
[00:00:32 - 00:00:34] 看着你的父母
[00:00:34 - 00:00:34] 笑哈哈
[00:00:34 - 00:00:36] 你用你自己的努力
[00:00:36 - 00:00:37] 给了你爸你妈
[00:00:37 - 00:00:39] 不一样的生活体验
[00:00:39 - 00:00:40] 等你到了我这个年龄的时候
[00:00:40 - 00:00:42] 有一天你带着你爸你妈
[00:00:42 - 00:00:44] 去坐飞机投等舱
[00:00:44 - 00:00:45] 去住五星级酒店
[00:00:45 - 00:00:47] 让他们从一个小县城
[00:00:47 - 00:00:48] 住那样的房子
[00:00:48 - 00:00:50] 可能你家原来都是种地的
[00:00:50 - 00:00:52] 然后现在通过你自己的努力
[00:00:52 - 00:00:53] 能让他们在城市里边有楼房
[00:00:53 - 00:00:55] 一家人欢聚玉堂的时候
[00:00:55 - 00:00:57] 你看着他们笑的时候
[00:00:57 - 00:00:58] 小兄弟你会觉得
[00:00:58 - 00:01:00] 你所有的努力一切都是值得
[00:01:00 - 00:01:02] 所以说的话你有兴趣的话
[00:01:02 - 00:01:05] 我今年是所谓的到了5月份
[00:01:05 - 00:01:06] 我就是今年39岁
[00:01:06 - 00:01:08] 你真的你把这一段
[00:01:08 - 00:01:09] 等你到39岁的时候
[00:01:09 - 00:01:10] 你再看看这一段
[00:01:10 - 00:01:12] 你再看看你爸你妈
[00:01:12 - 00:01:13] 你看着你老婆孩子
[00:01:13 - 00:01:15] 你再看看今天我给你说的这些话
[00:01:15 - 00:01:16] 你会很心累
[00:01:16 - 00:01:19] 你就知道心累是一种什么样的感受了
[00:01:19 - 00:01:20] 所以说中国有句话
[00:01:20 - 00:01:21] 我觉得说很有道理叫做
[00:01:21 - 00:01:23] 但行好事莫问前程
[00:01:23 - 00:01:25] 黄天不负有心人
[00:01:25 - 00:01:26] 有的时候你说老师我努力了
[00:01:26 - 00:01:28] 但是没有拿到效果
[00:01:28 - 00:01:30] 你不要所谓的叫急于求成
[00:01:30 - 00:01:32] 只要你一直努力
[00:01:32 - 00:01:32] 人在做
[00:01:32 - 00:01:33] 天在看
[00:01:33 - 00:01:35] 你早晚会收获你的回报的
[00:01:35 - 00:01:36] 所以说
[00:01:36 - 00:01:37] 你不用说张老师
[00:01:37 - 00:01:39] 我有的时候我会害怕
[00:01:39 - 00:01:40] 或者迷茫什么样的
[00:01:40 - 00:01:41] 你不要问这些东西
[00:01:41 - 00:01:43] 等有朝一日你收获果实的时候
[00:01:43 - 00:01:45] 你会觉得一切的努力都是值得的
[00:01:45 - 00:01:46] 坚定信心
[00:01:46 - 00:01:47] 相信自己
[00:01:47 - 00:01:48] 你有这个能力
