BV号：BV1wC4y1a7pv
标题：BV1wC4y1a7pv
链接：https://www.bilibili.com/video/BV1wC4y1a7pv
识别语言：zh
语言置信度：1
分段数：95
生成时间：2026-04-04 02:07:28

[00:00:00 - 00:00:02] 大家好 我是新进的带货主播长雪冯老师
[00:00:02 - 00:00:05] 有人问了说 张老师 你做带货主播
[00:00:05 - 00:00:08] 你觉得你跟其他主播最大的差别是什么
[00:00:08 - 00:00:12] 我觉得最大的差别就是对于我对于一个产品的
[00:00:12 - 00:00:15] 就是跑根问底的精神 就是
[00:00:15 - 00:00:17] Y和H
[00:00:17 - 00:00:19] 为什么这个东西这么好
[00:00:19 - 00:00:20] 它咋就这么好
[00:00:20 - 00:00:22] 这个是我要追求的
[00:00:22 - 00:00:23] 我发现现在很多带货主播
[00:00:23 - 00:00:25] 他就是为了卖商品而去卖商品
[00:00:25 - 00:00:29] 他没有告诉大家这个商品的本质到底是什么
[00:00:29 - 00:00:32] 比如说我在之前参加报款来了这个节目的时候
[00:00:32 - 00:00:33] 接触到一款主交期
[00:00:33 - 00:00:34] 主交期是什么东西呢
[00:00:34 - 00:00:36] 就是大家你买了房子以后你装修房子嘛
[00:00:36 - 00:00:37] 你得刷墙
[00:00:37 - 00:00:40] 就那个主交期这个玩意你说买的人多吗
[00:00:40 - 00:00:42] 你不买房子可能不会买对不对
[00:00:42 - 00:00:45] 但是我对这个产品产生了极大的兴趣
[00:00:45 - 00:00:47] 啊就是他为什么有这么多功能
[00:00:47 - 00:00:49] 比如说他那个主交期跟我说什么呢
[00:00:49 - 00:00:50] 他说他可以抗军
[00:00:50 - 00:00:53] 他能抗八种美军和十一种细菌
[00:00:53 - 00:00:56] 我就想问为什么这个东西他能抗军
[00:00:56 - 00:00:57] 他能杀军
[00:00:57 - 00:00:59] 然后的话当时那个主要期的产品经理跟我说说
[00:00:59 - 00:01:01] 老师我们这个传媒说明书上都有
[00:01:01 - 00:01:02] 我跟大家最大的差别
[00:01:02 - 00:01:04] 我跟其他带户主播最大的差别就是
[00:01:04 - 00:01:06] 我不会简单的给你念说明书
[00:01:06 - 00:01:08] 就跟我在讲课的时候
[00:01:08 - 00:01:10] 不会简单的给你念PPT是一样的
[00:01:10 - 00:01:12] 这个学校为什么好
[00:01:12 - 00:01:14] 这个专业为什么好
[00:01:14 - 00:01:16] 他将来发展到底是干什么的
[00:01:16 - 00:01:17] 他怎么好
[00:01:17 - 00:01:18] 他怎么就不好
[00:01:18 - 00:01:21] 这个是我给大家讲课的时候所追求的
[00:01:21 - 00:01:23] 而我给大家介绍产品的时候也要追求这个
[00:01:23 - 00:01:24] 我就问那个商家
[00:01:24 - 00:01:25] 我说你告诉我
[00:01:25 - 00:01:26] 他为什么能够出军
[00:01:26 - 00:01:27] 他为什么能够杀军
[00:01:27 - 00:01:28] 他跟我说
[00:01:28 - 00:01:28] 张老师
[00:01:28 - 00:01:30] 我们这边加了杀军的东西
[00:01:30 - 00:01:32] 加了啥
[00:01:32 - 00:01:33] 你告诉我加了啥
[00:01:33 - 00:01:34] 他给我说
[00:01:34 - 00:01:35] 张老师加了
[00:01:35 - 00:01:36] 彼定流通心
[00:01:36 - 00:01:38] 我头一次听这个话说明
[00:01:38 - 00:01:38] 我说
[00:01:38 - 00:01:39] 彼定流通心干嘛的
[00:01:39 - 00:01:40] 然后这个商家告诉我说
[00:01:40 - 00:01:41] 张老师
[00:01:41 - 00:01:42] 我们平时啊
[00:01:42 - 00:01:43] 那个洗发水里边
[00:01:43 - 00:01:44] 就这个彼定流通心
[00:01:44 - 00:01:46] 他是起杀军作用的
[00:01:46 - 00:01:46] 我一看
[00:01:46 - 00:01:47] 哦
[00:01:47 - 00:01:48] 你看我们平时洗发水
[00:01:48 - 00:01:49] 天天都洗头嘛
[00:01:49 - 00:01:50] 对吧
[00:01:50 - 00:01:51] 洗发水都能用的
[00:01:51 - 00:01:52] 那辱胶齐放这个东西
[00:01:52 - 00:01:54] 他杀军功能有是肯定很正常的
[00:01:54 - 00:01:55] 对不对
[00:01:55 - 00:01:56] 然后还有除假权的功能
[00:01:56 - 00:01:58] 有的期有除假权的功能
[00:01:58 - 00:01:59] 我说为什么能除假权
[00:01:59 - 00:02:00] 他跟我说张老师
[00:02:00 - 00:02:01] 我又加了另外一个化学物质
[00:02:01 - 00:02:02] 我说你为什么这个期
[00:02:02 - 00:02:05] 它不能又除假权
[00:02:05 - 00:02:06] 又除君
[00:02:06 - 00:02:07] 你们为什么不做这样一款产品
[00:02:07 - 00:02:08] 他跟我说什么呢
[00:02:08 - 00:02:09] 他说张老师
[00:02:09 - 00:02:13] 我们家的除假权的东西和除细菌的东西放在一起
[00:02:13 - 00:02:14] 会发生化学反应
[00:02:14 - 00:02:17] 也就是理论上现在的工艺上不存在这样的产品
[00:02:17 - 00:02:20] 你看我就知道它怎么回事了
[00:02:20 - 00:02:21] 那我给你讲这个乳胶期的时候
[00:02:21 - 00:02:22] 你就会发现什么呢
[00:02:22 - 00:02:24] 你可能现在不买乳胶期
[00:02:24 - 00:02:26] 但是你通過我的直播
[00:02:26 - 00:02:28] 你知道這個玩到底是怎麼回事的
[00:02:28 - 00:02:30] 這就是我在直播當中所呈現的特點
[00:02:30 - 00:02:32] 要告訴你它為什麼這麼好
[00:02:32 - 00:02:34] 然後它怎麼做到的這麼好
[00:02:34 - 00:02:37] 這就是我對於一個商品的推薦的特點
[00:02:37 - 00:02:41] 當然在介紹商品特點的同時也一定要好玩
