BV号：BV16VmLYKENo
标题：BV16VmLYKENo
链接：https://www.bilibili.com/video/BV16VmLYKENo
识别语言：zh
语言置信度：1
分段数：63
生成时间：2026-04-03 08:01:27

[00:00:00 - 00:00:01] 我跟直播间的家长去仗说
[00:00:01 - 00:00:03] 就是你别管是小学也好
[00:00:03 - 00:00:04] 吐轮也好
[00:00:04 - 00:00:04] 高中也好
[00:00:04 - 00:00:06] 大家你要知道
[00:00:06 - 00:00:08] 在所谓的这种亲子关系当中
[00:00:08 - 00:00:09] 最不能干的一个事
[00:00:09 - 00:00:13] 就是当着孩子的同学面去训斥他
[00:00:13 - 00:00:16] 这个事是万万万万不要干的
[00:00:16 - 00:00:17] 你们谁干这个事
[00:00:17 - 00:00:19] 在孩子的同学面前训斥他
[00:00:19 - 00:00:21] 或者是所谓的
[00:00:21 - 00:00:22] 因为现在都是青春期的孩子
[00:00:22 - 00:00:24] 他情感发育得相对早一些
[00:00:24 - 00:00:29] 在他所喜欢的那个异性朋友面前
[00:00:29 - 00:00:30] 你去训斥孩子
[00:00:30 - 00:00:31] 我跟你说
[00:00:31 - 00:00:32] 你跟孩子之间的烈恨
[00:00:32 - 00:00:35] 很难很难再寻一和晚儿
[00:00:35 - 00:00:38] 那么对于孩子的这种尊重的话
[00:00:38 - 00:00:41] 首先第一就是一定要在同学和老师面前
[00:00:41 - 00:00:43] 给孩子留足面子
[00:00:43 - 00:00:44] 有些时候的话
[00:00:44 - 00:00:45] 很多事情咱们私下说
[00:00:45 - 00:00:47] 你不要在同学和老师面前去说
[00:00:47 - 00:00:49] 尤其是包括你自己的
[00:00:49 - 00:00:50] 微表情的一些管理
[00:00:50 - 00:00:52] 包括甚至一些言语上
[00:00:52 - 00:00:54] 有的家长他很能很吃
[00:00:54 - 00:00:54] 或者很着急
[00:00:54 - 00:00:55] 直接在那个当下
[00:00:55 - 00:00:57] 就直接把孩子给训了一顿
[00:00:57 - 00:01:00] 这个事万万万万不要去干
[00:01:00 - 00:01:01] 这个我先提醒第一点
[00:01:01 - 00:01:02] 第二点
[00:01:02 - 00:01:04] 孩子还有一个非常非常重要的事情
[00:01:04 - 00:01:05] 叫做隐私
[00:01:05 - 00:01:08] 就是一定要去尊重他的这种隐私
[00:01:08 - 00:01:10] 就是你不要去所谓的仕途去
[00:01:10 - 00:01:12] 看他的什么聊天记录啊
[00:01:12 - 00:01:14] 然后的话或者是去有一些
[00:01:14 - 00:01:18] 就是刻意的有意无意的那种打听
[00:01:18 - 00:01:20] 然后的话可能还会去说一些
[00:01:20 - 00:01:22] 相对所谓的嘲讽的话
[00:01:22 - 00:01:25] 这个事现在也千万千万不要去干
[00:01:25 - 00:01:26] 就是有的时候我们经常会
[00:01:26 - 00:01:29] 建议家长就是如果说你要去所谓的收孩子的手机
[00:01:29 - 00:01:31] 不要你收起来
[00:01:31 - 00:01:32] 而是要放在家里边
[00:01:32 - 00:01:33] 孩子也能看得到
[00:01:33 - 00:01:35] 家长也能看得到的一个地方
[00:01:35 - 00:01:38] 然后我现在规定你用使用手机的时间
[00:01:38 - 00:01:38] 用手机的时候
[00:01:38 - 00:01:40] 你可以把手机拿走
[00:01:40 - 00:01:42] 然后的话到时间好
[00:01:42 - 00:01:43] 到时间你把它给还回了
[00:01:43 - 00:01:44] 就完了
[00:01:44 - 00:01:46] 然后中间我证明就是
[00:01:46 - 00:01:48] 我这个手机我没有说私下拿走去看
[00:01:48 - 00:01:50] 或者是去怎么样
[00:01:50 - 00:01:50] 然后的话
[00:01:50 - 00:01:53] 我一定是尊重孩子的隐私的
[00:01:53 - 00:01:55] 这个东西一定一定要尊重一下
