BV号：BV1Y3411f76a
标题：BV1Y3411f76a
链接：https://www.bilibili.com/video/BV1Y3411f76a
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-03 16:56:31

[00:00:00 - 00:00:02] 为什么不看世界杯跟我有什么关系
[00:00:02 - 00:00:04] 他拿奖金他给我分吗
[00:00:04 - 00:00:07] 已经过来那个年龄了
[00:00:07 - 00:00:09] 真的我就前两天我就有一种感受
[00:00:09 - 00:00:11] 就是当年我在上学的时候
[00:00:11 - 00:00:13] 我印象最深的世界杯是98年
[00:00:13 - 00:00:15] 然后当时的第一个网名
[00:00:15 - 00:00:16] 大家猜猜是什么
[00:00:16 - 00:00:19] 你们都想不到是罗娜尔多
[00:00:21 - 00:00:22] 真的我不怕丢人
[00:00:22 - 00:00:24] 就是英文的罗娜尔多
[00:00:24 - 00:00:27] 然后的话那是我人生的第一个网名
[00:00:27 - 00:00:28] 因为比较喜欢足球
[00:00:28 - 00:00:30] 98年世界杯看的比较全
[00:00:30 - 00:00:31] 然后02年世界杯那个时候
[00:00:31 - 00:00:34] 成天就这个去听广播
[00:00:34 - 00:00:35] 因为当时还在上高中
[00:00:35 - 00:00:37] 然后的话那时候也没时间看
[00:00:37 - 00:00:38] 我印象非常深
[00:00:38 - 00:00:40] 中国对第一场对格斯达利加
[00:00:40 - 00:00:41] 然后的话是
[00:00:41 - 00:00:43] 我这应该是全国放假
[00:00:43 - 00:00:45] 就是为了让你找个地方去看
[00:00:45 - 00:00:47] 跟格斯达利加题
[00:00:47 - 00:00:48] 然后的话输了格斯达利加以后
[00:00:48 - 00:00:50] 后边跟巴西提跟土耳其提
[00:00:50 - 00:00:52] 就没有什么意义看的意义了
[00:00:52 - 00:00:53] 然后学校就不放假了
[00:00:53 - 00:00:56] 然后那年世界杯看的也还算着相对比较全一些
[00:00:56 - 00:00:58] 然后到06年世界杯上大学
[00:00:58 - 00:00:59] 我印象最深的就是
[00:00:59 - 00:01:02] 当时我们在大学这边都有自己的DIY电脑
[00:01:02 - 00:01:03] 不同的启示
[00:01:03 - 00:01:04] 不同的速射楼
[00:01:04 - 00:01:05] 因为网速不一样
[00:01:06 - 00:01:07] 我们这边还在这发脚球
[00:01:07 - 00:01:09] 那边都已经欢呼尽求了
[00:01:09 - 00:01:12] 然后那一年我才知道原来网速是不一样的
[00:01:12 - 00:01:15] 然后就慢慢世界杯就很少看了
[00:01:15 - 00:01:16] 非常少看了
[00:01:16 - 00:01:18] 原因就是当年年轻的时候
[00:01:18 - 00:01:21] 喜欢的一些球星现在都已经退役了
