BV号：BV19S421d7FP
标题：BV19S421d7FP
链接：https://www.bilibili.com/video/BV19S421d7FP
识别语言：zh
语言置信度：1
分段数：78
生成时间：2026-04-03 09:54:51

[00:00:00 - 00:00:02] 每年高考都有很多同学来找张老师
[00:00:02 - 00:00:03] 咨询医学这一块
[00:00:03 - 00:00:04] 其实在直播里边
[00:00:04 - 00:00:05] 我也说过很多次
[00:00:05 - 00:00:06] 医学类专业
[00:00:06 - 00:00:07] 他到底该怎么报
[00:00:07 - 00:00:09] 四个字就是地域优先
[00:00:09 - 00:00:10] 因为医学这一种
[00:00:10 - 00:00:13] 它是有很深的传承性和地域性的
[00:00:13 - 00:00:14] 很多时候学校的层次
[00:00:14 - 00:00:16] 反而没有其他专业那么重要
[00:00:16 - 00:00:17] 比如说有同学以后
[00:00:17 - 00:00:19] 想在中部地区当医生
[00:00:19 - 00:00:20] 但是分又够不着那些
[00:00:20 - 00:00:22] 最顶尖的医学院校
[00:00:22 - 00:00:23] 那怎么办呢
[00:00:23 - 00:00:24] 那接下来张老师要说的
[00:00:24 - 00:00:25] 这个湖北医药学院
[00:00:25 - 00:00:27] 你就得重点关注了
[00:00:27 - 00:00:28] 有的同学可能不知道
[00:00:28 - 00:00:31] 这个学校可是湖北省唯一独立设置的
[00:00:31 - 00:00:33] 西伊类本科院校
[00:00:33 - 00:00:34] 实力非常强
[00:00:34 - 00:00:37] 林同医学还进到了全球的前千分之三
[00:00:37 - 00:00:40] 在各类林同医学学科里的排名
[00:00:40 - 00:00:42] 它基本上都能排在全省的前三的
[00:00:42 - 00:00:44] 而且人家叫医药学院
[00:00:44 - 00:00:45] 明着告诉你了
[00:00:45 - 00:00:47] 除了医药学也很牛
[00:00:47 - 00:00:49] 相关学科也是能排到全球前百分之一
[00:00:49 - 00:00:51] 在全省也是前五的水平
[00:00:51 - 00:00:53] 林同医学 护理学 药学
[00:00:53 - 00:00:55] 三个专业也是国家一流本科专业
[00:00:55 - 00:00:56] 实力是港港的
[00:00:56 - 00:00:59] 而且他的業內的知名度也非常的高
[00:00:59 - 00:01:02] 他有六所三甲附屬醫院都非常有實力
[00:01:02 - 00:01:07] 像太和醫院連續很多年都排在全國第幾醫院的前十
[00:01:07 - 00:01:11] 湖北省第一個試管醫院的人也是在人家的附屬人民醫院出生的
[00:01:11 - 00:01:13] 從這你就能看得出來
[00:01:13 - 00:01:15] 他在附屬醫院這方面是相當有實力
[00:01:15 - 00:01:18] 而且在這些醫院上班的醫生也都很牛
[00:01:18 - 00:01:21] 有這樣的平台和資源不管以後你是要實習
[00:01:21 - 00:01:24] 或者說想搞一些科研項目那都是很有幫助的
[00:01:24 - 00:01:27] 还有一点呢 我之前也强调我那就是学医
[00:01:27 - 00:01:29] 并且还打算干这一行的话
[00:01:29 - 00:01:30] 那肯定要读研的
[00:01:30 - 00:01:31] 所以说张老师总说
[00:01:31 - 00:01:33] 你报医学类专业
[00:01:33 - 00:01:34] 一定要看看这个学校
[00:01:34 - 00:01:35] 他有没有说是点
[00:01:35 - 00:01:36] 如果他有的话
[00:01:36 - 00:01:37] 你是不是就可以去保底啊
[00:01:37 - 00:01:39] 那胡医药人家就说是点
[00:01:39 - 00:01:42] 博士点 姑摸着也快有了
[00:01:42 - 00:01:44] 想本校多点 完全可以实现
[00:01:44 - 00:01:46] 想冲外校 那努力他也是很有希望的
[00:01:46 - 00:01:49] 这两年学校医学类毕业生的生学率
[00:01:49 - 00:01:50] 多在40%左右
[00:01:50 - 00:01:51] 很多同学都说
[00:01:51 - 00:01:54] 学校整体考研的氛围还是很好的
[00:01:54 - 00:01:54] 当然
[00:01:54 - 00:01:56] 除了这种常规的路线
[00:01:56 - 00:01:57] 呼一样呢
[00:01:57 - 00:01:58] 还有一个点也非常值得关注
[00:01:58 - 00:02:00] 就是它的免费医学生教育
[00:02:00 - 00:02:03] 整个湖北只有三所学校有这个政策
[00:02:03 - 00:02:07] 呼一样是这里边持续时间最想培养人数最多的
[00:02:07 - 00:02:09] 各项政策已经是非常完善了
[00:02:09 - 00:02:12] 而且它是完全面向农村考生进行招生
[00:02:12 - 00:02:15] 免费生大学一毕业就有带电的工作
[00:02:15 - 00:02:17] 非常适合想学医
[00:02:17 - 00:02:19] 但是家里头见可能没有那么好的同学学报
[00:02:19 - 00:02:22] 其实呢 这两年大家也应该能看得出来啊
[00:02:22 - 00:02:23] 医学的分数显示越来越高了
[00:02:23 - 00:02:26] 那如果说你想坚持学医
[00:02:26 - 00:02:28] 但是分数和顶尖的学校呢 又有差距的话
[00:02:28 - 00:02:32] 像湖北医药学院这种新加坡比较高的医学的院校
[00:02:32 - 00:02:33] 同学们可以重点考虑一下
