BV号：BV1gFu3zxE6G
标题：BV1gFu3zxE6G
链接：https://www.bilibili.com/video/BV1gFu3zxE6G
识别语言：zh
语言置信度：1
分段数：86
生成时间：2026-04-03 04:27:44

[00:00:00 - 00:00:02] 还有一个就是我想给孩子报
[00:00:02 - 00:00:03] 因为我们是保病的嘛
[00:00:03 - 00:00:04] 就想给他报这个
[00:00:04 - 00:00:06] 华北电力这一个
[00:00:06 - 00:00:07] 博定这一个
[00:00:07 - 00:00:08] 如果他
[00:00:08 - 00:00:09] 我拍他要发挥补好
[00:00:09 - 00:00:10] 怕他够不上
[00:00:10 - 00:00:12] 可以报这个名誉动力吗
[00:00:12 - 00:00:14] 我听说是这个华北电力
[00:00:14 - 00:00:16] 有开学有个测试
[00:00:16 - 00:00:17] 有个考试
[00:00:17 - 00:00:19] 是能调专业的
[00:00:19 - 00:00:19] 是吗
[00:00:19 - 00:00:20] 这样是这样子的
[00:00:20 - 00:00:22] 首先就是
[00:00:22 - 00:00:24] 你说老师能不能报能动
[00:00:24 - 00:00:26] 看你自己要不要干能动的活
[00:00:26 - 00:00:27] 你知道能动是干嘛的吗
[00:00:27 - 00:00:28] 不太了解
[00:00:28 - 00:00:31] 我觉得就说是好像是烧锅炉的
[00:00:31 - 00:00:35] 家长这个烧锅炉的外边说是这么说
[00:00:35 - 00:00:38] 它其实确切点说叫做发电
[00:00:38 - 00:00:39] 它是发电的
[00:00:39 - 00:00:41] 就是因为什么叫烧锅炉的呢
[00:00:41 - 00:00:43] 就是因为我们正常的
[00:00:43 - 00:00:44] 现在的大多数的发电
[00:00:44 - 00:00:45] 就叫做火力发电
[00:00:45 - 00:00:46] 我们要通过煤
[00:00:46 - 00:00:48] 让它转化为电的
[00:00:48 - 00:00:49] 然后的话呢
[00:00:49 - 00:00:51] 它中间就是我们西城叫烧锅炉的
[00:00:51 - 00:00:54] 你像我们讲叫能源集团
[00:00:54 - 00:00:55] 能源集团就比如说
[00:00:55 - 00:00:57] 你像那个非常有个著名的企业
[00:00:57 - 00:00:58] 大家可能听到山东路能
[00:00:58 - 00:01:00] 路能它其实是发电集团
[00:01:00 - 00:01:01] 它不是用电
[00:01:01 - 00:01:02] 用电是电网
[00:01:02 - 00:01:04] 所以说就是发电集团发了电以后
[00:01:04 - 00:01:07] 把电输送到电网当中
[00:01:07 - 00:01:09] 然后电网再把电卖给用户
[00:01:09 - 00:01:09] 能明白吧
[00:01:09 - 00:01:11] 所以说能动是发电的
[00:01:11 - 00:01:14] 电网是用电和输送电的
[00:01:14 - 00:01:14] 听懂了吧
[00:01:14 - 00:01:16] 听懂了 听懂了
[00:01:16 - 00:01:18] 所以说你就想就是说
[00:01:18 - 00:01:19] 如果说你转不了电器
[00:01:19 - 00:01:20] 你说老师
[00:01:20 - 00:01:22] 他入学考试我还没转成转业
[00:01:22 - 00:01:24] 我最后录到了能动
[00:01:24 - 00:01:26] 我进入到了发电集团
[00:01:26 - 00:01:27] 也算是个稳定的工作
[00:01:27 - 00:01:30] 算是发电的企业单位
[00:01:30 - 00:01:32] 它的待遇跟用电的单位
[00:01:32 - 00:01:34] 待遇是有一定小小差距的
[00:01:34 - 00:01:35] 但你说稳定不稳定
[00:01:35 - 00:01:36] 也蛮稳定
[00:01:36 - 00:01:37] 但是你周老师我不行
[00:01:37 - 00:01:39] 不 我具体到用电集团
[00:01:39 - 00:01:40] 那你如果说你的时候
[00:01:40 - 00:01:42] 是够不了华电的保定的话
[00:01:42 - 00:01:43] 那你就往下看一看吧
[00:01:43 - 00:01:44] 往下看一看
[00:01:44 - 00:01:45] 比如说你像
[00:01:45 - 00:01:46] 因为每个地方
[00:01:46 - 00:01:47] 还有每个地方的地图舍
[00:01:47 - 00:01:47] 比如说你河北
[00:01:47 - 00:01:49] 还有一个叫河北工业大学的学校
[00:01:49 - 00:01:50] 河北工业大学的学校
[00:01:50 - 00:01:52] 电气是双一楼跟华电一样
[00:01:52 - 00:01:54] 它电气是双一楼一楼学科
[00:01:54 - 00:01:56] 你说老师 那你在往下排的时候就是
[00:01:56 - 00:01:58] 我华电的保定的电器
[00:01:58 - 00:02:01] 我下面到底是该排华电保定的能动
[00:02:01 - 00:02:03] 还是该排河北工业大学的电器
[00:02:03 - 00:02:05] 还是刚才那个问题就包括了这个问题
[00:02:05 - 00:02:07] 如果说老师我还是以专业为导向
[00:02:07 - 00:02:09] 那就是华电保定的电器
[00:02:09 - 00:02:11] 然后核工大电器
[00:02:11 - 00:02:13] 然后再华电保定的能动
[00:02:13 - 00:02:15] 还是说我华电保定的电器
[00:02:15 - 00:02:17] 然后和华电保定的能动
[00:02:17 - 00:02:19] 然后再是河北工业大学的电器
[00:02:19 - 00:02:21] 你的顺序是什么顺序你自己想
